
<<<<< Begin of task (7959984b-9ad1-4b24-a96f-469818f31f9b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_42.5-40.5cm_20um\2s16_42.5-40.5cm_20um_Rec\VOI\2s16_42.5-40.5cm_20um_rec_voi_0066.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 587, 564
Total number of images, 901
Total Z-position range, 50, 950
Number of images inside VOI, 901
Z-position range of VOI, 50, 950
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:31:14 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 15:31:15 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:31:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
962 speckles removed
[ 12/03/20 15:31:18 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:31:18 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:31:22 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:31:49 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:27
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_42.5-40.5cm_20um\2s16_42.5-40.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_42.5-40.5cm_20um_rec_voi_0950.bmp,19.56182,43,140.37453,20.01394,14.25753,47.37724,142.10614,7.10036,0.46544,0.76982,1.06108,34,9,3.79039,2.22002,15.92312,116.57019,120.36058,83.04227,85.74247,,,,,,,,,,,,68.03862,0.76105,0.28168,1.69395,0.50617,1.41554,0.04118,
2s16_42.5-40.5cm_20um_rec_voi_0949.bmp,19.54122,40,140.37453,20.09678,14.31655,47.37724,143.44311,7.13762,0.50242,0.79981,0.47144,30,10,3.71794,0.81603,15.61195,116.55980,120.27774,83.03487,85.68345,,,,,,,,,,,,66.77769,0.75414,0.28021,1.67701,0.51093,1.41549,0.04118,
2s16_42.5-40.5cm_20um_rec_voi_0948.bmp,19.52063,39,140.37453,20.20427,14.39312,47.37724,144.24143,7.13916,0.51806,0.81217,1.35651,34,5,3.70167,0.00857,15.48431,116.46859,120.17026,82.96989,85.60688,,,,,,,,,,,,65.85418,0.74469,0.28015,1.66624,0.51377,1.41332,0.04118,
2s16_42.5-40.5cm_20um_rec_voi_0947.bmp,19.50004,46,140.37453,20.32834,14.48150,47.37724,143.77222,7.07250,0.44192,0.75011,1.21055,42,4,3.64337,-2.76531,15.19862,116.40281,120.04618,82.92303,85.51850,,,,,,,,,,,,64.95079,0.73508,0.28279,1.66995,0.51210,1.41706,0.02059,
2s16_42.5-40.5cm_20um_rec_voi_0946.bmp,19.47945,40,140.37453,20.51416,14.61388,47.37724,143.36161,6.98842,0.51285,0.80808,-0.34692,33,7,9.61421,3.36516,31.91082,110.24615,119.86036,78.53715,85.38612,,,,,,,,,,,,64.32883,0.72750,0.28619,1.67214,0.51064,1.42105,0.02059,
2s16_42.5-40.5cm_20um_rec_voi_0945.bmp,19.45886,41,140.37453,20.70963,14.75312,47.37724,144.20525,6.96320,0.50511,0.80195,-1.00657,36,5,4.57168,4.63290,18.08323,115.09322,119.66490,81.99010,85.24688,,,,,,,,,,,,63.77497,0.71920,0.28722,1.65965,0.51364,1.42274,0.02059,
2s16_42.5-40.5cm_20um_rec_voi_0944.bmp,19.43827,37,140.37453,20.89969,14.88852,47.37724,145.74072,6.97334,0.56486,0.84806,-0.40416,30,7,4.11582,1.69343,16.45307,115.35902,119.47484,82.17945,85.11148,,,,,,,,,,,,63.53393,0.71182,0.28681,1.63955,0.51911,1.43049,0.04118,
2s16_42.5-40.5cm_20um_rec_voi_0943.bmp,19.41768,41,140.37453,21.00569,14.96403,47.37724,146.28023,6.96384,0.51233,0.80767,-0.29242,35,6,5.26111,1.56831,20.02950,114.10773,119.36884,81.28806,85.03597,,,,,,,,,,,,63.38397,0.70496,0.28720,1.63206,0.52104,1.43334,0.06177,
