
<<<<< Begin of task (d328a16e-a147-4611-a407-fb020176a064) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_44.5-42.5cm_20um\2s16_44.5-42.5cm_20um_Rec\VOI\2s16_44.5-42.5cm_20um_rec_voi_0121.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 568, 566
Total number of images, 991
Total Z-position range, 90, 1080
Number of images inside VOI, 991
Z-position range of VOI, 90, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:43:45 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/03/20 15:43:46 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:43:46 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1603 speckles removed
[ 12/03/20 15:43:50 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:43:50 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:43:54 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:44:39 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_44.5-42.5cm_20um\2s16_44.5-42.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_44.5-42.5cm_20um_rec_voi_1080.bmp,22.23870,56,136.31256,34.84363,25.56157,46.67714,232.74763,6.67978,0.62221,0.89007,-0.57368,30,26,7.76634,13.07495,18.22659,93.70259,101.46893,68.74098,74.43843,,,,,,,,,,,,25.82293,0.46838,0.29941,0.87192,0.85373,1.55934,0.00000,
2s16_44.5-42.5cm_20um_rec_voi_1079.bmp,22.21810,57,136.31256,34.71637,25.46821,46.67714,232.85084,6.70723,0.60906,0.88061,-0.63036,27,30,7.71875,18.97458,18.18953,93.87744,101.59618,68.86925,74.53179,,,,,,,,,,,,26.11656,0.46318,0.29819,0.87263,0.85411,1.55962,0.00000,
2s16_44.5-42.5cm_20um_rec_voi_1078.bmp,22.19751,55,136.31256,34.56251,25.35534,46.67714,231.41807,6.69564,0.62841,0.89449,-2.72666,21,34,7.95789,21.69900,18.71546,93.79216,101.75005,68.80669,74.64466,,,,,,,,,,,,26.25044,0.45560,0.29870,0.87936,0.84885,1.55280,0.00000,
2s16_44.5-42.5cm_20um_rec_voi_1077.bmp,22.17692,54,136.31256,34.43303,25.26035,46.67714,227.54896,6.60845,0.63765,0.90104,-2.64955,23,31,7.73354,20.49092,18.34044,94.14599,101.87953,69.06626,74.73965,,,,,,,,,,,,25.72097,0.44682,0.30264,0.89545,0.83466,1.55238,0.00000,
2s16_44.5-42.5cm_20um_rec_voi_1076.bmp,22.15633,58,136.31256,34.23386,25.11423,46.67714,224.60036,6.56077,0.59024,0.86690,-2.27463,29,29,7.58709,17.25903,18.14185,94.49161,102.07870,69.31981,74.88577,,,,,,,,,,,,25.19522,0.43891,0.30484,0.90898,0.82384,1.54768,0.00000,
2s16_44.5-42.5cm_20um_rec_voi_1075.bmp,22.13574,56,136.31256,34.00797,24.94852,46.67714,220.71283,6.49003,0.60729,0.87933,-0.23140,26,30,6.31953,12.26149,15.67053,95.98506,102.30459,70.41542,75.05148,,,,,,,,,,,,24.87738,0.43194,0.30816,0.92704,0.80958,1.54344,0.00000,
2s16_44.5-42.5cm_20um_rec_voi_1074.bmp,22.11515,54,136.31256,33.72590,24.74159,46.67714,218.00426,6.46400,0.62455,0.89174,-2.10601,29,25,6.37317,13.42218,15.89356,96.21349,102.58666,70.58300,75.25841,,,,,,,,,,,,23.69964,0.42923,0.30941,0.94114,0.79965,1.54103,0.00000,
2s16_44.5-42.5cm_20um_rec_voi_1073.bmp,22.09456,58,136.31256,33.49163,24.56974,46.67714,218.69558,6.52986,0.57744,0.85745,-2.23433,32,26,6.51298,14.55289,16.28058,96.30794,102.82092,70.65229,75.43026,,,,,,,,,,,,22.81465,0.42368,0.30629,0.94031,0.80218,1.54311,0.00000,
