
<<<<< Begin of task (fac7a05e-7395-444a-85a0-90250a1bbafd) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_45-43cm_20um\2s16_45-43cm_20um_Rec\VOI\2s16_45-43cm_20um_rec_voi_0070.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 585, 537
Total number of images, 1041
Total Z-position range, 40, 1080
Number of images inside VOI, 1041
Z-position range of VOI, 40, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:16:28 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 15:16:29 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:16:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1551 speckles removed
[ 12/03/20 15:16:33 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:16:33 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:16:37 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:17:40 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:03
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_45-43cm_20um\2s16_45-43cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_45-43cm_20um_rec_voi_1080.bmp,22.23870,74,133.19909,29.44355,22.10492,46.18294,227.04620,7.71124,0.39789,0.71176,-0.33036,51,23,6.44647,2.12968,17.96173,97.30907,103.75554,73.05536,77.89508,,,,,,,,,,,,3.40107,0.38094,0.25936,0.91396,0.85228,1.57196,0.00000,
2s16_45-43cm_20um_rec_voi_1079.bmp,22.21810,77,133.19909,29.22747,21.94269,46.18294,225.22673,7.70600,0.37958,0.69519,-0.48635,56,21,5.87724,2.85876,16.74203,98.09438,103.97162,73.64493,78.05731,,,,,,,,,,,,3.00676,0.39841,0.25954,0.92326,0.84545,1.56849,0.00000,
2s16_45-43cm_20um_rec_voi_1078.bmp,22.19751,81,133.19909,28.93967,21.72663,46.18294,223.04405,7.70721,0.35728,0.67446,-0.03343,59,22,7.58890,0.25369,20.77524,96.67052,104.25941,72.57596,78.27337,,,,,,,,,,,,2.94804,0.41104,0.25950,0.93488,0.83726,1.56754,0.00000,
2s16_45-43cm_20um_rec_voi_1077.bmp,22.17692,74,133.19909,28.82747,21.64239,46.18294,222.71736,7.72587,0.38956,0.70428,-0.67813,50,24,6.21629,4.27860,17.73864,98.15533,104.37162,73.69069,78.35761,,,,,,,,,,,,3.89474,0.42427,0.25887,0.93726,0.83603,1.56575,0.20591,
2s16_45-43cm_20um_rec_voi_1076.bmp,22.15633,75,133.19909,28.72730,21.56719,46.18294,222.76147,7.75435,0.38303,0.69835,-0.60022,51,24,7.84664,4.76052,21.45418,96.62515,104.47179,72.54190,78.43281,,,,,,,,,,,,4.27960,0.44380,0.25792,0.93797,0.83620,1.56393,0.22651,
2s16_45-43cm_20um_rec_voi_1075.bmp,22.13574,70,133.19909,28.61441,21.48244,46.18294,221.96366,7.75706,0.40878,0.72144,-0.62428,48,22,10.51114,6.61318,26.86516,94.07354,104.58468,70.62626,78.51756,,,,,,,,,,,,5.48286,0.45505,0.25783,0.94236,0.83320,1.56066,0.24710,
2s16_45-43cm_20um_rec_voi_1074.bmp,22.11515,77,133.19909,28.45859,21.36545,46.18294,220.91168,7.76257,0.36959,0.68599,-0.78190,56,21,10.32537,8.12610,26.62279,94.41513,104.74050,70.88271,78.63455,,,,,,,,,,,,6.13097,0.45749,0.25765,0.94826,0.82925,1.55893,0.24710,
2s16_45-43cm_20um_rec_voi_1073.bmp,22.09456,68,133.19909,28.30987,21.25380,46.18294,219.10620,7.73957,0.41632,0.72806,-0.05576,48,20,5.93872,5.85389,17.34005,98.95050,104.88922,74.28767,78.74620,,,,,,,,,,,,6.90158,0.46056,0.25841,0.95743,0.82248,1.55160,0.24710,
