
<<<<< Begin of task (e7adb3c3-a9f1-4b28-a6a6-3eb8e93bcbda) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_47-45cm_20um\2s16_47-45cm_20um_Rec\VOI\2s16_47-45cm_20um_rec_voi_0060.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1051
Total Z-position range, 30, 1080
Number of images inside VOI, 1051
Z-position range of VOI, 30, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 15:10:32 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 15:10:32 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 15:10:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1773 speckles removed
[ 12/03/20 15:10:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:10:35 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 15:10:38 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 15:11:23 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\49-32\2s16_47-45cm_20um\2s16_47-45cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_47-45cm_20um_rec_voi_1080.bmp,22.23870,91,95.39543,38.24802,40.09418,36.54877,303.18449,7.92680,0.42031,0.73154,-1.38978,66,25,8.44995,11.77537,18.09489,48.69746,57.14741,51.04801,59.90582,,,,,,,,,,,,138.60200,0.35987,0.25231,0.37698,1.58909,1.66834,13.34401,
2s16_47-45cm_20um_rec_voi_1079.bmp,22.21810,99,95.39543,38.07852,39.91651,36.54877,300.03754,7.87944,0.38463,0.69981,-0.61493,76,23,8.11615,5.02140,17.56945,49.20076,57.31691,51.57559,60.08349,,,,,,,,,,,,139.40218,0.34681,0.25383,0.38206,1.57260,1.66722,13.27621,
2s16_47-45cm_20um_rec_voi_1078.bmp,22.19751,104,95.39543,37.76492,39.58776,36.54877,299.43015,7.92879,0.36312,0.67996,-0.82622,83,21,7.93875,6.59084,17.37006,49.69176,57.63051,52.09029,60.41224,,,,,,,,,,,,140.78959,0.33206,0.25225,0.38493,1.56942,1.66550,13.18635,
2s16_47-45cm_20um_rec_voi_1077.bmp,22.17692,99,95.39543,37.58005,39.39397,36.54877,301.29679,8.01747,0.37960,0.69521,-0.77329,72,27,7.92471,6.15988,17.41512,49.89067,57.81538,52.29880,60.60603,,,,,,,,,,,,141.81925,0.31666,0.24946,0.38378,1.57920,1.66708,13.39123,
2s16_47-45cm_20um_rec_voi_1076.bmp,22.15633,112,95.39543,37.27243,39.07151,36.54877,301.79220,8.09693,0.33279,0.65094,-0.30428,85,27,7.95911,2.45207,17.59636,50.16389,58.12299,52.58521,60.92849,,,,,,,,,,,,142.48785,0.30075,0.24701,0.38519,1.58180,1.49378,13.39476,
2s16_47-45cm_20um_rec_voi_1075.bmp,22.13574,112,95.39543,37.19876,38.99428,36.54877,304.76271,8.19282,0.33213,0.65029,-0.40406,89,23,8.04486,3.28158,17.78120,50.15180,58.19666,52.57254,61.00572,,,,,,,,,,,,143.53488,0.28387,0.24412,0.38191,1.59737,1.66655,13.35461,
2s16_47-45cm_20um_rec_voi_1074.bmp,22.11515,108,95.39543,37.13956,38.93222,36.54877,304.99653,8.21217,0.34388,0.66170,-0.61812,81,27,8.04184,5.00262,17.79901,50.21403,58.25587,52.63777,61.06778,,,,,,,,,,,,143.30881,0.26624,0.24354,0.38201,1.59859,1.66911,13.34858,
2s16_47-45cm_20um_rec_voi_1073.bmp,22.09456,114,95.39543,37.11062,38.90189,36.54877,304.01693,8.19218,0.32553,0.64380,-0.27753,84,30,7.81489,2.24116,17.39522,50.46991,58.28480,52.90601,61.09811,,,,,,,,,,,,144.38205,0.25540,0.24414,0.38343,1.59346,1.66973,13.62730,
