
<<<<< Begin of task (a2d3d4ac-b416-4071-9f46-edad8d3424f4) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_49-47cm_20um\2s16_49-47cm_20um_Rec\VOI\2s16_49-47cm_20um_rec_voi_0246.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 556, 589
Total number of images, 841
Total Z-position range, 230, 1070
Number of images inside VOI, 841
Z-position range of VOI, 230, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 10:34:48 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/04/20 10:34:49 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 10:34:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1333 speckles removed
[ 12/04/20 10:34:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 10:34:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 10:34:53 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 10:35:26 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_49-47cm_20um\2s16_49-47cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_49-47cm_20um_rec_voi_1070.bmp,22.03278,81,138.85489,31.18950,22.46194,47.13015,240.84201,7.72189,0.38506,0.70019,-0.50860,57,24,6.33495,3.27230,16.88220,101.33044,107.66539,72.97578,77.53806,,,,,,,,,,,,6.74348,0.26413,0.25900,0.89407,0.86724,1.55582,0.24710,
2s16_49-47cm_20um_rec_voi_1069.bmp,22.01219,77,138.85489,31.16899,22.44717,47.13015,236.83057,7.59828,0.40479,0.71791,1.22430,52,25,6.90678,-8.42104,18.13957,100.77913,107.68590,72.57874,77.55283,,,,,,,,,,,,178.58031,0.26805,0.26322,0.90939,0.85280,1.55437,0.16473,
2s16_49-47cm_20um_rec_voi_1068.bmp,21.99160,71,138.85489,31.23344,22.49358,47.13015,234.92860,7.52170,0.43991,0.74840,-0.53980,46,25,8.35036,4.55047,21.09539,99.27110,107.62146,71.49269,77.50642,,,,,,,,,,,,169.74512,0.27385,0.26590,0.91621,0.84595,1.55265,0.08237,
2s16_49-47cm_20um_rec_voi_1067.bmp,21.97101,71,138.85489,31.47878,22.67027,47.13015,234.54589,7.45092,0.44336,0.75134,-0.07794,44,27,6.79182,0.52940,17.74684,100.58430,107.37612,72.43842,77.32973,,,,,,,,,,,,163.25579,0.28544,0.26842,0.91561,0.84457,1.55384,0.00000,
2s16_49-47cm_20um_rec_voi_1066.bmp,21.95042,73,138.85489,31.69470,22.82577,47.13015,233.37450,7.36320,0.43417,0.74351,-1.70383,53,20,9.69546,16.52067,23.42455,97.46473,107.16019,70.19179,77.17423,,,,,,,,,,,,157.54760,0.29749,0.27162,0.91835,0.84035,1.55066,0.00000,
2s16_49-47cm_20um_rec_voi_1065.bmp,21.92982,72,138.85489,31.95053,23.01002,47.13015,239.06736,7.48242,0.44376,0.75167,-0.31159,55,17,6.32059,1.96944,16.51530,100.58377,106.90436,72.43804,76.98998,,,,,,,,,,,,151.53062,0.31221,0.26729,0.89435,0.86085,1.42340,0.00000,
2s16_49-47cm_20um_rec_voi_1064.bmp,21.90923,76,138.85489,32.25100,23.22640,47.13015,240.29543,7.45079,0.42436,0.73505,-0.70627,55,21,6.34911,4.48451,16.44842,100.25479,106.60390,72.20112,76.77360,,,,,,,,,,,,147.18656,0.32949,0.26843,0.88727,0.86528,1.56223,0.00000,
2s16_49-47cm_20um_rec_voi_1063.bmp,21.88864,68,138.85489,32.67479,23.53161,47.13015,240.73723,7.36768,0.48051,0.78218,-0.92395,47,21,6.29552,5.81735,16.15466,99.88458,106.18010,71.93451,76.46839,,,,,,,,,,,,144.70563,0.34602,0.27146,0.88212,0.86687,1.56569,0.00000,
