
<<<<< Begin of task (110082ed-66f0-41bd-aabd-63a5d5134041) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_5-3cm_20um\2s16_5-3cm_20um_Rec\VOI\2s16_5-3cm_20um_rec_voi_0069.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 558, 546
Total number of images, 1041
Total Z-position range, 40, 1080
Number of images inside VOI, 1041
Z-position range of VOI, 40, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 10:00:24 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 10:00:24 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 10:00:24 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3217 speckles removed
[ 12/03/20 10:00:27 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 10:00:27 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 10:00:30 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 10:01:10 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_5-3cm_20um\2s16_5-3cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_5-3cm_20um_rec_voi_1080.bmp,22.23870,62,129.18079,36.87588,28.54595,45.44165,255.30032,6.92323,0.59477,0.87022,-0.93273,35,27,6.70241,6.27364,15.38015,85.60250,92.30491,66.26566,71.45405,,,,,,,,,,,,145.05916,0.27957,0.28888,0.72311,0.98815,1.61535,0.18532,
2s16_5-3cm_20um_rec_voi_1079.bmp,22.21810,66,129.18079,36.72075,28.42586,45.44165,257.14320,7.00267,0.55638,0.84166,-1.01507,37,29,6.67061,6.79368,15.37312,85.78943,92.46004,66.41036,71.57414,,,,,,,,,,,,147.16541,0.29363,0.28561,0.71913,0.99528,1.61962,0.18532,
2s16_5-3cm_20um_rec_voi_1078.bmp,22.19751,65,129.18079,36.62662,28.35299,45.44165,257.53504,7.03136,0.56349,0.84703,-0.78763,42,23,6.69605,5.29525,15.45622,85.85812,92.55417,66.46354,71.64701,,,,,,,,,,,,148.33459,0.29567,0.28444,0.71877,0.99680,1.61996,0.18532,
2s16_5-3cm_20um_rec_voi_1077.bmp,22.17692,58,129.18079,36.53233,28.28000,45.44165,258.39730,7.07311,0.62987,0.89553,-0.58730,38,20,6.65126,3.92658,15.40229,85.99720,92.64846,66.57119,71.72000,,,,,,,,,,,,146.81702,0.28227,0.28276,0.71710,1.00014,1.61758,0.18532,
2s16_5-3cm_20um_rec_voi_1076.bmp,22.15633,62,129.18079,36.39331,28.17239,45.44165,260.22726,7.15041,0.58699,0.86451,-0.65246,43,19,6.78403,4.44697,15.71201,86.00345,92.78748,66.57604,71.82761,,,,,,,,,,,,145.93195,0.26047,0.27970,0.71313,1.00722,1.62011,0.18532,
2s16_5-3cm_20um_rec_voi_1075.bmp,22.13574,59,129.18079,36.35828,28.14527,45.44165,261.30594,7.18697,0.61624,0.88579,-0.71997,40,19,6.75080,4.88135,15.65981,86.07171,92.82251,66.62888,71.85473,,,,,,,,,,,,145.64550,0.23537,0.27828,0.71045,1.01140,1.62219,0.18532,
2s16_5-3cm_20um_rec_voi_1074.bmp,22.11515,61,129.18079,36.29993,28.10010,45.44165,263.91423,7.27038,0.59508,0.87045,-0.77391,39,22,6.80072,5.28440,15.77870,86.08014,92.88087,66.63540,71.89990,,,,,,,,,,,,144.55193,0.21355,0.27509,0.70387,1.02149,1.62621,0.18532,
2s16_5-3cm_20um_rec_voi_1073.bmp,22.09456,60,129.18079,36.19991,28.02268,45.44165,265.44299,7.33270,0.60333,0.87646,-0.68594,37,23,6.78334,4.67372,15.78136,86.19754,92.98088,66.72628,71.97732,,,,,,,,,,,,142.13281,0.17943,0.27275,0.70057,1.02741,1.62647,0.18532,
