
<<<<< Begin of task (3f2c7503-3f73-408b-a441-d32b8eada9ed) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_55-53cm_20um\2s16_55-53cm_20um_Rec\VOI\2s16_55-53cm_20um_rec_voi_0136.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 566, 564
Total number of images, 961
Total Z-position range, 120, 1080
Number of images inside VOI, 961
Z-position range of VOI, 120, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 10:01:50 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/04/20 10:01:52 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 10:01:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2652 speckles removed
[ 12/04/20 10:01:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 10:01:55 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 10:02:00 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 10:03:03 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:03
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_55-53cm_20um\2s16_55-53cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_55-53cm_20um_rec_voi_1080.bmp,22.23870,113,135.35261,32.17764,23.77320,46.51240,293.89516,9.13352,0.28476,0.60213,0.15661,86,27,7.52980,-1.15081,18.96320,95.64517,103.17497,70.66370,76.22680,,,,,,,,,,,,100.56385,0.28939,0.21897,0.70212,1.08566,1.64238,0.12355,
2s16_55-53cm_20um_rec_voi_1079.bmp,22.21810,117,135.35261,32.27246,23.84325,46.51240,294.15432,9.11472,0.27583,0.59262,0.24805,96,21,7.61391,-1.83179,19.08901,95.46624,103.08015,70.53151,76.15675,,,,,,,,,,,,94.72204,0.29138,0.21943,0.70086,1.08662,1.63893,0.10296,
2s16_55-53cm_20um_rec_voi_1078.bmp,22.19751,106,135.35261,32.29578,23.86048,46.51240,295.41272,9.14710,0.30468,0.62284,-0.23401,80,26,7.70444,1.86224,19.26099,95.35239,103.05683,70.44740,76.13952,,,,,,,,,,,,91.22049,0.29690,0.21865,0.69771,1.09127,1.64596,0.08237,
2s16_55-53cm_20um_rec_voi_1077.bmp,22.17692,113,135.35261,32.18268,23.77692,46.51240,294.28251,9.14413,0.28480,0.60218,0.25469,93,20,7.62563,-1.88504,19.15587,95.54431,103.16993,70.58919,76.22308,,,,,,,,,,,,89.41237,0.30825,0.21872,0.70116,1.08710,1.64460,0.06177,
2s16_55-53cm_20um_rec_voi_1076.bmp,22.15633,117,135.35261,32.11298,23.72542,46.51240,293.11925,9.12775,0.27447,0.59116,0.65743,102,15,7.62059,-5.01044,19.17922,95.61904,103.23963,70.64440,76.27458,,,,,,,,,,,,88.67377,0.32530,0.21911,0.70442,1.08280,1.63933,0.00000,
2s16_55-53cm_20um_rec_voi_1075.bmp,22.13574,104,135.35261,32.07132,23.69465,46.51240,295.24592,9.20592,0.30838,0.62661,0.28575,83,21,8.78268,-2.50970,21.49773,94.49860,103.28129,69.81661,76.30535,,,,,,,,,,,,87.33445,0.33417,0.21725,0.69963,1.09065,1.64039,0.00000,
2s16_55-53cm_20um_rec_voi_1074.bmp,22.11515,105,135.35261,32.09894,23.71505,46.51240,297.04054,9.25391,0.30570,0.62389,0.12954,81,24,7.69161,-0.99643,19.33025,95.56206,103.25367,70.60230,76.28495,,,,,,,,,,,,85.42187,0.33653,0.21612,0.69522,1.09728,1.63529,0.00000,
2s16_55-53cm_20um_rec_voi_1073.bmp,22.09456,111,135.35261,32.06406,23.68928,46.51240,297.02641,9.26353,0.28887,0.60646,-0.27021,87,24,8.08201,2.18392,20.13152,95.20653,103.28855,70.33964,76.31072,,,,,,,,,,,,84.57317,0.32580,0.21590,0.69548,1.09723,1.64255,0.00000,
