
<<<<< Begin of task (6149c977-02fe-46cb-b06f-68cbefd7fafb) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_57-55cm_20um\2s16_57-55cm_20um_Rec\VOI\2s16_57-55cm_20um_rec_voi_0042.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1031
Total Z-position range, 40, 1070
Number of images inside VOI, 1031
Z-position range of VOI, 40, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 09:55:45 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/04/20 09:55:46 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 09:55:46 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2297 speckles removed
[ 12/04/20 09:55:49 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 09:55:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 09:55:52 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 09:56:31 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:39
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_57-55cm_20um\2s16_57-55cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_57-55cm_20um_rec_voi_1070.bmp,22.03278,100,95.39543,34.24106,35.89382,36.54877,297.23318,8.68061,0.34241,0.66028,-0.57257,72,28,7.74933,4.52877,18.45501,53.40503,61.15436,55.98280,64.10618,,,,,,,,,,,,73.78562,0.26553,0.23040,0.41149,1.55790,1.65878,13.61937,
2s16_57-55cm_20um_rec_voi_1069.bmp,22.01219,95,95.39543,34.64578,36.31807,36.54877,296.22481,8.55010,0.36469,0.68143,-0.97470,68,27,9.04843,8.93062,20.70853,51.70122,60.74965,54.19675,63.68193,,,,,,,,,,,,70.04091,0.25906,0.23392,0.41016,1.55262,1.63170,13.92764,
2s16_57-55cm_20um_rec_voi_1068.bmp,21.99160,96,95.39543,35.10895,36.80360,36.54877,292.93468,8.34359,0.36572,0.68238,-0.03138,64,32,7.63623,8.09047,17.86453,52.65025,60.28648,55.19159,63.19640,,,,,,,,,,,,66.87559,0.26167,0.23970,0.41160,1.53537,1.65989,13.88646,
2s16_57-55cm_20um_rec_voi_1067.bmp,21.97101,85,95.39543,35.54689,37.26268,36.54877,291.10351,8.18928,0.41820,0.72970,-1.75578,51,34,8.48498,14.99948,19.27008,51.36356,59.84853,53.84279,62.73732,,,,,,,,,,,,67.21860,0.26027,0.24422,0.41118,1.52577,1.65535,14.20928,
2s16_57-55cm_20um_rec_voi_1066.bmp,21.95042,80,95.39543,36.02713,37.76610,36.54877,297.33518,8.25309,0.45034,0.75722,-1.80978,40,40,8.40065,15.30568,18.90856,50.96764,59.36830,53.42776,62.23390,,,,,,,,,,,,69.87176,0.26756,0.24233,0.39934,1.55844,1.59087,14.38650,
2s16_57-55cm_20um_rec_voi_1065.bmp,21.92982,90,95.39543,36.29998,38.05212,36.54877,299.03952,8.23801,0.40333,0.71662,-0.88642,52,38,9.14855,8.19776,20.12947,49.94690,59.09545,52.35775,61.94788,,,,,,,,,,,,72.27033,0.28441,0.24278,0.39524,1.56737,1.66175,14.54667,
2s16_57-55cm_20um_rec_voi_1064.bmp,21.90923,82,95.39543,36.60494,38.37180,36.54877,300.62202,8.21261,0.44640,0.75391,-1.72087,40,42,8.67679,15.06564,19.16178,50.11369,58.79048,52.53260,61.62820,,,,,,,,,,,,73.93296,0.29778,0.24353,0.39113,1.57566,1.66328,14.92730,
2s16_57-55cm_20um_rec_voi_1063.bmp,21.88864,85,95.39543,36.76485,38.53942,36.54877,300.37407,8.17014,0.43253,0.74210,-2.22148,49,36,10.74212,23.96142,22.61167,47.88846,58.63058,50.19996,61.46058,,,,,,,,,,,,74.96117,0.31166,0.24479,0.39038,1.57436,1.66230,15.46561,
