
<<<<< Begin of task (95880831-1a3d-47b4-ba20-6b458124aa24) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_61-59cm_20um_redo\2s16_61-59cm_20um_redo_Rec\VOI\2s16_61-59cm_20um_redo_rec_voi_0176.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 921
Total Z-position range, 160, 1080
Number of images inside VOI, 921
Z-position range of VOI, 160, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 10:21:19 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/04/20 10:21:20 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 10:21:20 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1555 speckles removed
[ 12/04/20 10:21:24 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 10:21:24 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 10:21:27 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 10:22:16 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:49
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\64-47\2s16_61-59cm_20um_redo\2s16_61-59cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_61-59cm_20um_redo_rec_voi_1080.bmp,22.23870,81,95.39543,30.23702,31.69651,36.54877,253.49898,8.38373,0.37330,0.68942,0.11542,56,25,10.52985,-1.18656,25.82943,54.62855,65.15840,57.26538,68.30349,,,,,,,,,,,,113.31331,0.10077,0.23856,0.51407,1.32867,1.60701,10.37749,
2s16_61-59cm_20um_redo_rec_voi_1079.bmp,22.21810,76,95.39543,30.28944,31.75146,36.54877,253.76813,8.37811,0.39855,0.71235,-0.24371,52,24,6.49173,1.61207,17.64960,58.61426,65.10599,61.44346,68.24854,,,,,,,,,,,,113.62407,0.08614,0.23872,0.51311,1.33009,1.44296,10.37396,
2s16_61-59cm_20um_redo_rec_voi_1078.bmp,22.19751,76,95.39543,30.17788,31.63451,36.54877,254.23199,8.42445,0.39708,0.71104,-0.50986,47,29,7.29920,3.75251,19.47643,57.91836,65.21755,60.71398,68.36549,,,,,,,,,,,,133.62454,0.10085,0.23740,0.51306,1.33252,1.60768,10.32072,
2s16_61-59cm_20um_redo_rec_voi_1077.bmp,22.17692,87,95.39543,30.07670,31.52845,36.54877,257.69220,8.56784,0.34571,0.66345,-0.69044,66,21,8.96787,6.22397,22.96829,56.35086,65.31873,59.07082,68.47155,,,,,,,,,,,,135.45607,0.15024,0.23343,0.50695,1.35065,1.61226,10.99859,
2s16_61-59cm_20um_redo_rec_voi_1076.bmp,22.15633,88,95.39543,30.06408,31.51522,36.54877,258.79343,8.60806,0.34164,0.65953,-0.91339,64,24,8.83653,8.10475,22.71566,56.49481,65.33134,59.22172,68.48478,,,,,,,,,,,,138.03473,0.16979,0.23234,0.50489,1.35642,1.61410,11.20597,
2s16_61-59cm_20um_redo_rec_voi_1075.bmp,22.13574,86,95.39543,29.98591,31.43327,36.54877,259.04017,8.63873,0.34867,0.66629,-0.96069,57,29,10.23071,9.85021,25.43902,55.17881,65.40952,57.84219,68.56673,,,,,,,,,,,,140.67958,0.16788,0.23152,0.50501,1.35772,1.61689,11.28730,
2s16_61-59cm_20um_redo_rec_voi_1074.bmp,22.11515,80,95.39543,29.70983,31.14387,36.54877,256.99966,8.65033,0.37137,0.68764,-0.99213,50,30,6.42733,6.65892,17.78594,59.25827,65.68560,62.11856,68.85613,,,,,,,,,,,,144.88986,0.15884,0.23121,0.51117,1.34702,1.61313,11.03271,
2s16_61-59cm_20um_redo_rec_voi_1073.bmp,22.09456,78,95.39543,29.38758,30.80607,36.54877,254.58108,8.66288,0.37676,0.69261,-1.09389,50,28,9.90550,10.85829,25.20927,56.10234,66.00784,58.81031,69.19393,,,,,,,,,,,,144.47839,0.14833,0.23087,0.51856,1.33435,1.57811,10.96740,
