
<<<<< Begin of task (c246eef7-ab11-48c7-8a2b-aadb94f9407e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_64-62cm_20um\2s16_64-62cm_20um_Rec\VOI\2s16_64-62cm_20um_rec_voi_0176.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 553
Total number of images, 881
Total Z-position range, 160, 1040
Number of images inside VOI, 881
Z-position range of VOI, 160, 1040
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 17:16:24 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/14/20 17:16:25 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 17:16:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5376 speckles removed
[ 12/14/20 17:16:28 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 17:16:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 17:16:31 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 17:17:19 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:48
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_64-62cm_20um\2s16_64-62cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_64-62cm_20um_rec_voi_1040.bmp,21.41504,93,125.67851,23.40185,18.62041,44.82391,222.96824,9.52780,0.25163,0.56603,-0.38510,68,25,7.82581,3.01394,25.06051,94.45085,102.27666,75.15275,81.37959,,,,,,,,,,,,47.44726,0.35847,0.20991,0.91741,0.88706,1.52965,0.00000,
2s16_64-62cm_20um_rec_voi_1039.bmp,21.39445,92,125.67851,23.56917,18.75354,44.82391,225.39353,9.56307,0.25619,0.57113,-0.98828,66,26,13.97033,13.80719,37.21502,88.13900,102.10934,70.13053,81.24646,,,,,,,,,,,,48.21396,0.36172,0.20914,0.90605,0.89671,1.53078,0.00000,
2s16_64-62cm_20um_rec_voi_1038.bmp,21.37386,86,125.67851,23.70597,18.86239,44.82391,223.22241,9.41630,0.27565,0.59243,1.04950,58,28,8.23980,-8.64800,25.79308,93.73274,101.97254,74.58136,81.13761,,,,,,,,,,,,50.10461,0.36146,0.21240,0.91364,0.88807,1.53131,0.00000,
2s16_64-62cm_20um_rec_voi_1037.bmp,21.35327,90,125.67851,23.83486,18.96495,44.82391,222.36999,9.32961,0.26483,0.58068,-0.06015,65,25,6.89199,0.41463,22.42986,94.95165,101.84364,75.55123,81.03505,,,,,,,,,,,,52.28300,0.36549,0.21437,0.91598,0.88468,1.52973,0.00000,
2s16_64-62cm_20um_rec_voi_1036.bmp,21.33267,95,125.67851,23.96244,19.06646,44.82391,222.48026,9.28454,0.25224,0.56671,-1.25724,64,31,6.69255,8.41544,21.83185,95.02352,101.71607,75.60841,80.93354,,,,,,,,,,,,54.87625,0.37537,0.21541,0.91438,0.88512,1.53531,0.00000,
2s16_64-62cm_20um_rec_voi_1035.bmp,21.31208,90,125.67851,24.14253,19.20975,44.82391,222.99272,9.23651,0.26825,0.58442,-0.67621,65,25,7.40700,5.00898,23.47736,94.12898,101.53598,74.89664,80.79025,,,,,,,,,,,,57.56421,0.39330,0.21653,0.91067,0.88716,1.53785,0.00000,
2s16_64-62cm_20um_rec_voi_1034.bmp,21.29149,80,125.67851,24.31611,19.34787,44.82391,223.27015,9.18198,0.30395,0.62210,-1.40832,54,26,8.78369,12.37085,26.53699,92.57871,101.36240,73.66312,80.65213,,,,,,,,,,,,59.62556,0.40739,0.21782,0.90798,0.88826,1.53936,0.00000,
2s16_64-62cm_20um_rec_voi_1033.bmp,21.27090,83,125.67851,24.32925,19.35833,44.82391,223.06010,9.16839,0.29312,0.61091,-1.09962,57,26,5.88053,6.46679,19.46564,95.46873,101.34925,75.96265,80.64167,,,,,,,,,,,,61.09599,0.41956,0.21814,0.90872,0.88742,1.53992,0.00000,
