
<<<<< Begin of task (96422dd9-a303-4c02-9749-a994b2c1c0b7) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_66-64cm_20um\2s16_66-64cm_20um_Rec\VOI\2s16_66-64cm_20um_rec_voi_0067.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 562, 577
Total number of images, 1031
Total Z-position range, 50, 1080
Number of images inside VOI, 1031
Z-position range of VOI, 50, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 17:03:25 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/14/20 17:03:26 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 17:03:26 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1831 speckles removed
[ 12/14/20 17:03:30 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 17:03:30 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 17:03:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 17:04:27 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:52
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_66-64cm_20um\2s16_66-64cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_66-64cm_20um_rec_voi_1080.bmp,22.23870,80,137.49384,23.18121,16.85982,46.88305,213.08030,9.19194,0.28977,0.60740,0.45099,60,20,6.19450,2.81636,21.08716,108.11813,114.31263,78.63489,83.14018,,,,,,,,,,,,139.00682,0.39592,0.21758,1.07295,0.77487,1.50109,0.00000,
2s16_66-64cm_20um_rec_voi_1079.bmp,22.21810,89,137.49384,23.21730,16.88607,46.88305,215.70151,9.29055,0.26087,0.57632,1.02902,69,20,8.20959,-8.44844,26.12281,106.06695,114.27653,77.14306,83.11393,,,,,,,,,,,,139.99757,0.40131,0.21527,1.05958,0.78440,1.50586,0.00000,
2s16_66-64cm_20um_rec_voi_1078.bmp,22.19751,92,137.49384,23.21349,16.88329,46.88305,215.16785,9.26909,0.25232,0.56680,0.99588,77,15,6.47647,-2.75331,21.81366,107.80388,114.28035,78.40634,83.11671,,,,,,,,,,,,140.85667,0.39771,0.21577,1.06224,0.78246,1.50692,0.00000,
2s16_66-64cm_20um_rec_voi_1077.bmp,22.17692,88,137.49384,23.14882,16.83626,46.88305,217.43169,9.39277,0.26305,0.57873,-0.09340,73,15,0.26490,7.56450,1.13138,114.08011,114.34501,82.97108,83.16374,,,,,,,,,,,,140.61410,0.39344,0.21293,1.05178,0.79070,1.50611,0.00000,
2s16_66-64cm_20um_rec_voi_1076.bmp,22.15633,87,137.49384,23.08082,16.78681,46.88305,220.53710,9.55499,0.26530,0.58119,0.48991,70,17,8.35391,-4.09292,26.57541,106.05910,114.41301,77.13735,83.21319,,,,,,,,,,,,140.80998,0.38771,0.20931,1.03759,0.80199,1.50427,0.00000,
2s16_66-64cm_20um_rec_voi_1075.bmp,22.13574,86,137.49384,23.16398,16.84729,46.88305,221.38988,9.55750,0.26935,0.58562,1.06493,75,11,6.19816,-2.95473,21.10936,108.13169,114.32985,78.64476,83.15271,,,,,,,,,,,,140.78128,0.35577,0.20926,1.03284,0.80509,1.50681,0.00000,
2s16_66-64cm_20um_rec_voi_1074.bmp,22.11515,85,137.49384,23.30767,16.95179,46.88305,220.78299,9.47255,0.27421,0.59087,0.12041,71,14,6.76214,-0.81429,22.48814,107.42403,114.18617,78.13007,83.04821,,,,,,,,,,,,140.23275,0.32841,0.21114,1.03437,0.80288,1.51021,0.00000,
2s16_66-64cm_20um_rec_voi_1073.bmp,22.09456,90,137.49384,23.40508,17.02264,46.88305,221.43192,9.46085,0.26006,0.57543,1.25166,73,17,6.13398,-4.17229,20.76565,107.95478,114.08875,78.51609,82.97736,,,,,,,,,,,,141.61880,0.30021,0.21140,1.03046,0.80524,1.51247,0.00000,
