
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_68-66cm_20um\2s16_68-66cm_20um_Rec\VOI\2s16_68-66cm_20um_rec_voi_

<<<<< Begin of task (59025cfc-7e7f-4dd6-abc6-4ee52cceb29e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_68-66cm_20um\2s16_68-66cm_20um_Rec\VOI\2s16_68-66cm_20um_rec_voi_0057.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 566, 618
Total number of images, 891
Total Z-position range, 40, 930
Number of images inside VOI, 891
Z-position range of VOI, 40, 930
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 15:26:58 ] Thresholding
Mode, Global
Lower grey threshold, 70
Upper grey threshold, 200
[ 12/14/20 15:26:59 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 15:26:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1459 speckles removed
[ 12/14/20 15:27:02 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 15:27:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 15:27:04 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 15:27:34 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:30
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_68-66cm_20um\2s16_68-66cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,70
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_68-66cm_20um_rec_voi_0930.bmp,19.14999,59,148.31190,19.41588,13.09125,48.73627,160.86659,8.28531,0.32908,0.64730,-0.24920,44,15,4.47855,1.13443,18.74308,124.41746,128.89602,83.88906,86.90875,,,,,,,,,,,,162.63279,0.61102,0.24139,1.60252,0.54233,1.48068,0.18532,
2s16_68-66cm_20um_rec_voi_0929.bmp,19.12940,54,148.31190,19.87164,13.39854,48.73627,164.20032,8.26305,0.36799,0.68450,0.51994,41,13,4.65690,-2.40693,18.98565,123.78337,128.44027,83.46152,86.60146,,,,,,,,,,,,163.16464,0.59047,0.24204,1.56443,0.55356,1.48715,0.18532,
2s16_68-66cm_20um_rec_voi_0928.bmp,19.10880,57,148.31190,20.32098,13.70151,48.73627,166.35061,8.18615,0.35651,0.67374,2.39986,45,12,5.03093,-12.05697,19.84438,122.96000,127.99093,82.90636,86.29849,,,,,,,,,,,,163.25659,0.56303,0.24432,1.53881,0.56081,1.47516,0.18532,
2s16_68-66cm_20um_rec_voi_0927.bmp,19.08821,58,148.31190,20.64884,13.92258,48.73627,168.22381,8.14689,0.35601,0.67327,1.43508,46,12,4.49345,-2.71812,17.87207,123.16962,127.66307,83.04770,86.07742,,,,,,,,,,,,163.77816,0.53942,0.24549,1.51778,0.56713,1.47796,0.10296,
2s16_68-66cm_20um_rec_voi_0926.bmp,19.06762,62,148.31190,20.92582,14.10933,48.73627,170.32171,8.13931,0.33751,0.65554,2.82544,49,13,6.05167,-17.07920,22.43228,121.33442,127.38608,81.81030,85.89067,,,,,,,,,,,,164.58923,0.51930,0.24572,1.49583,0.57420,1.48782,0.10296,
2s16_68-66cm_20um_rec_voi_0925.bmp,19.04703,63,148.31190,21.00442,14.16233,48.73627,169.50255,8.06985,0.33340,0.65154,1.82063,52,11,4.96844,-7.73364,19.12935,122.33904,127.30748,82.48768,85.83767,,,,,,,,,,,,165.33503,0.51019,0.24784,1.50213,0.57144,1.48146,0.10296,
2s16_68-66cm_20um_rec_voi_0924.bmp,19.02644,61,148.31190,21.08837,14.21893,48.73627,169.51133,8.03814,0.34571,0.66346,1.08842,51,10,5.64308,-6.11666,21.11028,121.58045,127.22353,81.97619,85.78107,,,,,,,,,,,,165.81935,0.49779,0.24881,1.50106,0.57147,1.48474,0.10296,
2s16_68-66cm_20um_rec_voi_0923.bmp,19.00585,58,148.31190,21.11190,14.23480,48.73627,171.14209,8.10643,0.36400,0.68078,1.44740,45,13,5.69852,-8.22405,21.25488,121.50148,127.20000,81.92294,85.76520,,,,,,,,,,,,166.68213,0.48785,0.24672,1.48648,0.57697,1.48490,0.10296,
