
<<<<< Begin of task (74817238-28ec-40cd-88d8-32ac7bdfcae3) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_7.5-5.5cm_20um\2s16_7.5-5.5cm_20um_Rec\VOI\2s16_7.5-5.5cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 605, 578
Total number of images, 941
Total Z-position range, 50, 990
Number of images inside VOI, 941
Z-position range of VOI, 50, 990
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 09:49:12 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 09:49:12 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 09:49:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1767 speckles removed
[ 12/03/20 09:49:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:49:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 09:49:17 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:49:56 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:39
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_7.5-5.5cm_20um\2s16_7.5-5.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_7.5-5.5cm_20um_rec_voi_0990.bmp,20.38547,27,148.27035,26.52454,17.88931,48.69509,161.73092,6.09741,0.98239,1.11840,-5.09053,-1,28,5.44322,27.75236,17.02721,116.30259,121.74581,78.43955,82.11069,,,,,,,,,,,,159.27132,0.76557,0.32801,1.50554,0.54539,1.49670,0.18532,
2s16_7.5-5.5cm_20um_rec_voi_0989.bmp,20.36488,28,148.27035,26.37360,17.78750,48.69509,164.32887,6.23081,0.94191,1.09512,-0.38185,4,24,4.90399,21.91168,15.67893,116.99276,121.89675,78.90503,82.21250,,,,,,,,,,,,158.74438,0.76489,0.32099,1.48357,0.55415,1.42571,0.18532,
2s16_7.5-5.5cm_20um_rec_voi_0988.bmp,20.34429,25,148.27035,26.18338,17.65921,48.69509,165.55107,6.32276,1.04734,1.15478,-0.56472,-1,26,4.98095,23.64600,15.98285,117.10603,122.08697,78.98142,82.34079,,,,,,,,,,,,158.14108,0.76456,0.31632,1.47492,0.55827,1.50037,0.00000,
2s16_7.5-5.5cm_20um_rec_voi_0987.bmp,20.32370,24,148.27035,25.96295,17.51055,48.69509,166.41213,6.40960,1.08179,1.17362,-3.65562,-3,27,9.32371,34.08431,26.42277,112.98369,122.30740,76.20114,82.48945,,,,,,,,,,,,157.62286,0.76297,0.31203,1.46993,0.56118,1.50097,0.00000,
2s16_7.5-5.5cm_20um_rec_voi_0986.bmp,20.30311,32,148.27035,25.86230,17.44266,48.69509,167.88265,6.49140,0.80820,1.01441,-5.48010,7,25,6.37158,34.92038,19.76671,116.03647,122.40805,78.26007,82.55734,,,,,,,,,,,,157.27557,0.76203,0.30810,1.45826,0.56614,1.50219,0.00000,
2s16_7.5-5.5cm_20um_rec_voi_0985.bmp,20.28251,28,148.27035,25.87634,17.45214,48.69509,169.90731,6.56613,0.92416,1.08474,-4.54340,6,22,6.55061,29.76254,20.20114,115.84339,122.39401,78.12984,82.54786,,,,,,,,,,,,156.89633,0.76565,0.30459,1.44071,0.57296,1.50169,0.00000,
2s16_7.5-5.5cm_20um_rec_voi_0984.bmp,20.26192,30,148.27035,25.97042,17.51559,48.69509,169.46758,6.52541,0.86568,1.04987,-5.13025,6,24,5.61335,28.79899,17.77290,116.68658,122.29993,78.69853,82.48441,,,,,,,,,,,,156.59337,0.76964,0.30649,1.44334,0.57148,1.50558,0.00000,
2s16_7.5-5.5cm_20um_rec_voi_0983.bmp,20.24133,34,148.27035,26.11665,17.61421,48.69509,171.05094,6.54950,0.76814,0.98895,-5.17220,8,26,5.95791,30.81659,18.57518,116.19579,122.15370,78.36752,82.38579,,,,,,,,,,,,156.64193,0.77608,0.30537,1.42827,0.57682,1.50329,0.00000,
