
<<<<< Begin of task (7bae9558-6edb-48e8-9b5f-816141a5c493) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_71-69cm_20um\2s16_71-69cm_20um_Rec\VOI\2s16_71-69cm_20um_rec_voi_0077.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 991
Total Z-position range, 60, 1050
Number of images inside VOI, 991
Z-position range of VOI, 60, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:47:42 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/14/20 16:47:43 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:47:43 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2137 speckles removed
[ 12/14/20 16:47:46 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:47:46 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:47:48 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:48:39 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:51
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_71-69cm_20um\2s16_71-69cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_71-69cm_20um_rec_voi_1050.bmp,21.62095,104,95.39543,19.12920,20.05254,36.54877,198.32173,10.36749,0.18393,0.48393,1.99528,86,18,8.01682,-15.97818,29.53222,68.24940,76.26622,71.54368,79.94746,,,,,,,,,,,,178.23693,0.50814,0.19291,0.76912,1.03947,1.48862,6.73646,
2s16_71-69cm_20um_rec_voi_1049.bmp,21.60036,100,95.39543,19.49809,20.43923,36.54877,203.15889,10.41943,0.19498,0.49825,1.55436,83,17,6.42574,-9.96600,24.78702,69.47160,75.89734,72.82487,79.56077,,,,,,,,,,,,179.64014,0.49250,0.19195,0.74717,1.06483,1.41205,6.90265,
2s16_71-69cm_20um_rec_voi_1048.bmp,21.57977,105,95.39543,19.74221,20.69513,36.54877,204.37903,10.35239,0.18802,0.48928,1.26922,88,17,6.84567,-8.66485,25.74733,68.80755,75.65322,72.12877,79.30487,,,,,,,,,,,,179.57716,0.47371,0.19319,0.74032,1.07122,1.49822,7.19489,
2s16_71-69cm_20um_rec_voi_1047.bmp,21.55918,104,95.39543,19.96073,20.92420,36.54877,207.85216,10.41305,0.19193,0.49434,-0.05423,82,22,7.98460,0.46232,28.57221,67.45010,75.43470,70.70580,79.07580,,,,,,,,,,,,0.23978,0.45840,0.19207,0.72585,1.08942,1.50337,7.00457,
2s16_71-69cm_20um_rec_voi_1046.bmp,21.53859,108,95.39543,20.06228,21.03065,36.54877,212.77925,10.60594,0.18576,0.48633,-0.04964,85,23,8.87856,0.44077,30.67831,66.45459,75.33315,69.66224,78.96935,,,,,,,,,,,,179.32219,0.44622,0.18857,0.70809,1.11525,1.51218,6.84441,
2s16_71-69cm_20um_rec_voi_1045.bmp,21.51800,99,95.39543,20.21540,21.19116,36.54877,215.23159,10.64691,0.20420,0.50989,0.37505,80,19,9.23271,-3.46282,31.35248,65.94732,75.18003,69.13048,78.80884,,,,,,,,,,,,177.66429,0.43462,0.18785,0.69860,1.12810,1.50311,6.68571,
2s16_71-69cm_20um_rec_voi_1044.bmp,21.49741,100,95.39543,20.30863,21.28889,36.54877,218.96110,10.78168,0.20309,0.50851,0.68989,85,15,9.04928,-6.24341,30.82399,66.03753,75.08680,69.22504,78.71111,,,,,,,,,,,,176.78859,0.43128,0.18550,0.68585,1.14765,1.50997,6.62040,
2s16_71-69cm_20um_rec_voi_1043.bmp,21.47681,94,95.39543,20.37058,21.35384,36.54877,218.68680,10.73542,0.21671,0.52528,1.28985,80,14,8.49621,-10.95909,29.43248,66.52863,75.02484,69.73985,78.64616,,,,,,,,,,,,176.69979,0.41960,0.18630,0.68614,1.14621,1.51032,6.52348,
