
<<<<< Begin of task (b7458b61-a54d-4385-9bc6-844ed7d2dab8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_73-71cm_20um\2s16_73-71cm_20um_Rec\VOI\2s16_73-71cm_20um_rec_voi_0077.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 921
Total Z-position range, 60, 980
Number of images inside VOI, 921
Z-position range of VOI, 60, 980
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:43:22 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/14/20 16:43:22 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:43:22 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2264 speckles removed
[ 12/14/20 16:43:25 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:43:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:43:27 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:44:08 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:41
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_73-71cm_20um\2s16_73-71cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_73-71cm_20um_rec_voi_0980.bmp,20.17956,239,95.39543,28.48615,29.86113,36.54877,347.16009,12.18698,0.11919,0.38956,2.39902,229,10,8.95377,-21.46013,23.91503,57.95551,66.90928,60.75292,70.13887,,,,,,,,,,,,106.52933,0.51557,0.16411,0.38547,1.81958,1.66372,6.60834,
2s16_73-71cm_20um_rec_voi_0979.bmp,20.15897,229,95.39543,29.62142,31.05120,36.54877,354.65928,11.97307,0.12935,0.40583,2.11070,213,16,9.13901,-19.27951,23.57819,56.63500,65.77401,59.36867,68.94880,,,,,,,,,,,,107.17008,0.50167,0.16704,0.37091,1.85889,1.69657,6.83278,
2s16_73-71cm_20um_rec_voi_0978.bmp,20.13837,232,95.39543,30.50727,31.97981,36.54877,362.47431,11.88157,0.13150,0.40918,1.88193,220,12,9.36765,-17.62342,23.49259,55.52050,64.88815,58.20038,68.02019,,,,,,,,,,,,108.73113,0.47858,0.16833,0.35803,1.89985,1.69832,6.14930,
2s16_73-71cm_20um_rec_voi_0977.bmp,20.11778,225,95.39543,31.37892,32.89353,36.54877,370.44136,11.80542,0.13946,0.42139,1.75208,215,10,9.52909,-16.67622,23.29395,54.48741,64.01650,57.11743,67.10647,,,,,,,,,,,,110.80529,0.44211,0.16941,0.34562,1.94161,1.65166,6.04634,
2s16_73-71cm_20um_rec_voi_0976.bmp,20.09719,224,95.39543,32.23033,33.78603,36.54877,379.17704,11.76460,0.14389,0.42802,1.28596,211,13,9.75811,-12.52660,23.23999,53.40700,63.16510,55.98486,66.21397,,,,,,,,,,,,113.43338,0.41591,0.17000,0.33317,1.98740,1.51979,6.30240,
2s16_73-71cm_20um_rec_voi_0975.bmp,20.07660,225,95.39543,32.82701,34.41151,36.54877,384.67191,11.71815,0.14590,0.43100,1.26196,203,22,9.87741,-12.44217,23.12972,52.69101,62.56842,55.23431,65.58849,,,,,,,,,,,,116.19084,0.39780,0.17068,0.32531,2.01620,1.72635,6.58258,
2s16_73-71cm_20um_rec_voi_0974.bmp,20.05601,221,95.39543,33.35950,34.96971,36.54877,388.35438,11.64149,0.15095,0.43840,1.13596,202,19,9.94297,-11.27113,22.96167,52.09295,62.03592,54.60739,65.03029,,,,,,,,,,,,117.61834,0.39153,0.17180,0.31948,2.03550,1.73104,6.44051,
2s16_73-71cm_20um_rec_voi_0973.bmp,20.03542,217,95.39543,33.91649,35.55358,36.54877,391.74514,11.55029,0.15630,0.44610,1.22049,199,18,10.02931,-12.21798,22.82200,51.44963,61.47894,53.93301,64.44642,,,,,,,,,,,,118.65825,0.38979,0.17316,0.31387,2.05327,1.73603,6.37727,
