
<<<<< Begin of task (b446d39f-0f1e-413c-8684-56ecaa72cee7) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_77-75cm_20um\2s16_77-75cm_20um_Rec\VOI\2s16_77-75cm_20um_rec_voi_0076.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 553, 551
Total number of images, 1011
Total Z-position range, 60, 1070
Number of images inside VOI, 1011
Z-position range of VOI, 60, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:28:37 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/14/20 16:28:38 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:28:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2458 speckles removed
[ 12/14/20 16:28:41 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:28:41 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:28:44 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:29:28 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_77-75cm_20um\2s16_77-75cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_77-75cm_20um_rec_voi_1070.bmp,22.03278,243,129.19563,35.27394,27.30273,45.44165,420.14942,11.91104,0.14516,0.42991,0.65623,222,21,10.56790,-6.81033,23.05296,83.35379,93.92169,64.51750,72.69727,,,,,,,,,,,,168.00632,0.25585,0.16791,0.44709,1.62602,1.72599,0.10296,
2s16_77-75cm_20um_rec_voi_1069.bmp,22.01219,255,129.19563,35.65093,27.59453,45.44165,428.67783,12.02431,0.13981,0.42191,0.73121,236,19,10.78674,-7.76374,23.22843,82.75795,93.54470,64.05631,72.40547,,,,,,,,,,,,163.85472,0.27498,0.16633,0.43643,1.65903,1.73708,0.10296,
2s16_77-75cm_20um_rec_voi_1068.bmp,21.99160,235,129.19563,35.95489,27.82980,45.44165,429.50699,11.94572,0.15300,0.44137,0.35932,214,21,10.81059,-3.72975,23.11661,82.43015,93.24074,63.80258,72.17020,,,,,,,,,,,,162.07171,0.28849,0.16742,0.43418,1.66223,1.73039,0.12355,
2s16_77-75cm_20um_rec_voi_1067.bmp,21.97101,240,129.19563,36.19965,28.01925,45.44165,432.53331,11.94855,0.15083,0.43823,0.44129,213,27,10.73745,-4.58389,22.87626,82.25853,92.99598,63.66975,71.98075,,,,,,,,,,,,160.39327,0.31158,0.16738,0.43001,1.67395,1.74031,0.10296,
2s16_77-75cm_20um_rec_voi_1066.bmp,21.95042,245,129.19563,36.46762,28.22667,45.44165,434.87831,11.92505,0.14885,0.43534,0.38470,214,31,10.86264,-4.05265,22.95073,81.86537,92.72801,63.36543,71.77333,,,,,,,,,,,,156.07143,0.32181,0.16771,0.42645,1.68302,1.74556,0.10296,
2s16_77-75cm_20um_rec_voi_1065.bmp,21.92982,243,129.19563,36.52258,28.26921,45.44165,433.40436,11.86675,0.15030,0.43745,0.75902,218,25,10.94506,-8.18349,23.05793,81.72799,92.67305,63.25910,71.73079,,,,,,,,,,,,153.81072,0.33235,0.16854,0.42765,1.67732,1.74259,0.12355,
2s16_77-75cm_20um_rec_voi_1064.bmp,21.90923,255,129.19563,36.67930,28.39051,45.44165,437.21260,11.91987,0.14384,0.42795,0.67776,230,25,10.88517,-7.28161,22.88508,81.63116,92.51633,63.18415,71.60949,,,,,,,,,,,,150.79772,0.32053,0.16779,0.42321,1.69206,1.74794,0.12355,
2s16_77-75cm_20um_rec_voi_1063.bmp,21.88864,247,129.19563,36.76898,28.45993,45.44165,435.90253,11.85517,0.14886,0.43536,0.55004,220,27,11.00383,-5.98531,23.03367,81.42282,92.42665,63.02289,71.54007,,,,,,,,,,,,145.79750,0.30929,0.16870,0.42407,1.68699,1.74573,0.16473,
