
<<<<< Begin of task (c0df8391-cbe8-41c8-bfe0-20338916a4f2) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_79-77cm_20um\2s16_79-77cm_20um_Rec\VOI\2s16_79-77cm_20um_rec_voi_0067.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 659, 572
Total number of images, 931
Total Z-position range, 50, 980
Number of images inside VOI, 931
Z-position range of VOI, 50, 980
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:12:11 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/14/20 16:12:12 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:12:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2611 speckles removed
[ 12/14/20 16:12:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:12:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:12:18 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:13:01 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\79-62\2s16_79-77cm_20um\2s16_79-77cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_79-77cm_20um_rec_voi_0980.bmp,20.17956,154,159.82788,41.26073,25.81573,50.67186,467.26990,11.32481,0.26793,0.58407,-0.92731,107,47,12.24718,11.37741,22.88853,106.31997,118.56715,66.52154,74.18427,,,,,,,,,,,,108.53321,0.25656,0.17660,0.50749,1.46179,1.76651,0.10296,
2s16_79-77cm_20um_rec_voi_0979.bmp,20.15897,170,159.82788,41.34670,25.86952,50.67186,474.04607,11.46515,0.24322,0.55648,-1.21559,124,46,12.98828,15.78946,23.90409,105.49290,118.48118,66.00406,74.13048,,,,,,,,,,,,118.15176,0.23311,0.17444,0.49987,1.48299,1.77176,0.00000,
2s16_79-77cm_20um_rec_voi_0978.bmp,20.13837,174,159.82788,41.44904,25.93355,50.67186,479.21577,11.56156,0.23821,0.55073,-0.28885,134,40,12.42250,3.58872,23.05949,105.95634,118.37884,66.29402,74.06645,,,,,,,,,,,,121.73330,0.20224,0.17299,0.49405,1.49916,1.77312,0.00000,
2s16_79-77cm_20um_rec_voi_0977.bmp,20.11778,185,159.82788,41.56130,26.00379,50.67186,479.98239,11.54878,0.22466,0.53483,0.01842,154,31,12.33828,-0.22729,22.89124,105.92830,118.26658,66.27648,73.99621,,,,,,,,,,,,122.88353,0.15029,0.17318,0.49280,1.50156,1.76491,0.00000,
2s16_79-77cm_20um_rec_voi_0976.bmp,20.09719,172,159.82788,41.72353,26.10529,50.67186,479.50369,11.49240,0.24258,0.55575,-0.67096,129,43,12.53031,8.40760,23.09570,105.57404,118.10435,66.05483,73.89471,,,,,,,,,,,,101.98539,0.15036,0.17403,0.49261,1.50006,1.76926,0.00000,
2s16_79-77cm_20um_rec_voi_0975.bmp,20.07660,160,159.82788,41.92462,26.23110,50.67186,474.97915,11.32936,0.26203,0.57760,-0.54989,124,36,12.43284,6.83716,22.87237,105.47043,117.90326,65.99000,73.76890,,,,,,,,,,,,94.39522,0.17969,0.17653,0.49646,1.48591,1.76911,0.00000,
2s16_79-77cm_20um_rec_voi_0974.bmp,20.05601,147,159.82788,42.24988,26.43461,50.67186,477.04449,11.29102,0.28741,0.60494,-0.93308,100,47,12.52368,11.68603,22.86446,105.05432,117.57800,65.72966,73.56539,,,,,,,,,,,,93.93264,0.21044,0.17713,0.49294,1.49237,1.79142,0.00000,
2s16_79-77cm_20um_rec_voi_0973.bmp,20.03542,155,159.82788,42.42595,26.54478,50.67186,477.57866,11.25676,0.27372,0.59034,-1.07049,112,43,12.34756,13.21892,22.54294,105.05437,117.40193,65.72969,73.45522,,,,,,,,,,,,92.21589,0.21808,0.17767,0.49165,1.49404,1.77295,0.00000,
