
<<<<< Begin of task (e2ed4c19-c106-43e6-b475-c09674906b6d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_83-81cm_20um\2s16_83-81cm_20um_Rec\VOI\2s16_83-81cm_20um_rec_voi_0051.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 562, 599
Total number of images, 901
Total Z-position range, 50, 950
Number of images inside VOI, 901
Z-position range of VOI, 50, 950
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 17:05:46 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/14/20 17:05:47 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 17:05:47 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3997 speckles removed
[ 12/14/20 17:05:50 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 17:05:50 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 17:05:52 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 17:06:31 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:39
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_83-81cm_20um\2s16_83-81cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_83-81cm_20um_rec_voi_0950.bmp,19.56182,149,142.73624,32.67330,22.89069,47.78907,353.10504,10.80714,0.21928,0.52839,0.37505,113,36,9.05044,-3.39452,21.69135,101.01249,110.06293,70.76864,77.10931,,,,,,,,,,,,24.78291,0.33072,0.18506,0.62340,1.23691,1.69118,0.00000,
2s16_83-81cm_20um_rec_voi_0949.bmp,19.54122,144,142.73624,32.58400,22.82812,47.78907,350.82036,10.76665,0.22628,0.53675,0.34641,103,41,8.90172,-3.08383,21.45732,101.25051,110.15224,70.93540,77.17188,,,,,,,,,,,,24.41976,0.32018,0.18576,0.62797,1.22891,1.69153,0.00000,
2s16_83-81cm_20um_rec_voi_0948.bmp,19.52063,136,142.73624,32.60382,22.84201,47.78907,349.68551,10.72529,0.23973,0.55248,0.18920,101,35,8.87135,-1.67862,21.38955,101.26106,110.13241,70.94279,77.15799,,,,,,,,,,,,22.71220,0.30131,0.18648,0.62989,1.22494,1.68659,0.00000,
2s16_83-81cm_20um_rec_voi_0947.bmp,19.50004,134,142.73624,32.46114,22.74205,47.78907,350.79502,10.80661,0.24225,0.55537,0.13353,99,35,8.90352,-1.18892,21.52447,101.37157,110.27509,71.02021,77.25795,,,,,,,,,,,,15.73472,0.27420,0.18507,0.62872,1.22882,1.68181,0.00000,
2s16_83-81cm_20um_rec_voi_0946.bmp,19.47945,147,142.73624,32.16365,22.53363,47.78907,353.83220,11.00100,0.21880,0.52781,0.69740,119,28,8.95419,-6.24491,21.77690,101.61839,110.57258,71.19313,77.46637,,,,,,,,,,,,12.22693,0.26253,0.18180,0.62500,1.23946,1.68590,0.00000,
2s16_83-81cm_20um_rec_voi_0945.bmp,19.45886,148,142.73624,31.96553,22.39483,47.78907,358.01093,11.19990,0.21598,0.52440,0.48405,114,34,9.13100,-4.41995,22.21842,101.63970,110.77070,71.20806,77.60517,,,,,,,,,,,,12.33148,0.25727,0.17857,0.61881,1.25410,1.68568,0.00000,
2s16_83-81cm_20um_rec_voi_0944.bmp,19.43827,152,142.73624,31.86754,22.32617,47.78907,363.16135,11.39597,0.20965,0.51666,0.19132,114,38,9.34693,-1.78839,22.67876,101.52177,110.86870,71.12544,77.67383,,,,,,,,,,,,17.27801,0.25246,0.17550,0.61058,1.27214,1.69251,0.00000,
2s16_83-81cm_20um_rec_voi_0943.bmp,19.41768,158,142.73624,32.00555,22.42286,47.78907,368.85557,11.52474,0.20257,0.50785,0.43462,120,38,9.47583,-4.11875,22.84357,101.25486,110.73069,70.93844,77.57714,,,,,,,,,,,,23.03501,0.23386,0.17354,0.60040,1.29209,1.69341,0.00000,
