
<<<<< Begin of task (47d7ed4c-7ee6-4499-b6ae-2a0e495d41f8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_85-83cm_20um\2s16_85-83cm_20um_Rec\VOI\2s16_85-83cm_20um_rec_voi_0257.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 577, 574
Total number of images, 831
Total Z-position range, 240, 1070
Number of images inside VOI, 831
Z-position range of VOI, 240, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:56:08 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/14/20 16:56:09 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:56:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4477 speckles removed
[ 12/14/20 16:56:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:56:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:56:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:56:43 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:28
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_85-83cm_20um\2s16_85-83cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_85-83cm_20um_rec_voi_1070.bmp,22.03278,195,140.42965,29.29849,20.86346,47.37724,361.08979,12.32452,0.15025,0.43738,0.81053,157,38,9.24824,-7.49645,23.99228,101.88292,111.13116,72.55086,79.13654,,,,,,,,,,,,38.21910,0.22079,0.16228,0.61553,1.28566,1.65253,0.00000,
2s16_85-83cm_20um_rec_voi_1069.bmp,22.01219,211,140.42965,29.12783,20.74194,47.37724,359.32015,12.33598,0.13805,0.41924,0.75289,172,39,9.32011,-7.01760,24.24086,101.98171,111.30182,72.62121,79.25806,,,,,,,,,,,,51.65952,0.23193,0.16213,0.61951,1.27936,1.69202,0.00000,
2s16_85-83cm_20um_rec_voi_1068.bmp,21.99160,207,140.42965,29.00783,20.65649,47.37724,360.56976,12.43008,0.14013,0.42240,0.62592,159,48,9.31741,-5.83244,24.31141,102.10441,111.42181,72.70858,79.34351,,,,,,,,,,,,58.01630,0.26725,0.16090,0.61803,1.28381,1.69886,0.00000,
2s16_85-83cm_20um_rec_voi_1067.bmp,21.97101,194,140.42965,28.88821,20.57130,47.37724,361.98062,12.53039,0.14891,0.43543,0.44009,149,45,9.39574,-4.13516,24.54225,102.14570,111.54144,72.73798,79.42870,,,,,,,,,,,,62.56071,0.30090,0.15961,0.61628,1.28883,1.69922,0.00000,
2s16_85-83cm_20um_rec_voi_1066.bmp,21.95042,201,140.42965,28.65458,20.40494,47.37724,359.59565,12.54932,0.14256,0.42604,0.90154,164,37,9.32891,-8.41075,24.56043,102.44616,111.77506,72.95194,79.59506,,,,,,,,,,,,65.92959,0.31867,0.15937,0.62167,1.28034,1.69854,0.00000,
2s16_85-83cm_20um_rec_voi_1065.bmp,21.92982,187,140.42965,28.55468,20.33380,47.37724,355.57201,12.45232,0.15270,0.44093,1.07722,157,30,9.13514,-9.84144,24.23768,102.73983,111.87497,73.16107,79.66620,,,,,,,,,,,,66.27613,0.34257,0.16061,0.62927,1.26601,1.69246,0.00000,
2s16_85-83cm_20um_rec_voi_1064.bmp,21.90923,195,140.42965,28.43294,20.24710,47.37724,353.75740,12.44182,0.14581,0.43087,0.89491,161,34,9.16344,-8.20120,24.37320,102.83327,111.99671,73.22761,79.75290,,,,,,,,,,,,66.97953,0.36342,0.16075,0.63318,1.25955,1.69546,0.00000,
2s16_85-83cm_20um_rec_voi_1063.bmp,21.88864,187,140.42965,28.24621,20.11414,47.37724,356.51800,12.62180,0.15105,0.43855,0.40953,151,36,9.20589,-3.77037,24.58044,102.97754,112.18343,73.33034,79.88586,,,,,,,,,,,,66.99561,0.37602,0.15846,0.62933,1.26938,1.57066,0.00000,
