
<<<<< Begin of task (051170ad-4e8a-4d48-bef8-884fd5c3736e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_87-85cm_20um\2s16_87-85cm_20um_Rec\VOI\2s16_87-85cm_20um_rec_voi_0061.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 599, 577
Total number of images, 961
Total Z-position range, 60, 1020
Number of images inside VOI, 961
Z-position range of VOI, 60, 1020
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:44:18 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/14/20 16:44:19 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:44:19 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3526 speckles removed
[ 12/14/20 16:44:24 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:44:24 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:44:28 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:45:04 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_87-85cm_20um\2s16_87-85cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_87-85cm_20um_rec_voi_1020.bmp,21.00321,150,146.54592,23.11347,15.77217,48.40681,280.61938,12.14094,0.15409,0.44294,0.77630,125,25,7.31987,-5.68299,24.05213,116.11258,123.43245,79.23290,84.22783,,,,,,,,,,,,109.22608,0.46737,0.16473,0.87971,0.95745,1.58998,0.00000,
2s16_87-85cm_20um_rec_voi_1019.bmp,20.98262,149,146.54592,23.08761,15.75452,48.40681,278.35140,12.05631,0.15495,0.44417,0.83742,120,29,7.22001,-6.04657,23.82243,116.23830,123.45831,79.31869,84.24548,,,,,,,,,,,,107.35054,0.46166,0.16589,0.88707,0.94971,1.58817,0.00000,
2s16_87-85cm_20um_rec_voi_1018.bmp,20.96203,134,146.54592,23.21693,15.84277,48.40681,275.00975,11.84522,0.17326,0.46968,0.68200,106,28,7.10262,-4.84434,23.42586,116.22638,123.32899,79.31055,84.15723,,,,,,,,,,,,106.61258,0.46343,0.16884,0.89691,0.93831,1.58708,0.00000,
2s16_87-85cm_20um_rec_voi_1017.bmp,20.94144,136,146.54592,23.34424,15.92964,48.40681,274.13684,11.74323,0.17165,0.46749,0.40206,106,30,7.05931,-2.83845,23.21872,116.14237,123.20168,79.25323,84.07036,,,,,,,,,,,,107.36577,0.45882,0.17031,0.89883,0.93533,1.61253,0.00000,
2s16_87-85cm_20um_rec_voi_1016.bmp,20.92085,141,146.54592,23.57060,16.08411,48.40681,276.52266,11.73167,0.16717,0.46135,0.42385,106,35,7.10929,-3.01353,23.17248,115.86602,122.97532,79.06465,83.91589,,,,,,,,,,,,108.41367,0.44895,0.17048,0.88944,0.94347,1.59037,0.00000,
2s16_87-85cm_20um_rec_voi_1015.bmp,20.90026,147,146.54592,23.77964,16.22675,48.40681,278.04985,11.69277,0.16177,0.45384,0.49752,112,35,7.18832,-3.57681,23.21212,115.57797,122.76628,78.86809,83.77325,,,,,,,,,,,,108.79380,0.44140,0.17105,0.88305,0.94868,1.59103,0.00000,
2s16_87-85cm_20um_rec_voi_1014.bmp,20.87966,141,146.54592,24.01183,16.38519,48.40681,281.01879,11.70335,0.17030,0.46565,0.30906,107,34,7.21726,-2.23070,23.11068,115.31683,122.53409,78.68989,83.61481,,,,,,,,,,,,108.83652,0.43311,0.17089,0.87207,0.95881,1.59589,0.00000,
2s16_87-85cm_20um_rec_voi_1013.bmp,20.85907,133,146.54592,24.22511,16.53073,48.40681,281.69356,11.62817,0.18214,0.48157,0.05326,92,41,7.36555,-0.39232,23.31560,114.95526,122.32081,78.44317,83.46927,,,,,,,,,,,,111.11814,0.41871,0.17200,0.86847,0.96111,1.59861,0.00000,
