
<<<<< Begin of task (68b9de6b-e207-4594-bf8f-380f7f8e9dec) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_89-87cm_20um\2s16_89-87cm_20um_Rec\VOI\2s16_89-87cm_20um_rec_voi_0215.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 547, 586
Total number of images, 871
Total Z-position range, 200, 1070
Number of images inside VOI, 871
Z-position range of VOI, 200, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:27:06 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/14/20 16:27:07 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:27:07 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3600 speckles removed
[ 12/14/20 16:27:09 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:27:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:27:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:27:45 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_89-87cm_20um\2s16_89-87cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_89-87cm_20um_rec_voi_1070.bmp,22.03278,157,135.91145,30.94283,22.76691,46.63595,345.80570,11.17563,0.19709,0.50094,1.02376,129,28,8.89208,-9.10358,22.32232,96.07654,104.96862,70.69054,77.23309,,,,,,,,,,,,129.60479,0.16058,0.17896,0.60710,1.27217,1.58078,0.00000,
2s16_89-87cm_20um_rec_voi_1069.bmp,22.01219,166,135.91145,30.93229,22.75915,46.63595,348.61233,11.27018,0.18634,0.48709,1.12178,138,28,8.94184,-9.99219,22.42518,96.03732,104.97916,70.66168,77.24085,,,,,,,,,,,,114.53836,0.18625,0.17746,0.60227,1.28250,1.70287,0.02059,
2s16_89-87cm_20um_rec_voi_1068.bmp,21.99160,164,135.91145,31.14280,22.91404,46.63595,351.80389,11.29647,0.18990,0.49171,0.91961,126,38,8.97879,-8.21876,22.37894,95.78986,104.76864,70.47961,77.08596,,,,,,,,,,,,99.49659,0.22380,0.17705,0.59561,1.29424,1.70598,0.06177,
2s16_89-87cm_20um_rec_voi_1067.bmp,21.97101,170,135.91145,31.25172,22.99418,46.63595,354.71510,11.35026,0.18383,0.48380,1.00697,137,33,9.10683,-9.13306,22.56482,95.55289,104.65973,70.30526,77.00582,,,,,,,,,,,,96.88635,0.26650,0.17621,0.59011,1.30495,1.70840,0.10296,
2s16_89-87cm_20um_rec_voi_1066.bmp,21.95042,186,135.91145,31.30700,23.03485,46.63595,357.50982,11.41948,0.16832,0.46293,1.43037,156,30,9.18390,-13.10124,22.68139,95.42055,104.60445,70.20788,76.96515,,,,,,,,,,,,95.69869,0.29592,0.17514,0.58518,1.31523,1.70857,0.12355,
2s16_89-87cm_20um_rec_voi_1065.bmp,21.92982,190,135.91145,31.48757,23.16771,46.63595,359.59979,11.42037,0.16572,0.45935,1.35198,162,28,9.25858,-12.48264,22.72258,95.16530,104.42387,70.02008,76.83229,,,,,,,,,,,,95.25985,0.30304,0.17513,0.58078,1.32292,1.70979,0.12355,
2s16_89-87cm_20um_rec_voi_1064.bmp,21.90923,185,135.91145,31.90368,23.47387,46.63595,363.85247,11.40472,0.17245,0.46859,1.04359,144,41,9.32456,-9.69427,22.61693,94.68320,104.00777,69.66536,76.52613,,,,,,,,,,,,91.31482,0.31330,0.17537,0.57170,1.33856,1.71269,0.12355,
2s16_89-87cm_20um_rec_voi_1063.bmp,21.88864,174,135.91145,32.30484,23.76904,46.63595,368.00743,11.39171,0.18566,0.48620,0.77493,134,40,9.42706,-7.27983,22.58958,94.17954,103.60660,69.29478,76.23096,,,,,,,,,,,,89.15946,0.31972,0.17557,0.56307,1.35385,1.67000,0.14414,
