
<<<<< Begin of task (95e5f2a9-d48a-4a8c-bbdc-aacd68089042) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_89.5-87.5cm_20um\2s16_89.5-87.5cm_20um_Rec\VOI\2s16_89.5-87.5cm_20um_rec_voi_0245.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 577, 564
Total number of images, 841
Total Z-position range, 230, 1070
Number of images inside VOI, 841
Z-position range of VOI, 230, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/14/20 16:36:05 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/14/20 16:36:06 ]	Thresholding done

-----------------------------------------------------------------
[ 12/14/20 16:36:06 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2416 speckles removed
[ 12/14/20 16:36:09 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:36:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/14/20 16:36:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/14/20 16:36:39 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:27
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_89.5-87.5cm_20um\2s16_89.5-87.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_89.5-87.5cm_20um_rec_voi_1070.bmp,22.03278,150,137.98314,24.73429,17.92559,46.96542,291.23014,11.77435,0.16490,0.45820,0.63455,128,22,7.66045,-4.83349,23.64720,105.58840,113.24885,76.52269,82.07441,,,,,,,,,,,,60.56940,0.40488,0.16986,0.77773,1.05531,1.61002,0.04118,
2s16_89.5-87.5cm_20um_rec_voi_1069.bmp,22.01219,147,137.98314,24.90818,18.05161,46.96542,290.07152,11.64563,0.16944,0.46448,1.07590,119,28,7.45677,-7.99593,23.03964,105.61819,113.07496,76.54427,81.94839,,,,,,,,,,,,62.78400,0.43118,0.17174,0.77964,1.05111,1.60975,0.02059,
2s16_89.5-87.5cm_20um_rec_voi_1068.bmp,21.99160,142,137.98314,24.98455,18.10696,46.96542,286.83792,11.48061,0.17595,0.47331,0.88747,109,33,7.37732,-6.51956,22.79633,105.62126,112.99858,76.54650,81.89304,,,,,,,,,,,,64.57035,0.45329,0.17421,0.78789,1.03939,1.60592,0.00000,
2s16_89.5-87.5cm_20um_rec_voi_1067.bmp,21.97101,136,137.98314,24.93129,18.06836,46.96542,283.87604,11.38634,0.18332,0.48312,0.90607,109,27,7.28457,-6.60072,22.61174,105.76728,113.05185,76.65232,81.93164,,,,,,,,,,,,63.71204,0.47162,0.17565,0.79649,1.02866,1.60508,0.00000,
2s16_89.5-87.5cm_20um_rec_voi_1066.bmp,21.95042,136,137.98314,24.94030,18.07489,46.96542,280.12741,11.23192,0.18338,0.48321,0.76840,110,26,7.42136,-5.70262,22.93257,105.62148,113.04284,76.54666,81.92511,,,,,,,,,,,,63.05797,0.48138,0.17806,0.80708,1.01508,1.60337,0.00000,
2s16_89.5-87.5cm_20um_rec_voi_1065.bmp,21.92982,139,137.98314,24.91989,18.06010,46.96542,275.91470,11.07207,0.17928,0.47777,1.12752,124,15,7.29209,-8.22269,22.63782,105.77115,113.06324,76.65513,81.93990,,,,,,,,,,,,62.51949,0.48012,0.18063,0.81955,0.99981,1.60110,0.00000,
2s16_89.5-87.5cm_20um_rec_voi_1064.bmp,21.90923,141,137.98314,24.75798,17.94276,46.96542,272.86168,11.02116,0.17559,0.47283,0.80943,119,22,6.17950,-5.00216,19.97417,107.04566,113.22516,77.57880,82.05724,,,,,,,,,,,,61.50935,0.46789,0.18147,0.82991,0.98875,1.59893,0.00000,
2s16_89.5-87.5cm_20um_rec_voi_1063.bmp,21.88864,134,137.98314,24.56405,17.80221,46.96542,269.91857,10.98836,0.18331,0.48312,1.14488,111,23,7.14915,-8.18529,22.54314,106.26994,113.41909,77.01661,82.19779,,,,,,,,,,,,59.52113,0.44875,0.18201,0.84039,0.97809,1.59221,0.00000,
