
<<<<< Begin of task (bf377d25-2396-4cf9-8ee3-42067927da49) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_9-7cm_20um\2s16_9-7cm_20um_Rec\VOI\2s16_9-7cm_20um_rec_voi_0190.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 581, 608
Total number of images, 911
Total Z-position range, 160, 1070
Number of images inside VOI, 911
Z-position range of VOI, 160, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/03/20 09:36:48 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/03/20 09:36:49 ]	Thresholding done

-----------------------------------------------------------------
[ 12/03/20 09:36:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1343 speckles removed
[ 12/03/20 09:36:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:36:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/03/20 09:36:54 ]	Despeckle done

-----------------------------------------------------------------
[ 12/03/20 09:37:25 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:31
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\19-02\2s16_9-7cm_20um\2s16_9-7cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_9-7cm_20um_rec_voi_1070.bmp,22.03278,68,149.77896,30.18222,20.15118,48.94219,224.37339,7.43396,0.44386,0.75175,0.52753,55,13,9.02993,-4.76390,23.02840,110.56681,119.59674,73.81999,79.84882,,,,,,,,,,,,171.30522,0.39880,0.26904,1.06605,0.74902,1.55618,0.00000,
2s16_9-7cm_20um_rec_voi_1069.bmp,22.01219,73,149.77896,30.11136,20.10386,48.94219,223.50598,7.42265,0.41248,0.72470,0.43522,58,15,9.22428,-4.01469,23.45019,110.44332,119.66760,73.73754,79.89614,,,,,,,,,,,,171.68726,0.40735,0.26945,1.07082,0.74612,1.55498,0.00000,
2s16_9-7cm_20um_rec_voi_1068.bmp,21.99160,71,149.77896,30.06403,20.07227,48.94219,221.82127,7.37829,0.42344,0.73426,-0.29468,58,13,7.68159,2.26372,20.35095,112.03334,119.71493,74.79911,79.92773,,,,,,,,,,,,171.61009,0.41655,0.27107,1.07938,0.74050,1.55300,0.00000,
2s16_9-7cm_20um_rec_voi_1067.bmp,21.97101,70,149.77896,29.98723,20.02099,48.94219,223.57422,7.45565,0.42839,0.73854,-0.54679,53,17,9.18952,5.02483,23.45656,110.60221,119.79173,73.84362,79.97901,,,,,,,,,,,,171.54846,0.42900,0.26825,1.07161,0.74635,1.56283,0.00000,
2s16_9-7cm_20um_rec_voi_1066.bmp,21.95042,63,149.77896,30.16198,20.13766,48.94219,223.55509,7.41182,0.47876,0.78075,-0.69016,49,14,8.35539,5.76683,21.69253,111.26159,119.61698,74.28386,79.86234,,,,,,,,,,,,171.40978,0.42661,0.26984,1.07013,0.74628,1.56019,0.00000,
2s16_9-7cm_20um_rec_voi_1065.bmp,21.92982,63,149.77896,30.39571,20.29371,48.94219,223.28387,7.34590,0.48247,0.78377,-0.81439,51,12,8.53607,6.95199,21.92572,110.84718,119.38325,74.00718,79.70629,,,,,,,,,,,,171.18581,0.41593,0.27226,1.06934,0.74538,1.55397,0.00000,
2s16_9-7cm_20um_rec_voi_1064.bmp,21.90923,61,149.77896,30.71864,20.50932,48.94219,225.60267,7.34416,0.50358,0.80074,-0.48301,41,20,7.09270,3.42597,18.75814,111.96761,119.06032,74.75524,79.49068,,,,,,,,,,,,171.25679,0.40254,0.27233,1.05549,0.75312,1.56031,0.00000,
2s16_9-7cm_20um_rec_voi_1063.bmp,21.88864,66,149.77896,30.95539,20.66739,48.94219,227.50914,7.34958,0.46902,0.77277,-1.41476,47,19,8.17471,11.56617,20.89111,110.64885,118.82357,73.87476,79.33261,,,,,,,,,,,,169.86092,0.38663,0.27212,1.04456,0.75948,1.55658,0.00000,
