
<<<<< Begin of task (4004e49f-5e86-4d55-bfdd-e07c20620a92) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_91-89cm_20um_redo\2s16_91-89cm_20um_redo_Rec\VOI\2s16_91-89cm_20um_redo_rec_voi_0053.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 562, 599
Total number of images, 991
Total Z-position range, 50, 1040
Number of images inside VOI, 991
Z-position range of VOI, 50, 1040
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 09:29:24 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/15/20 09:29:25 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 09:29:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4511 speckles removed
[ 12/15/20 09:29:28 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 09:29:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 09:29:31 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 09:30:25 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:54
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_91-89cm_20um_redo\2s16_91-89cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_91-89cm_20um_redo_rec_voi_1040.bmp,21.41504,181,142.73624,34.94682,24.48350,47.78907,408.94813,11.70201,0.19308,0.49581,-0.22083,147,34,10.51978,2.32326,23.13738,97.26964,107.78942,68.14642,75.51650,,,,,,,,,,,,90.62374,0.52432,0.17091,0.52715,1.43253,1.70488,0.00000,
2s16_91-89cm_20um_redo_rec_voi_1039.bmp,21.39445,168,142.73624,35.07937,24.57636,47.78907,406.16754,11.57853,0.20881,0.51562,-0.03102,137,31,10.31875,0.34926,22.72946,97.33811,107.65686,68.19440,75.42364,,,,,,,,,,,,90.49555,0.51790,0.17273,0.53011,1.42279,1.70598,0.00000,
2s16_91-89cm_20um_redo_rec_voi_1038.bmp,21.37386,167,142.73624,35.26233,24.70454,47.78907,409.02428,11.59947,0.21115,0.51850,-0.36731,134,33,10.62419,3.93231,23.15318,96.84971,107.47390,67.85223,75.29546,,,,,,,,,,,,89.63649,0.51691,0.17242,0.52551,1.43280,1.71014,0.00000,
2s16_91-89cm_20um_redo_rec_voi_1037.bmp,21.35327,169,142.73624,35.47211,24.85151,47.78907,411.04981,11.58797,0.20989,0.51696,-0.67642,129,40,10.73825,7.29396,23.23775,96.52588,107.26413,67.62535,75.14849,,,,,,,,,,,,88.21696,0.51891,0.17259,0.52190,1.43989,1.71204,0.00000,
2s16_91-89cm_20um_redo_rec_voi_1036.bmp,21.33267,167,142.73624,35.61267,24.94998,47.78907,413.67551,11.61597,0.21325,0.52107,-0.09561,128,39,10.50960,1.00491,22.78640,96.61397,107.12357,67.68706,75.05002,,,,,,,,,,,,86.95215,0.51652,0.17218,0.51791,1.44909,1.71155,0.00000,
2s16_91-89cm_20um_redo_rec_voi_1035.bmp,21.31208,161,142.73624,35.53327,24.89436,47.78907,414.30153,11.65954,0.22070,0.53010,-0.10453,123,38,10.49980,1.09762,22.80925,96.70317,107.20296,67.74956,75.10564,,,,,,,,,,,,86.67034,0.51207,0.17153,0.51751,1.45128,1.71709,0.00000,
2s16_91-89cm_20um_redo_rec_voi_1034.bmp,21.29149,189,142.73624,35.48483,24.86042,47.78907,416.47816,11.73679,0.18775,0.48893,-0.19226,145,44,10.64014,2.07530,23.06808,96.61126,107.25141,67.68517,75.13958,,,,,,,,,,,,87.24949,0.50778,0.17040,0.51504,1.45891,1.71053,0.00000,
2s16_91-89cm_20um_redo_rec_voi_1033.bmp,21.27090,192,142.73624,35.60329,24.94341,47.78907,419.13277,11.77231,0.18543,0.48590,-0.14792,152,40,10.96986,1.64021,23.55405,96.16309,107.13295,67.37118,75.05659,,,,,,,,,,,,86.51188,0.50756,0.16989,0.51121,1.46821,1.72031,0.02059,
