
<<<<< Begin of task (0458c5c0-82b7-4803-ac52-275d68515506) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_93-91cm_20um\2s16_93-91cm_20um_Rec\VOI\2s16_93-91cm_20um_rec_voi_0063.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 761
Total Z-position range, 60, 820
Number of images inside VOI, 761
Z-position range of VOI, 60, 820
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 09:25:48 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/15/20 09:25:49 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 09:25:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5701 speckles removed
[ 12/15/20 09:25:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 09:25:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 09:25:54 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 09:26:44 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:50
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s16_8Feb2020\94-77\2s16_93-91cm_20um\2s16_93-91cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s16_93-91cm_20um_rec_voi_0820.bmp,16.88494,201,95.39543,41.35221,43.34821,36.54877,476.17566,11.51512,0.20573,0.51181,0.42156,177,24,12.12570,-5.04018,22.67422,41.91752,54.04322,43.94080,56.65179,,,,,,,,,,,,90.79681,0.19982,0.17368,0.22699,2.49580,1.78777,15.57477,
2s16_93-91cm_20um_rec_voi_0819.bmp,16.86434,201,95.39543,41.62660,43.63584,36.54877,479.11513,11.50983,0.20710,0.51350,0.55044,168,33,12.10180,-6.59185,22.52402,41.66704,53.76883,43.67823,56.36416,,,,,,,,,,,,100.66235,0.16489,0.17376,0.22445,2.51121,1.76583,15.79774,
2s16_93-91cm_20um_rec_voi_0818.bmp,16.84375,189,95.39543,41.93352,43.95758,36.54877,483.54010,11.53111,0.22187,0.53150,0.05660,152,37,12.21834,-0.62434,22.56311,41.24356,53.46190,43.23432,56.04242,,,,,,,,,,,,114.21134,0.16361,0.17344,0.22113,2.53440,1.76805,15.56624,
2s16_93-91cm_20um_rec_voi_0817.bmp,16.82316,194,95.39543,42.12740,44.16082,36.54877,484.08426,11.49096,0.21715,0.52582,-0.01737,163,31,12.22295,0.28082,22.48919,41.04507,53.26803,43.02625,55.83918,,,,,,,,,,,,121.88959,0.16887,0.17405,0.22008,2.53725,1.77176,15.99659,
2s16_93-91cm_20um_rec_voi_0816.bmp,16.80257,174,95.39543,42.33262,44.37594,36.54877,479.54901,11.32812,0.24329,0.55657,-0.20424,144,30,12.16402,2.53881,22.32068,40.89879,53.06281,42.87291,55.62406,,,,,,,,,,,,129.02515,0.16822,0.17655,0.22130,2.51348,1.79267,16.00159,
2s16_93-91cm_20um_rec_voi_0815.bmp,16.78198,168,95.39543,42.40035,44.44694,36.54877,481.68759,11.36046,0.25238,0.56687,-0.43332,132,36,12.15363,5.33681,22.27817,40.84145,52.99507,42.81279,55.55306,,,,,,,,,,,,129.39370,0.17100,0.17605,0.22004,2.52469,1.79280,15.82333,
2s16_93-91cm_20um_rec_voi_0814.bmp,16.76139,174,95.39543,42.16529,44.20054,36.54877,479.65465,11.37558,0.24233,0.55547,-0.78627,139,35,12.93322,10.24478,23.47290,40.29692,53.23013,42.24198,55.79946,,,,,,,,,,,,127.59575,0.18665,0.17582,0.22195,2.51403,1.79014,15.48388,
2s16_93-91cm_20um_rec_voi_0813.bmp,16.74080,185,95.39543,42.12613,44.15948,36.54877,475.01205,11.27595,0.22771,0.53845,-0.21885,147,38,12.41339,2.81210,22.76035,40.85591,53.26930,42.82796,55.84052,,,,,,,,,,,,130.03138,0.19957,0.17737,0.22429,2.48970,1.79324,15.03836,
