
<<<<< Begin of task (0556cedb-1778-470c-8c82-315bc537cd11) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_13-11cm_20um\2s7_13-11cm_20um_Rec\VOI\2s7_13-11cm_20um_rec_voi_0072.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 542, 581
Total number of images, 1001
Total Z-position range, 70, 1070
Number of images inside VOI, 1001
Z-position range of VOI, 70, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 15:47:03 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/15/20 15:47:05 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 15:47:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3477 speckles removed
[ 12/15/20 15:47:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:47:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 15:47:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:48:18 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:06
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_13-11cm_20um\2s7_13-11cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_13-11cm_20um_rec_voi_1070.bmp,22.03278,73,133.52006,32.11500,24.05256,46.22413,236.63016,7.36821,0.43993,0.74842,0.60724,55,18,0.36056,9.82213,1.11026,101.04450,101.40506,75.67739,75.94744,,,,,,,,,,,,136.65046,0.35381,0.27144,0.85708,0.88612,1.56099,0.20591,
2s7_13-11cm_20um_rec_voi_1069.bmp,22.01219,67,133.52006,32.29567,24.18788,46.22413,235.69502,7.29804,0.48202,0.78341,0.38842,49,18,0.52677,11.63296,1.60492,100.69761,101.22438,75.41759,75.81212,,,,,,,,,,,,138.21981,0.34088,0.27405,0.85894,0.88262,1.56255,0.32946,
2s7_13-11cm_20um_rec_voi_1068.bmp,21.99160,72,133.52006,32.32165,24.20733,46.22413,237.38886,7.34458,0.44891,0.75602,-0.90581,50,22,6.23531,5.69209,16.17169,94.96310,101.19841,71.12272,75.79267,,,,,,,,,,,,140.33966,0.33303,0.27231,0.85260,0.88896,1.56490,0.37064,
2s7_13-11cm_20um_rec_voi_1067.bmp,21.97101,74,133.52006,32.17144,24.09484,46.22413,237.23705,7.37415,0.43475,0.74400,2.88119,50,24,9.71830,-27.99704,23.19972,91.63032,101.34862,68.62663,75.90516,,,,,,,,,,,,141.92693,0.32719,0.27122,0.85441,0.88839,1.56615,0.37064,
2s7_13-11cm_20um_rec_voi_1066.bmp,21.95042,76,133.52006,31.91995,23.90649,46.22413,238.00575,7.45633,0.42000,0.73127,0.21406,54,22,0.65562,14.02121,2.01261,100.94449,101.60011,75.60249,76.09351,,,,,,,,,,,,142.98929,0.33284,0.26823,0.85376,0.89127,1.56581,0.37064,
2s7_13-11cm_20um_rec_voi_1065.bmp,21.92982,71,133.52006,31.65840,23.71059,46.22413,236.70824,7.47695,0.44589,0.75348,-2.04157,48,23,3.76670,7.82809,10.63286,98.09496,101.86166,73.46833,76.28941,,,,,,,,,,,,143.91982,0.34415,0.26749,0.86065,0.88641,1.56375,0.37064,
2s7_13-11cm_20um_rec_voi_1064.bmp,21.90923,74,133.52006,31.35714,23.48497,46.22413,238.05193,7.59163,0.42375,0.73453,0.06386,46,28,8.31591,-0.53106,20.96110,93.84701,102.16292,70.28683,76.51503,,,,,,,,,,,,144.00764,0.34954,0.26345,0.85832,0.89145,1.56455,0.00000,
2s7_13-11cm_20um_rec_voi_1063.bmp,21.88864,64,133.52006,31.30260,23.44412,46.22413,236.22903,7.54663,0.48910,0.78914,-1.27307,42,22,6.15475,7.83581,16.43136,96.06271,102.21746,71.94627,76.55588,,,,,,,,,,,,144.81035,0.36332,0.26502,0.86541,0.88462,1.56515,0.00000,
