
<<<<< Begin of task (f557b013-57f2-4181-99a0-8acb2e01dc55) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_14-12cm_20um\2s7_14-12cm_20um_Rec\VOI\2s7_14-12cm_20um_rec_voi_0057.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1031
Total Z-position range, 40, 1070
Number of images inside VOI, 1031
Z-position range of VOI, 40, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 15:21:49 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/15/20 15:21:49 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 15:21:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2867 speckles removed
[ 12/15/20 15:21:52 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:21:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 15:21:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:22:41 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:46
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_14-12cm_20um\2s7_14-12cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_14-12cm_20um_rec_voi_1070.bmp,22.03278,69,95.39543,28.44926,29.82246,36.54877,220.28465,7.74307,0.41231,0.72455,-1.25011,44,25,6.42781,8.07049,18.42991,60.51836,66.94617,63.43947,70.17754,,,,,,,,,,,,129.67147,0.33523,0.25830,0.60782,1.15459,1.54236,11.90151,
2s7_14-12cm_20um_rec_voi_1069.bmp,22.01219,65,95.39543,28.45747,29.83107,36.54877,219.87954,7.72660,0.43781,0.74661,-2.18834,37,28,8.96172,19.64914,23.94953,57.97623,66.93795,60.77465,70.16893,,,,,,,,,,,,126.73428,0.33290,0.25885,0.60886,1.15246,1.54153,11.44454,
2s7_14-12cm_20um_rec_voi_1068.bmp,21.99160,70,95.39543,28.46118,29.83496,36.54877,224.51663,7.88852,0.40659,0.71950,-1.47335,38,32,6.60017,9.75948,18.82463,60.33407,66.93424,63.24629,70.16504,,,,,,,,,,,,124.48797,0.32952,0.25353,0.59625,1.17677,1.55125,11.35364,
2s7_14-12cm_20um_rec_voi_1067.bmp,21.97101,79,95.39543,28.53014,29.90724,36.54877,231.32950,8.10825,0.36114,0.67810,-2.00874,49,30,7.52673,15.15422,20.87460,59.33856,66.86529,62.20273,70.09276,,,,,,,,,,,,122.16791,0.32324,0.24666,0.57810,1.21248,1.55689,10.86505,
2s7_14-12cm_20um_rec_voi_1066.bmp,21.95042,64,95.39543,28.69571,30.08080,36.54877,234.25862,8.16354,0.44837,0.75557,-1.31147,29,35,9.99831,13.14448,25.83941,56.70141,66.69972,59.43829,69.91920,,,,,,,,,,,,120.47334,0.31755,0.24499,0.56945,1.22783,1.41532,10.61753,
2s7_14-12cm_20um_rec_voi_1065.bmp,21.92982,68,95.39543,28.84348,30.23570,36.54877,232.89494,8.07444,0.42417,0.73489,-1.36281,36,32,9.04202,12.37357,23.86670,57.50993,66.55195,60.28584,69.76430,,,,,,,,,,,,119.46888,0.31536,0.24770,0.57152,1.22068,1.56616,10.78122,
2s7_14-12cm_20um_rec_voi_1064.bmp,21.90923,63,95.39543,28.95245,30.34993,36.54877,235.28112,8.12647,0.45956,0.76494,-1.74886,32,31,8.82127,15.44850,23.35293,57.62171,66.44298,60.40301,69.65007,,,,,,,,,,,,120.26173,0.30846,0.24611,0.56480,1.23319,1.56431,10.99213,
2s7_14-12cm_20um_rec_voi_1063.bmp,21.88864,63,95.39543,28.90655,30.30182,36.54877,238.24678,8.24197,0.45883,0.76433,-2.13351,31,32,8.89054,18.98986,23.52176,57.59834,66.48888,60.37851,69.69818,,,,,,,,,,,,119.74243,0.29773,0.24266,0.55815,1.24873,1.56461,10.69636,
