
<<<<< Begin of task (bc260fad-efe5-4a9b-a03d-a3ac36736d73) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_15-13cm_20um\2s7_15-13cm_20um_Rec\VOI\2s7_15-13cm_20um_rec_voi_0041.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 881
Total Z-position range, 40, 920
Number of images inside VOI, 881
Z-position range of VOI, 40, 920
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 15:14:22 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/15/20 15:14:23 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 15:14:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2511 speckles removed
[ 12/15/20 15:14:27 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:14:27 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 15:14:30 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:15:30 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:00
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_15-13cm_20um\2s7_15-13cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_15-13cm_20um_rec_voi_0920.bmp,18.94407,73,95.39543,28.37877,29.74856,36.54877,228.91920,8.06657,0.38875,0.70354,-1.08945,52,21,6.00757,10.82766,17.47080,61.00909,67.01666,63.95389,70.25144,,,,,,,,,,,,167.59363,0.39607,0.24794,0.58550,1.19984,1.55466,8.74442,
2s7_15-13cm_20um_rec_voi_0919.bmp,18.92348,73,95.39543,28.57339,29.95257,36.54877,231.52956,8.10298,0.39142,0.70595,-2.68303,49,24,6.00768,11.38181,17.37273,60.81437,66.82204,63.74977,70.04743,,,,,,,,,,,,164.16422,0.38320,0.24682,0.57722,1.21353,1.55504,8.86194,
2s7_15-13cm_20um_rec_voi_0918.bmp,18.90289,76,95.39543,28.72974,30.11647,36.54877,231.37553,8.05352,0.37802,0.69377,-0.49632,53,23,7.37424,13.12077,20.42502,59.29144,66.66569,62.15334,69.88353,,,,,,,,,,,,159.62026,0.37628,0.24834,0.57626,1.21272,1.55850,8.87650,
2s7_15-13cm_20um_rec_voi_0917.bmp,18.88230,66,95.39543,28.86155,30.25465,36.54877,232.47005,8.05466,0.43730,0.74618,-1.49034,40,26,6.03942,15.01553,17.30445,60.49445,66.53388,63.41442,69.74535,,,,,,,,,,,,154.16139,0.37741,0.24830,0.57241,1.21845,1.55469,9.01461,
2s7_15-13cm_20um_rec_voi_0916.bmp,18.86171,59,95.39543,29.05341,30.45577,36.54877,232.24708,7.99380,0.49243,0.79182,-2.12862,36,23,6.06004,17.11379,17.25846,60.28197,66.34201,63.19168,69.54423,,,,,,,,,,,,148.46567,0.38131,0.25019,0.57131,1.21729,1.55431,9.11403,
2s7_15-13cm_20um_rec_voi_0915.bmp,18.84112,59,95.39543,29.22365,30.63423,36.54877,231.39758,7.91816,0.49532,0.79414,-1.84780,35,24,6.07117,19.68468,17.20131,60.10061,66.17178,63.00156,69.36577,,,,,,,,,,,,143.70989,0.38323,0.25258,0.57193,1.21283,1.55196,8.85341,
2s7_15-13cm_20um_rec_voi_0914.bmp,18.82053,59,95.39543,29.35138,30.76812,36.54877,230.50691,7.85336,0.49748,0.79587,-1.84369,31,28,9.01006,16.66500,23.48727,57.03399,66.04404,59.78692,69.23188,,,,,,,,,,,,140.28850,0.38612,0.25467,0.57303,1.20817,1.55194,8.31907,
2s7_15-13cm_20um_rec_voi_0913.bmp,18.79993,65,95.39543,29.34290,30.75923,36.54877,227.98598,7.76971,0.45143,0.75814,-2.11861,39,26,5.86134,12.48996,16.64953,60.19118,66.05252,63.09651,69.24077,,,,,,,,,,,,136.66560,0.38770,0.25741,0.57944,1.19495,1.55243,8.42805,
