
<<<<< Begin of task (0c79e5f9-d93b-4701-9e32-167326b4ccf8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_16-14cm_20um_redo3\2s7_16-14cm_20um_redo3_Rec\VOI\VOI\2s7_16-14cm_20um_redo3_rec_voi__voi_0063.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 581, 687
Total number of images, 841
Total Z-position range, 60, 900
Number of images inside VOI, 841
Z-position range of VOI, 60, 900
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 15:59:27 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/15/20 15:59:28 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 15:59:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2392 speckles removed
[ 12/15/20 15:59:31 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:59:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 15:59:33 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 16:00:10 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_16-14cm_20um_redo3\2s7_16-14cm_20um_redo3_Rec\VOI\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_16-14cm_20um_redo3_rec_voi__voi_0900.bmp,18.53225,51,169.24037,28.00326,16.54644,52.19563,185.83070,6.63604,0.54908,0.83613,2.06742,34,17,7.60692,-10.95388,21.36164,133.63020,141.23711,78.95882,83.45356,,,,,,,,,,,,155.72090,0.63304,0.30138,1.52006,0.54901,1.52091,0.02059,
2s7_16-14cm_20um_redo3_rec_voi__voi_0899.bmp,18.51165,53,169.24037,28.22825,16.67938,52.19563,184.42257,6.53326,0.53261,0.82349,1.05828,37,16,7.30868,-5.81931,20.56644,133.70344,141.01212,79.00210,83.32062,,,,,,,,,,,,156.52837,0.63630,0.30613,1.52923,0.54485,1.50845,0.00000,
2s7_16-14cm_20um_redo3_rec_voi__voi_0898.bmp,18.49106,53,169.24037,28.42398,16.79503,52.19563,182.93792,6.43604,0.53630,0.82634,1.30746,35,18,6.85452,-17.71300,19.42974,133.96187,140.81639,79.15480,83.20497,,,,,,,,,,,,157.41510,0.64052,0.31075,1.53950,0.54047,1.50684,0.00000,
2s7_16-14cm_20um_redo3_rec_voi__voi_0897.bmp,18.47047,52,169.24037,28.64849,16.92769,52.19563,181.29596,6.32829,0.55093,0.83754,3.99600,41,11,8.35067,-22.31483,22.56990,132.24121,140.59188,78.13810,83.07231,,,,,,,,,,,,158.17738,0.64687,0.31604,1.55097,0.53562,1.50111,0.00000,
2s7_16-14cm_20um_redo3_rec_voi__voi_0896.bmp,18.44988,48,169.24037,28.86245,17.05412,52.19563,181.65868,6.29394,0.60130,0.87499,1.46015,38,10,8.08790,-2.61362,21.88855,132.29002,140.37792,78.16694,82.94588,,,,,,,,,,,,159.22551,0.65215,0.31777,1.54551,0.53669,1.50425,0.00000,
2s7_16-14cm_20um_redo3_rec_voi__voi_0895.bmp,18.42929,43,169.24037,28.99331,17.13144,52.19563,182.26315,6.28639,0.67426,0.92655,0.62907,21,22,7.09800,4.24499,19.66679,133.14906,140.24706,78.67452,82.86856,,,,,,,,,,,,160.33160,0.65805,0.31815,1.53895,0.53847,1.51507,0.00000,
2s7_16-14cm_20um_redo3_rec_voi__voi_0894.bmp,18.40870,43,169.24037,29.10610,17.19808,52.19563,180.23227,6.19225,0.67689,0.92835,-0.50895,23,20,9.74618,4.96038,25.08523,130.38809,140.13427,77.04314,82.80192,,,,,,,,,,,,160.94834,0.66076,0.32298,1.55504,0.53247,1.50463,0.00000,
2s7_16-14cm_20um_redo3_rec_voi__voi_0893.bmp,18.38811,47,169.24037,29.22567,17.26873,52.19563,178.25500,6.09926,0.62182,0.88979,1.28466,26,21,6.99778,-10.78516,19.31837,133.01692,140.01471,78.59645,82.73127,,,,,,,,,,,,161.71088,0.66216,0.32791,1.57095,0.52663,1.49337,0.00000,
