
<<<<< Begin of task (5597705d-bb07-4eb8-87ed-1b82b48fd90f) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_17-15cm_20um\2s7_17-15cm_20um_Rec\VOI\2s7_17-15cm_20um_rec_voi_0072.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 609, 548
Total number of images, 571
Total Z-position range, 70, 640
Number of images inside VOI, 571
Z-position range of VOI, 70, 640
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 16:24:07 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/15/20 16:24:07 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 16:24:07 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5402 speckles removed
[ 12/15/20 16:24:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 16:24:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 16:24:10 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 16:24:32 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:22
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_17-15cm_20um\2s7_17-15cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_17-15cm_20um_rec_voi_0640.bmp,13.17849,69,141.50408,31.96553,22.58983,47.62434,228.01196,7.13306,0.46327,0.76802,-1.91394,34,35,8.21277,15.72058,20.44080,101.32578,109.53854,71.60626,77.41017,,,,,,,,,,,,57.83587,0.28971,0.28038,0.96081,0.80567,1.55186,0.00000,
2s7_17-15cm_20um_rec_voi_0639.bmp,13.15789,66,141.50408,31.81819,22.48571,47.62434,226.36708,7.11439,0.48209,0.78347,-1.94228,27,39,7.84288,15.23431,19.77475,101.84301,109.68588,71.97178,77.51429,,,,,,,,,,,,70.06159,0.28185,0.28112,0.96910,0.79986,1.55157,0.00000,
2s7_17-15cm_20um_rec_voi_0638.bmp,13.13730,70,141.50408,31.93188,22.56605,47.62434,227.35925,7.12013,0.45617,0.76211,-1.84410,35,35,7.67359,14.15185,19.37508,101.89861,109.57220,72.01107,77.43395,,,,,,,,,,,,80.64094,0.29257,0.28089,0.96387,0.80337,1.55239,0.00000,
2s7_17-15cm_20um_rec_voi_0637.bmp,13.11671,71,141.50408,32.01647,22.62583,47.62434,225.80793,7.05287,0.45094,0.75773,-1.38596,37,34,7.43806,10.31014,18.85223,102.04955,109.48761,72.11775,77.37417,,,,,,,,,,,,84.72666,0.30490,0.28357,0.96974,0.79788,1.54311,0.00000,
2s7_17-15cm_20um_rec_voi_0636.bmp,13.09612,69,141.50408,32.05230,22.65115,47.62434,229.20712,7.15104,0.46453,0.76906,-1.53724,36,33,7.00769,10.77315,17.94084,102.44409,109.45178,72.39656,77.34885,,,,,,,,,,,,88.19110,0.30640,0.27968,0.95505,0.80990,1.51652,0.00000,
2s7_17-15cm_20um_rec_voi_0635.bmp,13.07553,62,141.50408,31.94465,22.57508,47.62434,233.60212,7.31271,0.51524,0.80995,-2.90045,26,36,7.60326,22.05445,19.22544,101.95616,109.55942,72.05175,77.42492,,,,,,,,,,,,90.49871,0.30760,0.27350,0.93800,0.82543,1.55076,0.00000,
2s7_17-15cm_20um_rec_voi_0634.bmp,13.05494,75,141.50408,31.72412,22.41922,47.62434,235.12260,7.41148,0.42299,0.73387,-3.32574,39,36,6.47806,21.54683,16.95730,103.30190,109.77996,73.00278,77.58078,,,,,,,,,,,,91.50137,0.30493,0.26985,0.93381,0.83080,1.55068,0.00000,
2s7_17-15cm_20um_rec_voi_0633.bmp,13.03435,68,141.50408,31.45016,22.22562,47.62434,228.03609,7.25071,0.46250,0.76738,-0.44235,30,38,7.09912,3.14056,18.41570,102.95480,110.05392,72.75748,77.77438,,,,,,,,,,,,90.89798,0.30888,0.27583,0.96523,0.80576,1.54710,0.00000,
