
<<<<< Begin of task (a7308f26-8cde-4735-8e7d-694b408b8559) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_18.5-16.5cm_20um\2s7_18.5-16.5cm_20um_Rec\VOI\2s7_18.5-16.5cm_20um_rec_voi_0082.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 627, 577
Total number of images, 971
Total Z-position range, 80, 1050
Number of images inside VOI, 971
Z-position range of VOI, 80, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 16:30:08 ] Thresholding
Mode, Global
Lower grey threshold, 85
Upper grey threshold, 200
[ 12/15/20 16:30:08 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 16:30:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3937 speckles removed
[ 12/15/20 16:30:11 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 16:30:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 16:30:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 16:30:46 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_18.5-16.5cm_20um\2s7_18.5-16.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,85
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_18.5-16.5cm_20um_rec_voi_1050.bmp,21.62095,78,153.39615,29.94616,19.52210,49.55993,231.29695,7.72376,0.38393,0.69916,-1.49507,45,33,7.48380,11.18947,19.99414,115.96619,123.44999,75.59916,80.47790,,,,,,,,,,,,98.13914,0.33934,0.25894,1.06746,0.75392,1.56362,0.00000,
2s7_18.5-16.5cm_20um_rec_voi_1049.bmp,21.60036,77,153.39615,29.77253,19.40891,49.55993,231.25576,7.76742,0.38666,0.70165,-0.83938,43,34,9.54324,8.01097,24.27332,114.08038,123.62362,74.36978,80.59109,,,,,,,,,,,,105.80425,0.33383,0.25749,1.06915,0.75379,1.56508,0.00000,
2s7_18.5-16.5cm_20um_rec_voi_1048.bmp,21.57977,78,153.39615,29.49613,19.22873,49.55993,231.62848,7.85284,0.37816,0.69389,-2.26109,39,39,7.21535,16.31576,19.65420,116.68467,123.90002,76.06754,80.77127,,,,,,,,,,,,110.72999,0.32959,0.25468,1.06982,0.75500,1.49119,0.00000,
2s7_18.5-16.5cm_20um_rec_voi_1047.bmp,21.55918,72,153.39615,29.30082,19.10141,49.55993,230.91460,7.88082,0.40696,0.71983,-1.78387,41,31,7.43302,13.26031,20.23481,116.66231,124.09533,76.05296,80.89859,,,,,,,,,,,,114.52677,0.33537,0.25378,1.07482,0.75267,1.56025,0.00000,
2s7_18.5-16.5cm_20um_rec_voi_1046.bmp,21.53859,70,153.39615,29.25683,19.07273,49.55993,233.04247,7.96540,0.41795,0.72949,-2.29874,39,31,7.14194,16.41847,19.62138,116.99738,124.13932,76.27139,80.92727,,,,,,,,,,,,116.85178,0.33227,0.25109,1.06538,0.75961,1.55995,0.00000,
2s7_18.5-16.5cm_20um_rec_voi_1045.bmp,21.51800,64,153.39615,29.29785,19.09947,49.55993,234.93153,8.01873,0.45778,0.76345,-2.84182,29,35,6.92453,19.67947,19.11672,117.17376,124.09830,76.38638,80.90053,,,,,,,,,,,,119.19393,0.31524,0.24942,1.05646,0.76577,1.56662,0.00000,
2s7_18.5-16.5cm_20um_rec_voi_1044.bmp,21.49741,54,153.39615,29.31078,19.10790,49.55993,233.13776,7.95399,0.54279,0.83133,-2.30959,23,31,8.92282,20.60805,23.33763,115.16255,124.08536,75.07525,80.89210,,,,,,,,,,,,121.26786,0.31567,0.25145,1.06448,0.75992,1.57152,0.00000,
2s7_18.5-16.5cm_20um_rec_voi_1043.bmp,21.47681,61,153.39615,29.18199,19.02394,49.55993,234.09202,8.02180,0.47839,0.78045,-3.00109,34,27,7.07702,21.23942,19.51795,117.13714,124.21415,76.36250,80.97606,,,,,,,,,,,,122.26910,0.32578,0.24932,1.06124,0.76303,1.56872,0.00000,
