
<<<<< Begin of task (58fc2cf7-7361-4ade-891e-35bd7c6c8047) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_20-18cm_20um\2s7_20-18cm_20um_Rec\VOI\2s7_20-18cm_20um_rec_voi_0051.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 577, 577
Total number of images, 951
Total Z-position range, 50, 1000
Number of images inside VOI, 951
Z-position range of VOI, 50, 1000
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 15:05:08 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/15/20 15:05:09 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 15:05:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4587 speckles removed
[ 12/15/20 15:05:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:05:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 15:05:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:05:59 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_20-18cm_20um\2s7_20-18cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_20-18cm_20um_rec_voi_1000.bmp,20.59138,66,110.57439,33.67268,30.45252,39.34678,258.28339,7.67041,0.51019,0.80598,-1.91864,33,33,8.26328,15.85447,19.70451,68.63843,76.90170,62.07443,69.54748,,,,,,,,,,,,151.18919,0.26136,0.26074,0.59548,1.16792,1.60428,3.94991,
2s7_20-18cm_20um_rec_voi_0999.bmp,20.57079,75,110.57439,33.70459,30.48137,39.34678,258.14157,7.65894,0.44939,0.75643,-1.56825,46,29,8.46547,13.27616,20.07461,68.40432,76.86980,61.86272,69.51863,,,,,,,,,,,,152.62436,0.25317,0.26113,0.59556,1.16728,1.57889,3.91226,
2s7_20-18cm_20um_rec_voi_0998.bmp,20.55020,72,110.57439,33.77948,30.54910,39.34678,259.18442,7.67284,0.46916,0.77289,-1.32622,43,29,6.63123,8.79472,16.40958,70.16368,76.79491,63.45383,69.45090,,,,,,,,,,,,154.77075,0.24152,0.26066,0.59259,1.17199,1.60400,3.99213,
2s7_20-18cm_20um_rec_voi_0997.bmp,20.52961,71,110.57439,33.98783,30.73752,39.34678,262.55156,7.72487,0.47870,0.78071,-1.66883,39,32,8.67557,14.47874,20.33492,67.91099,76.58656,61.41657,69.26248,,,,,,,,,,,,156.31637,0.23933,0.25890,0.58340,1.18722,1.60837,4.05140,
2s7_20-18cm_20um_rec_voi_0996.bmp,20.50902,71,110.57439,34.06123,30.80391,39.34678,264.65102,7.76986,0.47974,0.78155,-2.47207,35,36,6.98972,17.27988,17.02695,69.52343,76.51315,62.87481,69.19609,,,,,,,,,,,,156.52541,0.24022,0.25740,0.57822,1.19671,1.60963,3.85255,
2s7_20-18cm_20um_rec_voi_0995.bmp,20.48843,75,110.57439,34.14052,30.87561,39.34678,269.27520,7.88726,0.45521,0.76131,-1.40947,39,36,8.18107,11.53235,19.33073,68.25279,76.43387,61.72568,69.12439,,,,,,,,,,,,154.03280,0.23356,0.25357,0.56770,1.21762,1.61065,3.62459,
2s7_20-18cm_20um_rec_voi_0994.bmp,20.46784,72,110.57439,34.27387,30.99621,39.34678,269.21696,7.85487,0.47603,0.77852,-1.56896,38,34,7.88003,12.36378,18.69348,68.42049,76.30052,61.87734,69.00379,,,,,,,,,,,,153.96065,0.22166,0.25462,0.56683,1.21736,1.61476,3.49854,
2s7_20-18cm_20um_rec_voi_0993.bmp,20.44724,82,110.57439,34.56988,31.26391,39.34678,269.87432,7.80663,0.42158,0.73265,-1.98460,52,30,9.65317,19.15959,21.82836,66.35134,76.00451,60.00607,68.73609,,,,,,,,,,,,160.87922,0.21313,0.25619,0.56326,1.22033,1.61867,3.39308,
