
<<<<< Begin of task (4f3a653f-3b1c-494b-b6d2-747e76f2b7d7) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_21-19cm_20um\2s7_21-19cm_20um_Rec\VOI\2s7_21-19cm_20um_rec_voi_0061.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 563
Total number of images, 890
Total Z-position range, 60, 949
Number of images inside VOI, 890
Z-position range of VOI, 60, 949
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 09:46:04 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 09:46:05 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 09:46:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2564 speckles removed
[ 01/26/21 09:46:07 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 09:46:07 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4302 speckles removed
[ 01/26/21 09:46:09 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 09:46:45 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_21-19cm_20um\2s7_21-19cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_21-19cm_20um_rec_voi_0949.bmp,19.54122,29,126.99632,18.29958,14.40954,45.07101,133.55910,7.29848,0.63102,0.89635,-3.82157,12,17,3.96853,15.20546,17.82158,104.72820,108.69673,82.46554,85.59046,,,,,,,,,,,,170.08600,0.64311,0.27403,1.62769,0.52584,1.42610,0.06177,
2s7_21-19cm_20um_rec_voi_0948.bmp,19.52063,25,126.99632,18.46272,14.53800,45.07101,135.45401,7.33662,0.73851,0.96969,-3.64485,1,24,4.17640,15.26248,18.44770,104.35720,108.53360,82.17341,85.46200,,,,,,,,,,,,170.64019,0.63408,0.27260,1.60252,0.53330,1.42464,0.08237,
2s7_21-19cm_20um_rec_voi_0947.bmp,19.50004,26,126.99632,18.51625,14.58015,45.07101,136.35297,7.36396,0.71216,0.95224,-2.30510,6,20,3.89597,9.01790,17.38324,104.58410,108.48007,82.35207,85.41985,,,,,,,,,,,,171.40694,0.62351,0.27159,1.59117,0.53684,1.43067,0.10296,
2s7_21-19cm_20um_rec_voi_0946.bmp,19.47945,29,126.99632,18.60413,14.64934,45.07101,135.64166,7.29094,0.64152,0.90378,-2.84029,14,15,4.33932,12.36506,18.91312,104.05287,108.39219,81.93377,85.35066,,,,,,,,,,,,172.65950,0.61278,0.27431,1.59821,0.53404,1.43602,0.12355,
2s7_21-19cm_20um_rec_voi_0945.bmp,19.45886,26,126.99632,18.62411,14.66508,45.07101,135.52724,7.27698,0.71631,0.95501,-3.42633,12,14,4.98630,17.12999,21.11908,103.38591,108.37221,81.40859,85.33492,,,,,,,,,,,,173.67457,0.59961,0.27484,1.59927,0.53359,1.43403,0.16473,
2s7_21-19cm_20um_rec_voi_0944.bmp,19.43827,30,126.99632,18.62798,14.66812,45.07101,135.70111,7.28480,0.62093,0.88915,-2.79816,14,16,4.28277,12.02767,18.69328,104.08557,108.36834,81.95952,85.33188,,,,,,,,,,,,175.05172,0.59003,0.27454,1.59716,0.53427,1.43065,0.18532,
2s7_21-19cm_20um_rec_voi_0943.bmp,19.41768,33,126.99632,18.74967,14.76394,45.07101,136.69121,7.29033,0.56817,0.85054,-3.36875,19,14,4.72029,15.93675,20.11205,103.52636,108.24665,81.51918,85.23606,,,,,,,,,,,,176.49761,0.57754,0.27434,1.58381,0.53817,1.43102,0.18532,
2s7_21-19cm_20um_rec_voi_0942.bmp,19.39708,34,126.99632,18.82811,14.82571,45.07101,140.18639,7.44559,0.55377,0.83969,-2.75978,18,16,4.12599,11.41821,17.97498,104.04222,108.16821,81.92538,85.17429,,,,,,,,,,,,178.26783,0.57042,0.26862,1.54321,0.55193,1.44141,0.18532,
