
<<<<< Begin of task (a6590b7e-a2c6-4159-9b65-100d16acfa8b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_23-21cm_20um\2s7_23-21cm_20um_Rec\VOI\2s7_23-21cm_20um_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1016
Total Z-position range, 60, 1075
Number of images inside VOI, 1016
Z-position range of VOI, 60, 1075
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 09:53:38 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 09:53:38 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 09:53:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2200 speckles removed
[ 01/26/21 09:53:41 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 09:53:41 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4448 speckles removed
[ 01/26/21 09:53:42 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 09:54:14 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_23-21cm_20um\2s7_23-21cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_23-21cm_20um_rec_voi_1075.bmp,22.13574,52,95.39543,27.47362,28.79973,36.54877,225.76882,8.21766,0.52834,0.82018,-2.63875,30,22,8.96098,23.72331,24.59469,58.96083,67.92180,61.80676,71.20027,,,,,,,,,,,,100.37126,0.48286,0.24338,0.60169,1.18333,1.45796,6.92281,
2s7_23-21cm_20um_rec_voi_1074.bmp,22.11515,51,95.39543,27.23401,28.54855,36.54877,224.29366,8.23579,0.53400,0.82457,-2.90615,31,20,7.12016,20.77420,20.72575,61.04126,68.16142,63.98762,71.45145,,,,,,,,,,,,99.22480,0.47976,0.24284,0.60779,1.17560,1.54226,6.98209,
2s7_23-21cm_20um_rec_voi_1073.bmp,22.09456,58,95.39543,27.01146,28.31525,36.54877,224.24334,8.30179,0.46571,0.77004,-2.19151,36,22,9.01069,19.82336,25.01431,59.37328,68.38397,62.23912,71.68475,,,,,,,,,,,,99.85061,0.48151,0.24091,0.60991,1.17534,1.54044,7.06695,
2s7_23-21cm_20um_rec_voi_1072.bmp,22.07396,57,95.39543,26.75774,28.04929,36.54877,222.68753,8.32236,0.46943,0.77311,-2.59816,33,24,9.21596,24.02536,25.61861,59.42172,68.63768,62.28990,71.95071,,,,,,,,,,,,100.70471,0.48502,0.24032,0.61645,1.16718,1.53747,7.02577,
2s7_23-21cm_20um_rec_voi_1071.bmp,22.05337,57,95.39543,26.50922,27.78878,36.54877,221.66538,8.36182,0.46507,0.76951,-2.02867,33,24,7.96711,16.23875,23.10892,60.91909,68.88620,63.85955,72.21122,,,,,,,,,,,,102.11720,0.48639,0.23918,0.62153,1.16182,1.53342,6.99312,
2s7_23-21cm_20um_rec_voi_1070.bmp,22.03278,63,95.39543,26.25042,27.51748,36.54877,221.57267,8.44073,0.41667,0.72837,-1.32253,41,22,9.50010,12.62173,26.57332,59.64491,69.14501,62.52386,72.48252,,,,,,,,,,,,104.08320,0.47482,0.23695,0.62413,1.16134,1.53265,7.25770,
2s7_23-21cm_20um_rec_voi_1069.bmp,22.01219,59,95.39543,26.04642,27.30364,36.54877,221.99071,8.52289,0.44146,0.74973,-1.89868,34,25,7.57353,14.44326,22.52688,61.77548,69.34901,64.75727,72.69636,,,,,,,,,,,,105.98862,0.46883,0.23466,0.62479,1.16353,1.53373,7.22255,
2s7_23-21cm_20um_rec_voi_1068.bmp,21.99160,67,95.39543,25.92171,27.17291,36.54877,222.57933,8.58660,0.38689,0.70186,-0.45281,43,24,11.04613,5.05217,29.88037,58.42759,69.47372,61.24779,72.82709,,,,,,,,,,,,107.38585,0.46455,0.23292,0.62426,1.16661,1.52929,7.10046,
