
<<<<< Begin of task (0465f544-f02f-4efe-a17d-5c7f347f52fe) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_25-23cm_20um\2s7_25-23cm_20um_Rec\VOI\2s7_25-23cm_20um_rec_voi_0024.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 551, 588
Total number of images, 862
Total Z-position range, 9, 870
Number of images inside VOI, 862
Z-position range of VOI, 9, 870
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 10:01:48 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 10:01:48 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 10:01:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3333 speckles removed
[ 01/26/21 10:01:50 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:01:50 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5727 speckles removed
[ 01/26/21 10:01:52 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:02:21 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:29
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_25-23cm_20um\2s7_25-23cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_25-23cm_20um_rec_voi_0870.bmp,17.91450,41,137.37257,17.15583,12.48854,46.88305,143.67037,8.37443,0.41843,0.72991,-2.13763,24,17,3.89459,8.39188,18.50126,116.32215,120.21674,84.67640,87.51146,,,,,,,,,,,,9.93606,0.69609,0.23882,1.67351,0.52292,1.43386,0.32946,
2s7_25-23cm_20um_rec_voi_0869.bmp,17.89391,40,137.37257,17.18901,12.51269,46.88305,143.93160,8.37347,0.42973,0.73969,0.72226,25,15,3.69171,9.02618,17.67998,116.49186,120.18356,84.79994,87.48731,,,,,,,,,,,,10.39801,0.70116,0.23885,1.67001,0.52387,1.43529,0.22651,
2s7_25-23cm_20um_rec_voi_0868.bmp,17.87332,41,137.37257,17.16638,12.49622,46.88305,144.86725,8.43901,0.41869,0.73013,-2.23665,28,13,3.89714,8.75667,18.50184,116.30906,120.20619,84.66687,87.50378,,,,,,,,,,,,10.48560,0.70672,0.23699,1.65954,0.52728,1.36458,0.16473,
2s7_25-23cm_20um_rec_voi_0867.bmp,17.85273,38,137.37257,17.20189,12.52207,46.88305,146.35518,8.50809,0.45268,0.75919,-2.15106,22,16,3.99333,8.62641,18.84072,116.17735,120.17068,84.57099,87.47793,,,,,,,,,,,,11.21480,0.70783,0.23507,1.64218,0.53269,1.43717,0.10296,
2s7_25-23cm_20um_rec_voi_0866.bmp,17.83214,45,137.37257,17.17963,12.50586,46.88305,147.49002,8.58517,0.38177,0.69720,-1.99628,35,10,4.06504,8.15014,19.13441,116.12790,120.19294,84.53500,87.49414,,,,,,,,,,,,11.78454,0.70819,0.23296,1.62985,0.53682,1.43662,0.08237,
2s7_25-23cm_20um_rec_voi_0865.bmp,17.81155,43,137.37257,17.22945,12.54213,46.88305,147.80071,8.57838,0.40068,0.71426,-1.01086,31,12,3.75038,3.82287,17.87612,116.39274,120.14312,84.72779,87.45787,,,,,,,,,,,,12.61779,0.71291,0.23314,1.62574,0.53796,1.43534,0.06177,
2s7_25-23cm_20um_rec_voi_0864.bmp,17.79096,46,137.37257,17.35029,12.63010,46.88305,146.17995,8.42522,0.37718,0.69299,-1.05912,35,11,3.79273,4.06083,17.93843,116.22956,120.02228,84.60900,87.36990,,,,,,,,,,,,13.71225,0.71574,0.23738,1.64212,0.53206,1.43009,0.06177,
2s7_25-23cm_20um_rec_voi_0863.bmp,17.77036,44,137.37257,17.44967,12.70244,46.88305,147.11731,8.43095,0.39658,0.71060,-2.12571,32,12,3.95379,8.43927,18.47269,115.96911,119.92290,84.41941,87.29756,,,,,,,,,,,,14.36874,0.71747,0.23722,1.63030,0.53547,1.43638,0.06177,
