
<<<<< Begin of task (5fc7f674-15f7-43cb-8eb8-150a185c0161) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_27-25cm_20um\2s7_27-25cm_20um_Rec\VOI(1)\2s7_27-25cm_20um_rec_voi_0091.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 585, 547
Total number of images, 991
Total Z-position range, 90, 1080
Number of images inside VOI, 991
Z-position range of VOI, 90, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 10:12:01 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 10:12:02 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 10:12:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2504 speckles removed
[ 01/26/21 10:12:05 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:12:05 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4652 speckles removed
[ 01/26/21 10:12:07 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:12:42 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:35
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_27-25cm_20um\2s7_27-25cm_20um_Rec\VOI(1)\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_27-25cm_20um_rec_voi_1080.bmp,22.23870,75,135.67952,30.64211,22.58418,46.59477,250.68377,8.18102,0.40856,0.72125,-1.74143,41,34,6.56026,11.42421,17.63399,98.47715,105.03741,72.58070,77.41582,,,,,,,,,,,,115.40896,0.44505,0.24447,0.83801,0.92381,1.58366,0.00000,
2s7_27-25cm_20um_rec_voi_1079.bmp,22.21810,73,135.67952,30.60400,22.55609,46.59477,250.83523,8.19616,0.41923,0.73061,-1.54901,41,32,6.55888,10.15996,17.64901,98.51664,105.07552,72.60981,77.44391,,,,,,,,,,,,113.23592,0.44766,0.24402,0.83781,0.92437,1.58592,0.00000,
2s7_27-25cm_20um_rec_voi_1078.bmp,22.19751,73,135.67952,30.43874,22.43430,46.59477,251.16005,8.25133,0.41697,0.72863,-1.35575,40,33,6.48829,8.79679,17.57056,98.75249,105.24077,72.78364,77.56570,,,,,,,,,,,,110.70279,0.45711,0.24239,0.83804,0.92556,1.58470,0.00000,
2s7_27-25cm_20um_rec_voi_1077.bmp,22.17692,76,135.67952,30.21169,22.26695,46.59477,251.60357,8.32802,0.39752,0.71144,-1.21486,49,27,6.54293,7.94936,17.80165,98.92490,105.46783,72.91071,77.73305,,,,,,,,,,,,108.60120,0.46501,0.24015,0.83837,0.92720,1.58319,0.00000,
2s7_27-25cm_20um_rec_voi_1076.bmp,22.15633,74,135.67952,29.98612,22.10070,46.59477,250.49163,8.35359,0.40522,0.71829,-1.41478,48,26,6.57770,9.30597,17.98964,99.11570,105.69340,73.05134,77.89930,,,,,,,,,,,,106.76633,0.47347,0.23942,0.84389,0.92310,1.58529,0.00000,
2s7_27-25cm_20um_rec_voi_1075.bmp,22.13574,80,135.67952,29.73882,21.91843,46.59477,249.64143,8.39446,0.37174,0.68797,-0.95750,55,25,6.57007,6.29085,18.09493,99.37063,105.94070,73.23923,78.08157,,,,,,,,,,,,105.06434,0.48333,0.23825,0.84874,0.91997,1.58294,0.00000,
2s7_27-25cm_20um_rec_voi_1074.bmp,22.11515,87,135.67952,29.53657,21.76936,46.59477,249.94798,8.46232,0.33950,0.65747,-0.50991,69,18,6.51691,3.32312,18.07567,99.62604,106.14295,73.42748,78.23064,,,,,,,,,,,,104.09428,0.49300,0.23634,0.84932,0.92110,1.58115,0.00000,
2s7_27-25cm_20um_rec_voi_1073.bmp,22.09456,79,135.67952,29.35637,21.63655,46.59477,248.79779,8.47509,0.37160,0.68785,0.04404,61,18,6.33649,-0.27906,17.75283,99.98666,106.32315,73.69326,78.36345,,,,,,,,,,,,102.79594,0.49941,0.23599,0.85470,0.91686,1.54583,0.00000,
