
<<<<< Begin of task (a405b0f5-d622-440d-b367-52acb527e71c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_29-27cm_20um\2s7_29-27cm_20um_Rec\VOI\2s7_29-27cm_20um_rec_voi_0061.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 559, 558
Total number of images, 1001
Total Z-position range, 60, 1060
Number of images inside VOI, 1001
Z-position range of VOI, 60, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 10:34:14 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 10:34:15 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 10:34:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2282 speckles removed
[ 01/26/21 10:34:17 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:34:17 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5485 speckles removed
[ 01/26/21 10:34:19 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:34:54 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:35
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_29-27cm_20um\2s7_29-27cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_29-27cm_20um_rec_voi_1060.bmp,21.82687,65,132.25652,31.87284,24.09925,45.97703,242.19512,7.59879,0.49035,0.79015,-1.35879,39,26,6.25720,8.54798,16.41017,94.12649,100.38369,71.16964,75.90075,,,,,,,,,,,,139.35968,0.45960,0.26320,0.82895,0.91563,1.56997,0.26769,
2s7_29-27cm_20um_rec_voi_1059.bmp,21.80628,68,132.25652,31.83865,24.07341,45.97703,241.04236,7.57075,0.46822,0.77211,-0.71582,45,23,6.16853,4.43662,16.22991,94.24934,100.41787,71.26253,75.92659,,,,,,,,,,,,139.90502,0.45779,0.26417,0.83320,0.91127,1.56560,0.18532,
2s7_29-27cm_20um_rec_voi_1058.bmp,21.78568,64,132.25652,31.87008,24.09717,45.97703,239.81187,7.52467,0.49797,0.79626,-0.62183,38,26,6.13419,3.83472,16.14079,94.25226,100.38644,71.26473,75.90283,,,,,,,,,,,,141.41822,0.45317,0.26579,0.83721,0.90662,1.57185,0.18532,
2s7_29-27cm_20um_rec_voi_1057.bmp,21.76509,66,132.25652,31.88089,24.10535,45.97703,241.80449,7.58462,0.48304,0.78424,-1.02557,41,25,6.20839,6.38977,16.29957,94.16724,100.37563,71.20045,75.89465,,,,,,,,,,,,142.72255,0.45233,0.26369,0.83022,0.91415,1.57084,0.18532,
2s7_29-27cm_20um_rec_voi_1056.bmp,21.74450,69,132.25652,31.91953,24.13456,45.97703,244.39573,7.65662,0.46260,0.76747,-1.46279,42,27,6.35875,9.32631,16.61191,93.97824,100.33700,71.05755,75.86544,,,,,,,,,,,,144.91719,0.45156,0.26121,0.82110,0.92395,1.57399,0.18532,
2s7_29-27cm_20um_rec_voi_1055.bmp,21.72391,66,132.25652,32.00248,24.19728,45.97703,245.15200,7.66041,0.48489,0.78573,-1.20579,40,26,6.36617,7.69970,16.59212,93.88788,100.25405,70.98922,75.80272,,,,,,,,,,,,147.14264,0.44775,0.26108,0.81789,0.92680,1.57409,0.18532,
2s7_29-27cm_20um_rec_voi_1054.bmp,21.70332,66,132.25652,32.18787,24.33745,45.97703,245.19076,7.61749,0.48770,0.78801,-1.34389,37,29,6.40248,8.62827,16.59088,93.66618,100.06865,70.82159,75.66255,,,,,,,,,,,,149.44185,0.43937,0.26255,0.81625,0.92695,1.58179,0.18532,
2s7_29-27cm_20um_rec_voi_1053.bmp,21.68273,64,132.25652,32.57313,24.62875,45.97703,248.85860,7.64000,0.50896,0.80500,-1.60848,29,35,6.47498,10.44032,16.58206,93.20841,99.68339,70.47547,75.37125,,,,,,,,,,,,153.32171,0.43417,0.26178,0.80112,0.94082,1.58220,0.18532,
