
<<<<< Begin of task (08ff6124-6714-45ad-b629-fa758ec02514) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_30-28cm_20um\2s7_30-28cm_20um_Rec\VOI\2s7_30-28cm_20um_rec_voi_0063.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 583, 546
Total number of images, 971
Total Z-position range, 60, 1030
Number of images inside VOI, 971
Z-position range of VOI, 60, 1030
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 10:42:46 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 10:42:47 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 10:42:47 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2007 speckles removed
[ 01/26/21 10:42:50 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:42:50 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4358 speckles removed
[ 01/26/21 10:42:52 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:43:26 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:34
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_30-28cm_20um\2s7_30-28cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_30-28cm_20um_rec_voi_1030.bmp,21.20913,74,134.96846,34.69883,25.70884,46.47122,256.34059,7.38759,0.46890,0.77267,-1.28295,51,23,7.05836,9.07922,16.90334,93.21127,100.26963,69.06152,74.29116,,,,,,,,,,,,157.32269,0.34006,0.27072,0.78232,0.94963,1.57340,0.18532,
2s7_30-28cm_20um_rec_voi_1029.bmp,21.18853,76,134.96846,34.45079,25.52506,46.47122,258.91027,7.51537,0.45330,0.75971,-1.51600,47,29,7.02624,10.67707,16.94008,93.49143,100.51767,69.26910,74.47494,,,,,,,,,,,,156.97493,0.34903,0.26612,0.77647,0.95915,1.60149,0.18532,
2s7_30-28cm_20um_rec_voi_1028.bmp,21.16794,75,134.96846,34.12287,25.28211,46.47122,255.22416,7.47956,0.45497,0.76111,-1.27318,49,26,6.88685,8.79215,16.79321,93.95874,100.84559,69.61533,74.71789,,,,,,,,,,,,156.06295,0.35536,0.26740,0.79025,0.94550,1.59406,0.18532,
2s7_30-28cm_20um_rec_voi_1027.bmp,21.14735,76,134.96846,33.76787,25.01908,46.47122,252.96153,7.49119,0.44431,0.75214,-1.45360,55,21,7.25738,10.57436,17.69003,93.94321,101.20059,69.60382,74.98092,,,,,,,,,,,,155.00200,0.36501,0.26698,0.80013,0.93711,1.58927,0.12355,
2s7_30-28cm_20um_rec_voi_1026.bmp,21.12676,73,134.96846,33.39592,24.74350,46.47122,249.82408,7.48068,0.45748,0.76320,-0.02671,59,14,7.78950,0.22528,18.91326,93.78304,101.57255,69.48515,75.25650,,,,,,,,,,,,155.37392,0.37614,0.26736,0.81315,0.92549,1.58268,0.14414,
2s7_30-28cm_20um_rec_voi_1025.bmp,21.10617,75,134.96846,33.09450,24.52017,46.47122,247.82646,7.48845,0.44126,0.74955,0.21040,56,19,7.96133,-1.65914,19.39148,93.91263,101.87396,69.58117,75.47983,,,,,,,,,,,,155.36462,0.38908,0.26708,0.82214,0.91809,1.58229,0.18532,
2s7_30-28cm_20um_rec_voi_1024.bmp,21.08558,74,134.96846,32.96083,24.42114,46.47122,246.64044,7.48283,0.44542,0.75308,-0.42504,59,15,6.53084,2.79516,16.53727,95.47678,102.00763,70.74007,75.57886,,,,,,,,,,,,154.81963,0.40547,0.26728,0.82718,0.91370,1.58149,0.18532,
2s7_30-28cm_20um_rec_voi_1023.bmp,21.06499,76,134.96846,32.78519,24.29100,46.47122,245.84676,7.49871,0.43138,0.74112,-0.15294,57,19,6.26717,0.97641,16.04811,95.91611,102.18327,71.06557,75.70900,,,,,,,,,,,,153.92586,0.41945,0.26671,0.83128,0.91076,1.57956,0.18532,
