
<<<<< Begin of task (ebc83cf3-a39d-45fe-9896-94d0318bd8f8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_31-29cm_20um\2s7_31-29cm_20um_Rec\VOI\2s7_31-29cm_20um_rec_voi_0063.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 781
Total Z-position range, 60, 840
Number of images inside VOI, 781
Z-position range of VOI, 60, 840
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 11:04:50 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 11:04:51 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 11:04:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1770 speckles removed
[ 01/26/21 11:04:53 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 11:04:53 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3901 speckles removed
[ 01/26/21 11:04:54 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 11:05:37 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_31-29cm_20um\2s7_31-29cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_31-29cm_20um_rec_voi_0840.bmp,17.29676,59,95.39543,32.45876,34.02549,36.54877,221.35741,6.81965,0.55015,0.83694,-2.58150,27,32,9.57107,24.72940,22.77208,53.36560,62.93667,55.94147,65.97451,,,,,,,,,,,,82.86316,0.59636,0.29327,0.56864,1.16021,1.57262,8.84831,
2s7_31-29cm_20um_rec_voi_0839.bmp,17.27617,58,95.39543,32.53640,34.10688,36.54877,222.49726,6.83841,0.56097,0.84513,-2.13022,23,35,16.07764,34.26976,33.07200,46.78139,62.85902,49.03944,65.89312,,,,,,,,,,,,82.78883,0.60085,0.29247,0.56503,1.16618,1.57200,8.82168,
2s7_31-29cm_20um_rec_voi_0838.bmp,17.25558,57,95.39543,32.54870,34.11977,36.54877,223.15325,6.85598,0.57103,0.85268,-2.85537,19,38,9.87068,28.20546,23.26927,52.97605,62.84673,55.53311,65.88023,,,,,,,,,,,,82.65373,0.61069,0.29172,0.56326,1.16962,1.57427,8.73079,
2s7_31-29cm_20um_rec_voi_0837.bmp,17.23499,53,95.39543,32.48478,34.05277,36.54877,224.13922,6.89982,0.61292,0.88340,-3.30232,19,34,9.84126,32.49932,23.25108,53.06938,62.91065,55.63095,65.94723,,,,,,,,,,,,82.33697,0.62118,0.28986,0.56135,1.17479,1.56397,8.71976,
2s7_31-29cm_20um_rec_voi_0836.bmp,17.21440,54,95.39543,32.40835,33.97265,36.54877,224.39045,6.92385,0.60015,0.87415,-4.27226,17,37,7.86572,33.60439,19.53048,55.12135,62.98707,57.78197,66.02735,,,,,,,,,,,,82.14495,0.62989,0.28886,0.56141,1.17611,1.57873,8.62887,
2s7_31-29cm_20um_rec_voi_0835.bmp,17.19381,56,95.39543,32.24326,33.79958,36.54877,224.59258,6.96557,0.57577,0.85621,-3.58042,26,30,9.68666,34.68236,23.10203,53.46551,63.15217,56.04620,66.20042,,,,,,,,,,,,82.52195,0.63410,0.28713,0.56237,1.17717,1.57887,8.49679,
2s7_31-29cm_20um_rec_voi_0834.bmp,17.17321,55,95.39543,32.18162,33.73497,36.54877,226.86263,7.04945,0.58512,0.86313,-3.38735,27,28,7.85342,26.60232,19.61637,55.36039,63.21381,58.03254,66.26503,,,,,,,,,,,,83.04723,0.63167,0.28371,0.55729,1.18906,1.57867,8.47870,
2s7_31-29cm_20um_rec_voi_0833.bmp,17.15262,64,95.39543,32.05892,33.60635,36.54877,229.35030,7.15402,0.50092,0.79862,-2.94951,33,31,8.62342,25.43486,21.19695,54.71309,63.33651,57.35400,66.39365,,,,,,,,,,,,83.45189,0.62743,0.27956,0.55231,1.20210,1.57260,8.68358,
