
<<<<< Begin of task (9ab96b90-c21a-4a21-ba27-4b2888823727) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_31.5-29.5cm_20um\2s7_31.5-29.5cm_20um_Rec\VOI\2s7_31.5-29.5cm_20um_rec_voi_0173.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 570, 593
Total number of images, 891
Total Z-position range, 170, 1060
Number of images inside VOI, 891
Z-position range of VOI, 170, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 10:51:48 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 10:51:49 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 10:51:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2163 speckles removed
[ 01/26/21 10:51:51 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:51:51 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4352 speckles removed
[ 01/26/21 10:51:53 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:52:29 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_31.5-29.5cm_20um\2s7_31.5-29.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_31.5-29.5cm_20um_rec_voi_1060.bmp,21.82687,76,143.31797,29.41753,20.52606,47.87144,233.84029,7.94901,0.38707,0.70202,-1.41107,51,25,7.62170,10.75473,20.57738,106.27874,113.90044,74.15591,79.47394,,,,,,,,,,,,163.04081,0.38998,0.25160,0.97417,0.81581,1.52950,0.00000,
2s7_31.5-29.5cm_20um_rec_voi_1059.bmp,21.80628,78,143.31797,29.59423,20.64935,47.87144,234.73924,7.93193,0.37941,0.69504,-1.27522,50,28,8.52584,10.87257,22.36575,105.19790,113.72374,73.40175,79.35065,,,,,,,,,,,,163.68896,0.38985,0.25215,0.96894,0.81895,1.54694,0.00000,
2s7_31.5-29.5cm_20um_rec_voi_1058.bmp,21.78568,79,143.31797,29.78021,20.77912,47.87144,238.04108,7.99326,0.37696,0.69280,-0.88428,50,29,7.46975,6.60562,20.05304,106.06801,113.53776,74.00887,79.22088,,,,,,,,,,,,162.41191,0.37705,0.25021,0.95393,0.83046,1.45798,0.00000,
2s7_31.5-29.5cm_20um_rec_voi_1057.bmp,21.76509,80,143.31797,29.96444,20.90767,47.87144,241.67687,8.06546,0.37456,0.69058,-0.23956,53,27,6.46088,1.54776,17.73734,106.89264,113.35353,74.58426,79.09233,,,,,,,,,,,,160.66626,0.36571,0.24797,0.93806,0.84315,1.55192,0.00000,
2s7_31.5-29.5cm_20um_rec_voi_1056.bmp,21.74450,74,143.31797,30.04919,20.96680,47.87144,242.71850,8.07737,0.40607,0.71904,-1.90681,48,26,7.11777,13.57242,19.15081,106.15101,113.26878,74.06678,79.03320,,,,,,,,,,,,157.96971,0.34926,0.24761,0.93333,0.84678,1.50170,0.00000,
2s7_31.5-29.5cm_20um_rec_voi_1055.bmp,21.72391,74,143.31797,30.19107,21.06580,47.87144,245.00974,8.11530,0.40799,0.72074,-1.76705,49,25,7.08756,12.52408,19.01240,106.03933,113.12690,73.98886,78.93420,,,,,,,,,,,,153.69441,0.33280,0.24645,0.92345,0.85478,1.55976,0.00000,
2s7_31.5-29.5cm_20um_rec_voi_1054.bmp,21.70332,74,143.31797,30.38654,21.20218,47.87144,248.45133,8.17636,0.41063,0.72307,-1.80783,49,25,7.21895,13.05082,19.19654,105.71248,112.93143,73.76080,78.79782,,,,,,,,,,,,149.14934,0.31809,0.24461,0.90908,0.86678,1.56184,0.00000,
2s7_31.5-29.5cm_20um_rec_voi_1053.bmp,21.68273,81,143.31797,30.63713,21.37703,47.87144,250.01678,8.16058,0.37824,0.69396,-1.00261,54,27,6.62815,6.64565,17.78641,106.05269,112.68084,73.99818,78.62297,,,,,,,,,,,,144.55859,0.30043,0.24508,0.90139,0.87225,1.56459,0.00000,
