
<<<<< Begin of task (5cd2c4a5-5ebb-411c-971c-42d96e400b19) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_33-31cm_20um\2s7_33-31cm_20um_Rec\VOI\2s7_33-31cm_20um_rec_voi_0052.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 630, 583
Total number of images, 1011
Total Z-position range, 50, 1060
Number of images inside VOI, 1011
Z-position range of VOI, 50, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 11:11:27 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 11:11:28 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 11:11:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3203 speckles removed
[ 01/26/21 11:11:31 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 11:11:31 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6100 speckles removed
[ 01/26/21 11:11:33 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 11:12:16 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\35-18\2s7_33-31cm_20um\2s7_33-31cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_33-31cm_20um_rec_voi_1060.bmp,21.82687,63,155.73284,32.19312,20.67202,49.93057,259.78424,8.06956,0.51100,0.80662,-1.63105,34,29,6.66467,10.87056,17.15144,116.87505,123.53972,75.04843,79.32798,,,,,,,,,,,,95.78511,0.32583,0.24785,0.95109,0.83407,1.58565,0.00000,
2s7_33-31cm_20um_rec_voi_1059.bmp,21.80628,68,155.73284,32.03820,20.57254,49.93057,260.53881,8.13213,0.47115,0.77452,-2.15690,43,25,8.60534,18.56083,21.17272,115.08930,123.69464,73.90175,79.42746,,,,,,,,,,,,102.02561,0.31567,0.24594,0.94953,0.83649,1.58464,0.00000,
2s7_33-31cm_20um_rec_voi_1058.bmp,21.78568,76,155.73284,31.93389,20.50556,49.93057,264.03692,8.26823,0.42018,0.73143,-2.45348,50,26,8.70090,21.34798,21.41244,115.09804,123.79895,73.90737,79.49444,,,,,,,,,,,,109.57521,0.29964,0.24189,0.93774,0.84772,1.58713,0.00000,
2s7_33-31cm_20um_rec_voi_1057.bmp,21.76509,75,155.73284,31.91047,20.49052,49.93057,261.84374,8.20558,0.42547,0.73602,-2.50911,46,29,8.68665,21.79600,21.39720,115.13573,123.82237,73.93157,79.50948,,,,,,,,,,,,118.66117,0.29114,0.24374,0.94577,0.84068,1.59156,0.00000,
2s7_33-31cm_20um_rec_voi_1056.bmp,21.74450,74,155.73284,32.07975,20.59922,49.93057,262.23901,8.17460,0.43351,0.74294,-1.33534,45,29,6.74709,9.00992,17.37738,116.90600,123.65309,75.06830,79.40078,,,,,,,,,,,,128.18480,0.28878,0.24466,0.94306,0.84195,1.58169,0.00000,
2s7_33-31cm_20um_rec_voi_1055.bmp,21.72391,67,155.73284,32.32493,20.75666,49.93057,258.37268,7.99298,0.48246,0.78377,-1.76300,38,29,6.74979,11.90063,17.27406,116.65812,123.40791,74.90913,79.24334,,,,,,,,,,,,136.15329,0.29589,0.25022,0.95527,0.82954,1.57792,0.00000,
2s7_33-31cm_20um_rec_voi_1054.bmp,21.70332,68,155.73284,32.51123,20.87628,49.93057,255.54020,7.86006,0.47811,0.78022,-1.89328,47,21,6.76755,12.81286,17.22952,116.45407,123.22161,74.77810,79.12372,,,,,,,,,,,,140.97590,0.30871,0.25445,0.96440,0.82044,1.57732,0.00000,
2s7_33-31cm_20um_rec_voi_1053.bmp,21.68273,65,155.73284,32.72980,21.01664,49.93057,257.87692,7.87896,0.50354,0.80070,-2.27906,40,25,6.77459,15.43993,17.14896,116.22844,123.00304,74.63323,78.98336,,,,,,,,,,,,145.07980,0.31703,0.25384,0.95397,0.82795,1.57892,0.00000,
