
<<<<< Begin of task (df0d8178-315c-4b39-967e-65e259e9fdb4) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_35-33cm_20um\2s7_35-33cm_20um_Rec\VOI\2s7_35-33cm_20um_rec_voi_0371.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 573, 541
Total number of images, 621
Total Z-position range, 370, 990
Number of images inside VOI, 621
Z-position range of VOI, 370, 990
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 10:53:17 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 10:53:18 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 10:53:18 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7490 speckles removed
[ 01/26/21 10:53:20 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:53:20 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
8999 speckles removed
[ 01/26/21 10:53:22 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 10:53:52 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:30
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_35-33cm_20um\2s7_35-33cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_35-33cm_20um_rec_voi_0990.bmp,20.38547,58,131.43862,37.20454,28.30564,45.85348,280.42639,7.53742,0.64146,0.90373,-3.87206,3,55,7.22431,28.05300,16.26039,87.00977,94.23408,66.19803,71.69436,,,,,,,,,,,,4.55451,0.42021,0.26534,0.67208,1.06676,1.59819,0.28828,
2s7_35-33cm_20um_rec_voi_0989.bmp,20.36488,54,131.43862,36.85288,28.03809,45.85348,279.04116,7.57176,0.68246,0.93217,-2.87747,-6,60,8.21966,23.72224,18.23651,86.36608,94.58574,65.70830,71.96191,,,,,,,,,,,,2.93448,0.40932,0.26414,0.67793,1.06149,1.61239,0.26769,
2s7_35-33cm_20um_rec_voi_0988.bmp,20.34429,61,131.43862,36.39814,27.69212,45.85348,271.50079,7.45919,0.59669,0.87163,-3.06915,11,50,7.69416,23.67142,17.45012,87.34633,95.04048,66.45408,72.30788,,,,,,,,,,,,1.10517,0.40642,0.26813,0.70011,1.03280,1.61218,0.22651,
2s7_35-33cm_20um_rec_voi_0987.bmp,20.32370,66,131.43862,35.93369,27.33876,45.85348,269.37669,7.49649,0.54445,0.83260,-3.86462,16,50,8.00787,31.01260,18.22390,87.49706,95.50493,66.56876,72.66124,,,,,,,,,,,,178.48870,0.40470,0.26679,0.70908,1.02472,1.60418,0.22651,
2s7_35-33cm_20um_rec_voi_0986.bmp,20.30311,63,131.43862,35.62825,27.10638,45.85348,266.01419,7.46638,0.56553,0.84856,-2.97330,14,49,8.80092,26.19457,19.80887,87.00945,95.81037,66.19779,72.89362,,,,,,,,,,,,174.56432,0.40197,0.26787,0.72034,1.01193,1.60255,0.08237,
2s7_35-33cm_20um_rec_voi_0985.bmp,20.28251,61,131.43862,35.33563,26.88375,45.85348,263.05938,7.44459,0.57927,0.85881,-3.17910,18,43,8.30303,26.43652,19.02677,87.79996,96.10299,66.79921,73.11625,,,,,,,,,,,,170.47621,0.39301,0.26865,0.73066,1.00069,1.60238,0.10296,
2s7_35-33cm_20um_rec_voi_0984.bmp,20.26192,60,131.43862,35.26811,26.83238,45.85348,265.70679,7.53391,0.58780,0.86511,-3.10444,25,35,7.61222,23.66093,17.75224,88.55829,96.17051,67.37616,73.16762,,,,,,,,,,,,166.09380,0.38535,0.26547,0.72388,1.01076,1.60422,0.12355,
2s7_35-33cm_20um_rec_voi_0983.bmp,20.24133,63,131.43862,35.28311,26.84379,45.85348,267.96806,7.59480,0.56005,0.84444,-3.41701,23,40,8.30902,28.42465,19.06082,87.84649,96.15551,66.83461,73.15621,,,,,,,,,,,,162.29566,0.37172,0.26334,0.71766,1.01937,1.60333,0.14414,
