
<<<<< Begin of task (98dd950c-387c-4b70-a08d-7a62db269260) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_37-35cm_20um_redo\2s7_37-35cm_20um_redo_Rec\VOI\2s7_37-35cm_20um_redo_rec_voi_0061.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 582, 544
Total number of images, 1011
Total Z-position range, 60, 1070
Number of images inside VOI, 1011
Z-position range of VOI, 60, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 11:00:26 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 11:00:27 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 11:00:27 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4076 speckles removed
[ 01/26/21 11:00:31 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 11:00:31 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6526 speckles removed
[ 01/26/21 11:00:34 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 11:01:41 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:07
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_37-35cm_20um_redo\2s7_37-35cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_37-35cm_20um_redo_rec_voi_1070.bmp,22.03278,60,134.24341,28.68310,21.36648,46.34767,240.62439,8.38907,0.47805,0.78018,-3.28671,19,41,7.65865,25.17177,21.07396,97.90167,105.56031,72.92847,78.63352,,,,,,,,,,,,152.87630,0.50242,0.23841,0.87739,0.89622,1.56867,0.00000,
2s7_37-35cm_20um_redo_rec_voi_1069.bmp,22.01219,60,134.24341,28.89764,21.52630,46.34767,235.26427,8.14130,0.48163,0.78309,-0.86125,29,31,0.57935,14.85279,1.96543,104.76642,105.34577,78.04213,78.47370,,,,,,,,,,,,153.36759,0.50230,0.24566,0.89555,0.87626,1.56613,0.00000,
2s7_37-35cm_20um_redo_rec_voi_1068.bmp,21.99160,64,134.24341,29.02776,21.62323,46.34767,238.56318,8.21845,0.45356,0.75993,-2.90471,32,32,6.73394,19.56078,18.83004,98.48171,105.21565,73.36055,78.37677,,,,,,,,,,,,153.90145,0.49623,0.24335,0.88208,0.88855,1.56878,0.00000,
2s7_37-35cm_20um_redo_rec_voi_1067.bmp,21.97101,58,134.24341,29.18141,21.73769,46.34767,243.03055,8.32827,0.50313,0.80038,-1.41580,29,29,8.47475,11.99884,22.50561,96.58725,105.06200,71.94934,78.26231,,,,,,,,,,,,155.05853,0.49216,0.24015,0.86460,0.90519,1.57490,0.00000,
2s7_37-35cm_20um_redo_rec_voi_1066.bmp,21.95042,53,134.24341,29.33077,21.84894,46.34767,246.53744,8.40542,0.55341,0.83942,-2.68525,20,33,6.97626,18.73298,19.21463,97.93638,104.91265,72.95433,78.15106,,,,,,,,,,,,155.82787,0.49045,0.23794,0.85109,0.91825,1.57972,0.00000,
2s7_37-35cm_20um_redo_rec_voi_1065.bmp,21.92982,58,134.24341,29.48547,21.96419,46.34767,247.95971,8.40955,0.50837,0.80454,-2.75493,28,30,6.64003,18.29310,18.38044,98.11791,104.75794,73.08955,78.03581,,,,,,,,,,,,157.26164,0.49311,0.23782,0.84496,0.92355,1.58220,0.00000,
2s7_37-35cm_20um_redo_rec_voi_1064.bmp,21.90923,57,134.24341,29.70357,22.12665,46.34767,248.40772,8.36289,0.52112,0.81456,-3.21444,28,29,6.82563,21.94060,18.68542,97.71421,104.53984,72.78883,77.87335,,,,,,,,,,,,158.60216,0.49151,0.23915,0.84168,0.92521,1.58168,0.00000,
2s7_37-35cm_20um_redo_rec_voi_1063.bmp,21.88864,52,134.24341,29.83857,22.22721,46.34767,246.16351,8.24984,0.57382,0.85476,-2.88243,22,30,6.54070,18.85310,17.97920,97.86414,104.40485,72.90052,77.77279,,,,,,,,,,,,160.05512,0.49548,0.24243,0.84826,0.91686,1.57660,0.00000,
