
<<<<< Begin of task (68dc9126-f5c1-4c01-b468-3da96a7f83b1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_41-39cm_20um\2s7_41-39cm_20um_Rec\VOI\2s7_41-39cm_20um_rec_voi_0088.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 622, 571
Total number of images, 991
Total Z-position range, 70, 1060
Number of images inside VOI, 991
Z-position range of VOI, 70, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 12:03:59 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 12:03:59 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 12:03:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2609 speckles removed
[ 01/26/21 12:04:02 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:04:02 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5800 speckles removed
[ 01/26/21 12:04:04 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:04:38 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:34
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_41-39cm_20um\2s7_41-39cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_41-39cm_20um_rec_voi_1060.bmp,21.82687,97,150.59051,28.82949,19.14429,49.10692,263.06110,9.12472,0.29721,0.61516,-0.83145,62,35,6.80852,5.66105,19.10465,114.95250,121.76102,76.33450,80.85571,,,,,,,,,,,,61.52334,0.27564,0.21918,0.92572,0.87343,1.59492,0.00000,
2s7_41-39cm_20um_rec_voi_1059.bmp,21.80628,98,150.59051,28.95626,19.22848,49.10692,263.89424,9.11355,0.29547,0.61336,0.11772,68,30,7.15752,-0.84255,19.81937,114.47672,121.63424,76.01855,80.77152,,,,,,,,,,,,66.60031,0.27765,0.21945,0.92184,0.87620,1.59558,0.00000,
2s7_41-39cm_20um_rec_voi_1058.bmp,21.78568,98,150.59051,29.05532,19.29426,49.10692,267.36616,9.20197,0.29648,0.61441,-0.46352,72,26,7.51602,3.48386,20.55167,114.01916,121.53518,75.71471,80.70574,,,,,,,,,,,,71.98868,0.28006,0.21734,0.90913,0.88773,1.59685,0.00000,
2s7_41-39cm_20um_rec_voi_1057.bmp,21.76509,97,150.59051,29.13111,19.34459,49.10692,266.98189,9.16484,0.30032,0.61837,-0.28207,72,25,7.42656,2.09485,20.31463,114.03284,121.45939,75.72379,80.65541,,,,,,,,,,,,78.46468,0.28309,0.21823,0.90987,0.88645,1.59944,0.00000,
2s7_41-39cm_20um_rec_voi_1056.bmp,21.74450,99,150.59051,29.17256,19.37211,49.10692,267.35374,9.16456,0.29467,0.61253,-0.43062,66,33,7.29787,3.14269,20.01038,114.12008,121.41795,75.78172,80.62789,,,,,,,,,,,,85.91261,0.28964,0.21823,0.90829,0.88768,1.60145,0.00000,
2s7_41-39cm_20um_rec_voi_1055.bmp,21.72391,100,150.59051,29.19387,19.38626,49.10692,265.57653,9.09700,0.29194,0.60968,-0.58005,66,34,7.42258,4.30544,20.27117,113.97406,121.39664,75.68476,80.61374,,,,,,,,,,,,92.51470,0.29673,0.21985,0.91421,0.88178,1.60081,0.00000,
2s7_41-39cm_20um_rec_voi_1054.bmp,21.70332,100,150.59051,29.13106,19.34455,49.10692,266.89523,9.16188,0.29131,0.60902,-0.37608,68,32,7.18614,2.70260,19.78716,114.27330,121.45945,75.88347,80.65545,,,,,,,,,,,,98.86360,0.31523,0.21830,0.91017,0.88616,1.59945,0.00000,
2s7_41-39cm_20um_rec_voi_1053.bmp,21.68273,99,150.59051,29.13880,19.34969,49.10692,267.10065,9.16650,0.29433,0.61217,-0.18489,72,27,6.97610,1.28982,19.31641,114.47560,121.45171,76.01781,80.65031,,,,,,,,,,,,102.95421,0.31709,0.21819,0.90941,0.88684,1.59663,0.00000,
