
<<<<< Begin of task (0df0f41c-8470-4156-a428-a35842fa69d8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_44-42cm_20um\2s7_44-42cm_20um_Rec\VOI\2s7_44-42cm_20um_rec_voi_0097.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 971
Total Z-position range, 80, 1050
Number of images inside VOI, 971
Z-position range of VOI, 80, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 12:32:32 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 12:32:32 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 12:32:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5906 speckles removed
[ 01/26/21 12:32:34 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:32:34 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
11702 speckles removed
[ 01/26/21 12:32:36 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:33:08 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_44-42cm_20um\2s7_44-42cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_44-42cm_20um_rec_voi_1050.bmp,21.62095,98,95.39543,30.24720,31.70718,36.54877,281.19337,9.29651,0.30864,0.62688,-1.13883,65,33,7.30672,8.40595,19.45661,57.84151,65.14823,60.63342,68.29282,,,,,,,,,,,,142.94453,0.44080,0.21513,0.46337,1.47383,1.63193,9.34104,
2s7_44-42cm_20um_rec_voi_1049.bmp,21.60036,103,95.39543,30.27026,31.73135,36.54877,280.59062,9.26952,0.29389,0.61171,-1.26357,75,28,7.55397,9.59990,19.97125,57.57120,65.12517,60.35007,68.26865,,,,,,,,,,,,139.44873,0.44428,0.21576,0.46420,1.47067,1.62873,9.01968,
2s7_44-42cm_20um_rec_voi_1048.bmp,21.57977,99,95.39543,30.22075,31.67946,36.54877,279.94290,9.26327,0.30526,0.62343,-0.63369,70,29,7.44283,4.75482,19.76134,57.73185,65.17467,60.51846,68.32054,,,,,,,,,,,,137.52758,0.44979,0.21591,0.46563,1.46728,1.62940,9.15529,
2s7_44-42cm_20um_rec_voi_1047.bmp,21.55918,105,95.39543,30.13288,31.58734,36.54877,280.98296,9.32480,0.28698,0.60448,-0.88954,72,33,7.84982,7.03536,20.66683,57.41273,65.26255,60.18394,68.41266,,,,,,,,,,,,135.60836,0.45082,0.21448,0.46453,1.47273,1.62915,9.36869,
2s7_44-42cm_20um_rec_voi_1046.bmp,21.53859,108,95.39543,30.03933,31.48928,36.54877,283.05345,9.42276,0.27814,0.59510,-0.81059,81,27,8.04465,6.56115,21.12345,57.31145,65.35610,60.07777,68.51072,,,,,,,,,,,,134.79478,0.44787,0.21225,0.46179,1.48358,1.63093,9.53592,
2s7_44-42cm_20um_rec_voi_1045.bmp,21.51800,113,95.39543,29.89708,31.34016,36.54877,282.88701,9.46203,0.26458,0.58040,-0.63876,84,29,7.53839,4.86630,20.13702,57.95996,65.49835,60.75759,68.65984,,,,,,,,,,,,135.05536,0.44977,0.21137,0.46307,1.48271,1.63170,9.51180,
2s7_44-42cm_20um_rec_voi_1044.bmp,21.49741,105,95.39543,29.80348,31.24204,36.54877,282.48275,9.47818,0.28384,0.60117,-0.25626,74,31,8.11132,2.11463,21.39355,57.48062,65.59195,60.25512,68.75796,,,,,,,,,,,,136.00898,0.44964,0.21101,0.46440,1.48059,1.63009,9.54945,
2s7_44-42cm_20um_rec_voi_1043.bmp,21.47681,110,95.39543,29.69101,31.12415,36.54877,285.23079,9.60664,0.26992,0.58623,-0.21513,82,28,7.67672,1.69937,20.54371,58.02770,65.70442,60.82859,68.87585,,,,,,,,,,,,136.76606,0.44074,0.20819,0.46071,1.49499,1.63350,9.44753,
