
<<<<< Begin of task (750000ea-d363-44a5-a796-8cd2ba76d49c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_45-43cm_20um_redo\2s7_45-43cm_20um_redo_Rec\VOI\2s7_45-43cm_20um_redo_rec_voi_0138.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 751
Total Z-position range, 120, 870
Number of images inside VOI, 751
Z-position range of VOI, 120, 870
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 12:43:33 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 12:43:34 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 12:43:34 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
22100 speckles removed
[ 01/26/21 12:43:36 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:43:36 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
36888 speckles removed
[ 01/26/21 12:43:37 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:44:05 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:28
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_45-43cm_20um_redo\2s7_45-43cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_45-43cm_20um_redo_rec_voi_0870.bmp,17.91450,123,95.39543,29.09756,30.50205,36.54877,292.88880,10.06575,0.23657,0.54882,-2.47343,79,44,7.40498,18.38590,20.28621,58.89288,66.29786,61.73554,69.49795,,,,,,,,,,,,175.77996,0.48562,0.19869,0.45272,1.53513,1.61847,11.48718,
2s7_45-43cm_20um_redo_rec_voi_0869.bmp,17.89391,110,95.39543,29.27146,30.68434,36.54877,290.15303,9.91249,0.26610,0.58208,-2.43931,62,48,7.56743,18.53150,20.54196,58.55654,66.12397,61.38296,69.31566,,,,,,,,,,,,177.90297,0.49205,0.20177,0.45579,1.52079,1.61715,11.72971,
2s7_45-43cm_20um_redo_rec_voi_0868.bmp,17.87332,114,95.39543,29.35949,30.77662,36.54877,291.05405,9.91346,0.25754,0.57263,-2.48739,66,48,7.51125,18.75447,20.37185,58.52468,66.03594,61.34957,69.22338,,,,,,,,,,,,179.08540,0.49329,0.20175,0.45377,1.52551,1.61974,11.10155,
2s7_45-43cm_20um_redo_rec_voi_0867.bmp,17.85273,104,95.39543,29.53339,30.95891,36.54877,291.41142,9.86719,0.28397,0.60131,-2.72006,52,52,7.46721,20.38266,20.18132,58.39483,65.86204,61.21345,69.04109,,,,,,,,,,,,179.89770,0.49060,0.20269,0.45202,1.52739,1.62245,11.21407,
2s7_45-43cm_20um_redo_rec_voi_0866.bmp,17.83214,104,95.39543,29.61172,31.04103,36.54877,291.33663,9.83856,0.28473,0.60210,-2.78061,48,56,7.31192,20.40264,19.80280,58.47179,65.78371,61.29412,68.95897,,,,,,,,,,,,0.28121,0.48690,0.20328,0.45160,1.52699,1.62163,11.37880,
2s7_45-43cm_20um_redo_rec_voi_0865.bmp,17.81155,104,95.39543,29.74099,31.17654,36.54877,293.05596,9.85360,0.28597,0.60342,-2.92616,56,48,7.41437,21.76960,19.95504,58.24007,65.65444,61.05122,68.82346,,,,,,,,,,,,0.36036,0.48591,0.20297,0.44807,1.53601,1.59173,11.50941,
2s7_45-43cm_20um_redo_rec_voi_0864.bmp,17.79096,103,95.39543,29.84848,31.28921,36.54877,296.42103,9.93086,0.28979,0.60743,-2.97860,54,49,7.44060,22.22225,19.95383,58.10635,65.54695,60.91104,68.71079,,,,,,,,,,,,1.08330,0.48475,0.20139,0.44226,1.55364,1.62580,11.57015,
2s7_45-43cm_20um_redo_rec_voi_0863.bmp,17.77036,112,95.39543,29.93704,31.38205,36.54877,304.54346,10.17280,0.26730,0.58338,-3.11518,53,59,7.64608,23.89333,20.34446,57.81230,65.45839,60.60280,68.61795,,,,,,,,,,,,1.80559,0.48860,0.19660,0.42988,1.59622,1.63046,11.57619,
