
<<<<< Begin of task (d0c6e293-d8b0-49ab-8f90-1fa030a7c7be) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_47-45cm_20um_redo2\2s7_47-45cm_20um_redo2_Rec\VOI\2s7_47-45cm_20um_redo2_rec_voi_0178.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 559, 549
Total number of images, 931
Total Z-position range, 130, 1060
Number of images inside VOI, 931
Z-position range of VOI, 130, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 12:46:54 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 12:46:55 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 12:46:55 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3124 speckles removed
[ 01/26/21 12:46:58 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:46:58 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
8049 speckles removed
[ 01/26/21 12:47:00 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:47:42 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_47-45cm_20um_redo2\2s7_47-45cm_20um_redo2_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_47-45cm_20um_redo2_rec_voi_1060.bmp,21.82687,117,130.12335,40.63845,31.23071,45.60638,360.38490,8.86808,0.34734,0.66501,-1.48846,75,42,9.13556,13.62304,18.35408,80.34934,89.48490,61.74859,68.76929,,,,,,,,,,,,26.14447,0.32401,0.22553,0.49661,1.38478,1.70104,0.18532,
2s7_47-45cm_20um_redo2_rec_voi_1059.bmp,21.80628,114,130.12335,40.61688,31.21414,45.60638,361.57056,8.90198,0.35629,0.67353,-1.23649,74,40,9.22852,11.43450,18.51429,80.27795,89.50647,61.69373,68.78586,,,,,,,,,,,,28.43190,0.33399,0.22467,0.49510,1.38934,1.70086,0.18532,
2s7_47-45cm_20um_redo2_rec_voi_1058.bmp,21.78568,127,130.12335,40.66999,31.25495,45.60638,361.06880,8.87802,0.32024,0.63854,-0.88101,88,39,9.21464,8.13987,18.47190,80.23873,89.45337,61.66359,68.74505,,,,,,,,,,,,29.33949,0.33280,0.22528,0.49549,1.38741,1.64508,0.18532,
2s7_47-45cm_20um_redo2_rec_voi_1057.bmp,21.76509,126,130.12335,40.79226,31.34892,45.60638,363.35106,8.90735,0.32375,0.64203,-1.16281,84,42,9.27935,10.81347,18.53216,80.05174,89.33109,61.51989,68.65108,,,,,,,,,,,,30.16900,0.32471,0.22453,0.49171,1.39618,1.70766,0.18532,
2s7_47-45cm_20um_redo2_rec_voi_1056.bmp,21.74450,124,130.12335,40.97617,31.49025,45.60638,362.19330,8.83912,0.33045,0.64865,-1.16526,78,46,9.26011,10.81383,18.43312,79.88707,89.14718,61.39334,68.50975,,,,,,,,,,,,32.64250,0.30344,0.22627,0.49226,1.39173,1.70740,0.18532,
2s7_47-45cm_20um_redo2_rec_voi_1055.bmp,21.72391,127,130.12335,41.11832,31.59949,45.60638,366.49145,8.91309,0.32377,0.64205,-1.03274,86,41,9.34078,9.66949,18.51159,79.66425,89.00503,61.22210,68.40051,,,,,,,,,,,,34.50376,0.27568,0.22439,0.48571,1.40825,1.55942,0.18532,
2s7_47-45cm_20um_redo2_rec_voi_1054.bmp,21.70332,129,130.12335,41.24860,31.69961,45.60638,365.96606,8.87221,0.31976,0.63806,-0.71003,97,32,9.37438,6.67728,18.51804,79.50038,88.87476,61.09616,68.30039,,,,,,,,,,,,35.39235,0.25049,0.22542,0.48570,1.40623,1.70742,0.18532,
2s7_47-45cm_20um_redo2_rec_voi_1053.bmp,21.68273,125,130.12335,41.43691,31.84433,45.60638,368.61968,8.89593,0.33150,0.64967,-0.90981,89,36,9.48473,8.65113,18.62613,79.20172,88.68645,60.86664,68.15567,,,,,,,,,,,,37.88340,0.21178,0.22482,0.48118,1.41642,1.71642,0.18532,
