
<<<<< Begin of task (7e4d67ce-898a-42ec-b03f-5fbf1959704e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_48-46cm_20um\2s7_48-46cm_20um_Rec\VOI\2s7_48-46cm_20um_rec_voi_0118.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 578, 554
Total number of images, 981
Total Z-position range, 70, 1050
Number of images inside VOI, 981
Z-position range of VOI, 70, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 12:53:52 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 12:53:52 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 12:53:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3347 speckles removed
[ 01/26/21 12:53:55 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:53:55 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
8049 speckles removed
[ 01/26/21 12:53:57 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 12:54:41 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_48-46cm_20um\2s7_48-46cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_48-46cm_20um_rec_voi_1050.bmp,21.62095,124,135.77153,34.45524,25.37737,46.59477,325.00453,9.43266,0.27786,0.59480,-0.10487,96,28,8.27796,0.86815,19.37126,93.03833,101.31629,68.52566,74.62263,,,,,,,,,,,,16.41213,0.48724,0.21203,0.62348,1.19688,1.67898,0.00000,
2s7_48-46cm_20um_rec_voi_1049.bmp,21.60036,123,135.77153,34.42312,25.35371,46.59477,322.87715,9.37966,0.27986,0.59694,-0.17452,95,28,8.22543,1.43557,19.28655,93.12297,101.34841,68.58800,74.64629,,,,,,,,,,,,15.90907,0.48904,0.21323,0.62778,1.18905,1.68665,0.00000,
2s7_48-46cm_20um_rec_voi_1048.bmp,21.57977,114,135.77153,34.37367,25.31729,46.59477,321.67907,9.35830,0.30152,0.61961,-0.28002,85,29,8.22687,2.30369,19.31165,93.17099,101.39786,68.62337,74.68271,,,,,,,,,,,,15.66378,0.48293,0.21371,0.63043,1.18463,1.68026,0.00000,
2s7_48-46cm_20um_rec_voi_1047.bmp,21.55918,114,135.77153,34.24117,25.21970,46.59477,323.05930,9.43482,0.30036,0.61841,-0.32141,87,27,8.29200,2.66520,19.49538,93.23835,101.53036,68.67298,74.78030,,,,,,,,,,,,15.48123,0.46928,0.21198,0.62856,1.18972,1.67995,0.00000,
2s7_48-46cm_20um_rec_voi_1046.bmp,21.53859,110,135.77153,34.20057,25.18980,46.59477,323.72337,9.46544,0.31091,0.62918,-0.51577,83,27,8.25681,4.25891,19.44729,93.31415,101.57096,68.72880,74.81020,,,,,,,,,,,,15.61278,0.44268,0.21130,0.62752,1.19216,1.67858,0.00000,
2s7_48-46cm_20um_rec_voi_1045.bmp,21.51800,108,135.77153,34.27583,25.24523,46.59477,325.10602,9.48499,0.31737,0.63568,-0.70777,79,29,8.23757,5.83056,19.37641,93.25812,101.49570,68.68754,74.75477,,,,,,,,,,,,16.79081,0.41982,0.21086,0.62439,1.19725,1.68003,0.00000,
2s7_48-46cm_20um_rec_voi_1044.bmp,21.49741,109,135.77153,34.25341,25.22872,46.59477,323.22903,9.43640,0.31425,0.63255,-0.14326,87,22,8.20789,1.17591,19.33029,93.31022,101.51811,68.72591,74.77128,,,,,,,,,,,,17.83775,0.39930,0.21195,0.62815,1.19034,1.68115,0.00000,
2s7_48-46cm_20um_rec_voi_1043.bmp,21.47681,110,135.77153,34.18790,25.18047,46.59477,321.75472,9.41136,0.31080,0.62906,-0.53584,83,27,8.21415,4.40159,19.37205,93.36948,101.58362,68.76956,74.81953,,,,,,,,,,,,19.19879,0.37143,0.21251,0.63144,1.18491,1.68259,0.00000,
