
<<<<< Begin of task (488c6e4c-ce24-4707-b1e2-d63d0e035255) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_49-47cm_20um\2s7_49-47cm_20um_Rec\VOI\2s7_49-47cm_20um_rec_voi_0076.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 537, 564
Total number of images, 1001
Total Z-position range, 60, 1060
Number of images inside VOI, 1001
Z-position range of VOI, 60, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 13:01:42 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 13:01:42 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 13:01:42 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3460 speckles removed
[ 01/26/21 13:01:45 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 13:01:45 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7523 speckles removed
[ 01/26/21 13:01:47 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 13:02:29 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_49-47cm_20um\2s7_49-47cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_49-47cm_20um_rec_voi_1060.bmp,21.82687,98,128.41758,36.74889,28.61672,45.31810,322.75917,8.78283,0.37499,0.69098,-1.09916,68,30,8.38205,9.26751,18.57274,83.28664,91.66869,64.85610,71.38328,,,,,,,,,,,,48.97684,0.20994,0.22772,0.56803,1.25668,1.66838,0.22651,
2s7_49-47cm_20um_rec_voi_1059.bmp,21.80628,96,128.41758,36.85532,28.69959,45.31810,323.82992,8.78652,0.38391,0.69915,-1.34289,64,32,8.45169,11.39488,18.65427,83.11057,91.56226,64.71899,71.30041,,,,,,,,,,,,52.68977,0.18713,0.22762,0.56550,1.26085,1.66891,0.26769,
2s7_49-47cm_20um_rec_voi_1058.bmp,21.78568,96,128.41758,36.81621,28.66913,45.31810,323.98173,8.79998,0.38350,0.69878,-1.24343,63,33,8.42366,10.51919,18.61999,83.17772,91.60138,64.77129,71.33087,,,,,,,,,,,,63.22165,0.16837,0.22727,0.56547,1.26144,1.66551,0.28828,
2s7_49-47cm_20um_rec_voi_1057.bmp,21.76509,102,128.41758,36.71959,28.59389,45.31810,320.44501,8.72681,0.36000,0.67702,-1.03022,66,36,8.32757,8.62272,18.48633,83.37043,91.69800,64.92135,71.40611,,,,,,,,,,,,81.47587,0.15141,0.22918,0.57232,1.24767,1.66440,0.30887,
2s7_49-47cm_20um_rec_voi_1056.bmp,21.74450,104,128.41758,36.68964,28.57057,45.31810,317.63666,8.65739,0.35278,0.67021,-0.78538,70,34,8.25098,6.52154,18.35974,83.47696,91.72794,65.00431,71.42943,,,,,,,,,,,,101.25812,0.14980,0.23102,0.57757,1.23673,1.66325,0.30887,
2s7_49-47cm_20um_rec_voi_1055.bmp,21.72391,102,128.41758,36.67517,28.55931,45.31810,317.58170,8.65931,0.35956,0.67661,-1.01611,68,34,8.34331,8.52122,18.53307,83.39910,91.74241,64.94368,71.44069,,,,,,,,,,,,112.42882,0.18680,0.23097,0.57776,1.23652,1.66123,0.30887,
2s7_49-47cm_20um_rec_voi_1054.bmp,21.70332,103,128.41758,36.50679,28.42818,45.31810,316.27884,8.66356,0.35443,0.67177,-1.57785,64,39,8.35815,13.23654,18.62958,83.55265,91.91079,65.06325,71.57182,,,,,,,,,,,,114.31028,0.20697,0.23085,0.58120,1.23145,1.65985,0.30887,
2s7_49-47cm_20um_rec_voi_1053.bmp,21.68273,104,128.41758,36.30809,28.27346,45.31810,316.08448,8.70562,0.34912,0.66671,-1.61361,71,33,8.35211,13.52482,18.70145,83.75739,92.10949,65.22268,71.72654,,,,,,,,,,,,115.25903,0.19250,0.22974,0.58282,1.23069,1.65902,0.26769,
