
<<<<< Begin of task (b7584717-beda-421a-ac1b-13e9e617b6be) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_5-3cm_20um\2s7_5-3cm_20um_Rec\VOI\2s7_5-3cm_20um_rec_voi_0085.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 536
Total number of images, 1001
Total Z-position range, 70, 1070
Number of images inside VOI, 1001
Z-position range of VOI, 70, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 15:50:10 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/15/20 15:50:11 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 15:50:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
21848 speckles removed
[ 12/15/20 15:50:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:50:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 15:50:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:50:51 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_5-3cm_20um\2s7_5-3cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_5-3cm_20um_rec_voi_1070.bmp,22.03278,90,95.39543,24.61885,25.80716,36.54877,195.53901,7.94265,0.27354,0.59016,-1.64433,52,38,5.56152,9.17923,18.42760,65.21506,70.77658,68.36288,74.19284,,,,,,,,,,,,32.53275,0.68865,0.25180,0.72391,1.02489,1.46480,7.71735,
2s7_5-3cm_20um_rec_voi_1069.bmp,22.01219,86,95.39543,24.70890,25.90155,36.54877,197.92676,8.01034,0.28731,0.60483,-3.67149,37,49,5.21881,19.20491,17.43807,65.46772,70.68653,68.62773,74.09845,,,,,,,,,,,,31.97730,0.69323,0.24968,0.71427,1.03740,1.46359,8.27478,
2s7_5-3cm_20um_rec_voi_1068.bmp,21.99160,86,95.39543,24.68123,25.87255,36.54877,200.91997,8.14060,0.28699,0.60449,-4.43511,39,47,5.80437,25.79445,19.03970,64.90983,70.71420,68.04292,74.12745,,,,,,,,,,,,31.84375,0.69683,0.24568,0.70390,1.05309,1.46741,8.56452,
2s7_5-3cm_20um_rec_voi_1067.bmp,21.97101,94,95.39543,24.68749,25.87911,36.54877,206.31006,8.35687,0.26263,0.57827,-2.16853,47,47,6.22228,13.53162,20.13045,64.48567,70.70794,67.59828,74.12089,,,,,,,,,,,,31.84651,0.69411,0.23932,0.68545,1.08134,1.46676,8.37420,
2s7_5-3cm_20um_rec_voi_1066.bmp,21.95042,97,95.39543,24.67535,25.86639,36.54877,205.89274,8.34407,0.25439,0.56912,-0.93729,53,44,8.84607,8.32539,26.38931,61.87401,70.72008,64.86056,74.13361,,,,,,,,,,,,31.63657,0.69346,0.23969,0.68696,1.07915,1.46893,8.15580,
2s7_5-3cm_20um_rec_voi_1065.bmp,21.92982,92,95.39543,24.67090,25.86172,36.54877,205.09321,8.31316,0.26816,0.58432,0.68336,50,42,10.30799,-6.97861,29.46917,60.41654,70.72453,63.33274,74.13828,,,,,,,,,,,,31.34195,0.69213,0.24058,0.68968,1.07496,1.46854,8.06594,
2s7_5-3cm_20um_rec_voi_1064.bmp,21.90923,96,95.39543,24.73317,25.92700,36.54877,209.34346,8.46408,0.25764,0.57274,-2.51296,53,43,14.13628,35.63722,36.36861,56.52598,70.66225,59.25439,74.07300,,,,,,,,,,,,30.70650,0.68685,0.23629,0.67508,1.09724,1.47207,8.24420,
2s7_5-3cm_20um_rec_voi_1063.bmp,21.88864,102,95.39543,24.82041,26.01845,36.54877,213.90354,8.61805,0.24334,0.55662,-2.11863,56,46,18.44772,39.23833,42.63581,52.12730,70.57502,54.64339,73.98155,,,,,,,,,,,,30.06082,0.67960,0.23207,0.65988,1.12114,1.47918,8.68204,
