
<<<<< Begin of task (333c79ca-a3cb-4a39-8aa9-124a4c78bb38) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_50-48cm_20um\2s7_50-48cm_20um_Rec\VOI\2s7_50-48cm_20um_rec_voi_0290.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 574, 594
Total number of images, 761
Total Z-position range, 290, 1050
Number of images inside VOI, 761
Z-position range of VOI, 290, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 15:50:23 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 15:50:23 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 15:50:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6898 speckles removed
[ 01/26/21 15:50:25 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 15:50:25 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9573 speckles removed
[ 01/26/21 15:50:27 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 15:51:04 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_50-48cm_20um\2s7_50-48cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_50-48cm_20um_rec_voi_1050.bmp,21.62095,95,144.56709,36.96630,25.57034,48.07735,331.16438,8.95855,0.38912,0.70388,-1.68262,58,37,8.65681,14.56646,18.97461,98.94398,107.60079,68.44157,74.42966,,,,,,,,,,,,56.13211,0.21852,0.22325,0.64983,1.14537,1.64502,0.00000,
2s7_50-48cm_20um_rec_voi_1049.bmp,21.60036,98,144.56709,36.50631,25.25216,48.07735,332.33420,9.10347,0.37251,0.68869,-1.82950,55,43,8.70498,15.92634,19.25400,99.35579,108.06078,68.72643,74.74784,,,,,,,,,,,,55.12600,0.23615,0.21970,0.65031,1.14941,1.64493,0.00000,
2s7_50-48cm_20um_rec_voi_1048.bmp,21.57977,96,144.56709,36.18725,25.03146,48.07735,332.16776,9.17914,0.37695,0.69278,-1.82935,58,38,8.71002,15.93427,19.39989,99.66982,108.37984,68.94365,74.96854,,,,,,,,,,,,53.15201,0.25140,0.21789,0.65256,1.14884,1.64482,0.00000,
2s7_50-48cm_20um_rec_voi_1047.bmp,21.55918,99,144.56709,35.91800,24.84521,48.07735,334.04803,9.30030,0.36281,0.67966,-1.38460,66,33,8.67329,12.00934,19.45064,99.97580,108.64909,69.15529,75.15479,,,,,,,,,,,,51.70835,0.24999,0.21505,0.65050,1.15534,1.64963,0.00000,
2s7_50-48cm_20um_rec_voi_1046.bmp,21.53859,95,144.56709,35.67987,24.68049,48.07735,331.48970,9.29066,0.37558,0.69152,-1.02756,65,30,8.36382,8.59445,18.98982,100.52340,108.88722,69.53408,75.31951,,,,,,,,,,,,48.59612,0.24717,0.21527,0.65696,1.14649,1.64809,0.00000,
2s7_50-48cm_20um_rec_voi_1045.bmp,21.51800,96,144.56709,35.55686,24.59540,48.07735,334.09143,9.39598,0.37038,0.68672,-2.16336,57,39,9.07811,19.63965,20.33856,99.93212,109.01023,69.12509,75.40460,,,,,,,,,,,,47.12722,0.25255,0.21286,0.65258,1.15549,1.64876,0.00000,
2s7_50-48cm_20um_rec_voi_1044.bmp,21.49741,97,144.56709,35.52643,24.57436,48.07735,333.98323,9.40098,0.36625,0.68288,-1.66397,54,43,8.63661,14.37139,19.55620,100.40404,109.04065,69.45152,75.42564,,,,,,,,,,,,46.59984,0.25972,0.21274,0.65297,1.15512,1.65295,0.00000,
2s7_50-48cm_20um_rec_voi_1043.bmp,21.47681,99,144.56709,35.57382,24.60713,48.07735,332.06934,9.33466,0.35933,0.67640,-1.52103,58,41,8.54312,12.99530,19.36472,100.45015,108.99327,69.48342,75.39287,,,,,,,,,,,,45.77385,0.27041,0.21426,0.65645,1.14850,1.65106,0.00000,
