
<<<<< Begin of task (1bca48e6-9223-460f-9417-c4b42ad26ed1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_50-48cm_20um_redo\2s7_50-48cm_20um_redo_Rec\VOI\2s7_50-48cm_20um_redo_rec_voi_0057.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 551, 563
Total number of images, 806
Total Z-position range, 40, 845
Number of images inside VOI, 806
Z-position range of VOI, 40, 845
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 13:09:18 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 13:09:18 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 13:09:18 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2580 speckles removed
[ 01/26/21 13:09:20 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 13:09:20 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5709 speckles removed
[ 01/26/21 13:09:22 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 13:09:55 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\50-33\2s7_50-48cm_20um_redo\2s7_50-48cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_50-48cm_20um_redo_rec_voi_0845.bmp,17.39972,85,131.53190,37.76253,28.70979,45.85348,336.58046,8.91308,0.44427,0.75210,-1.59273,46,39,8.76890,14.02437,18.84512,85.00047,93.76937,64.62346,71.29021,,,,,,,,,,,,82.44726,0.35921,0.22439,0.55719,1.27946,1.67951,0.22651,
2s7_50-48cm_20um_redo_rec_voi_0844.bmp,17.37913,90,131.53190,37.71647,28.67477,45.85348,339.05814,8.98966,0.41907,0.73046,-1.27863,54,36,8.80399,11.29167,18.92498,85.01144,93.81543,64.63180,71.32523,,,,,,,,,,,,79.41181,0.34471,0.22248,0.55339,1.28888,1.56429,0.14414,
2s7_50-48cm_20um_redo_rec_voi_0843.bmp,17.35854,89,131.53190,37.73025,28.68525,45.85348,341.16895,9.04232,0.42394,0.73469,-1.54215,50,39,8.82620,13.61168,18.95805,84.97545,93.80165,64.60444,71.31475,,,,,,,,,,,,78.17125,0.32969,0.22118,0.54988,1.29691,1.65651,0.00000,
2s7_50-48cm_20um_redo_rec_voi_0842.bmp,17.33795,89,131.53190,37.91284,28.82407,45.85348,342.12993,9.02412,0.42599,0.73647,-1.94538,50,39,8.83038,17.17889,18.89126,84.78867,93.61906,64.46244,71.17593,,,,,,,,,,,,76.85272,0.30149,0.22163,0.54727,1.30056,1.68350,0.00000,
2s7_50-48cm_20um_redo_rec_voi_0841.bmp,17.31735,84,131.53190,38.12166,28.98283,45.85348,338.68300,8.88427,0.45383,0.76015,-1.70775,45,39,8.72062,14.89299,18.61698,84.68962,93.41024,64.38713,71.01717,,,,,,,,,,,,77.38813,0.27786,0.22512,0.55161,1.28746,1.68471,0.00000,
2s7_50-48cm_20um_redo_rec_voi_0840.bmp,17.29676,83,131.53190,38.20848,29.04883,45.85348,335.30551,8.77568,0.46034,0.76559,-1.76491,39,44,8.77092,15.47990,18.66971,84.55250,93.32342,64.28289,70.95117,,,,,,,,,,,,79.65448,0.26135,0.22790,0.55665,1.27462,1.68618,0.00000,
2s7_50-48cm_20um_redo_rec_voi_0839.bmp,17.27617,83,131.53190,38.29158,29.11201,45.85348,335.34448,8.75765,0.46134,0.76642,-1.74454,38,45,8.87098,15.47576,18.80937,84.36933,93.24032,64.14363,70.88799,,,,,,,,,,,,84.36288,0.23571,0.22837,0.55609,1.27476,1.68523,0.00000,
2s7_50-48cm_20um_redo_rec_voi_0838.bmp,17.25558,87,131.53190,38.54758,29.30664,45.85348,336.45570,8.72832,0.44308,0.75109,-2.03946,45,42,9.03926,18.43521,18.99529,83.94506,92.98432,63.82107,70.69336,,,,,,,,,,,,93.60186,0.22542,0.22914,0.55273,1.27899,1.68755,0.00000,
