
<<<<< Begin of task (61726711-5a13-466d-9f79-39eb870245a7) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_52-50cm_20um_redo\2s7_52-50cm_20um_redo_Rec\VOI\2s7_52-50cm_20um_redo_rec_voi_0073.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 559, 576
Total number of images, 991
Total Z-position range, 70, 1060
Number of images inside VOI, 991
Z-position range of VOI, 70, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 16:07:31 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 16:07:32 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 16:07:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4540 speckles removed
[ 01/26/21 16:07:34 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 16:07:34 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9599 speckles removed
[ 01/26/21 16:07:36 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 16:08:09 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_52-50cm_20um_redo\2s7_52-50cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_52-50cm_20um_redo_rec_voi_1060.bmp,21.82687,98,136.52286,31.11281,22.78945,46.71832,285.46890,9.17529,0.31748,0.63579,-1.65848,59,39,7.65456,12.75684,19.74486,97.75549,105.41006,71.60375,77.21055,,,,,,,,,,,,124.66120,0.45340,0.21798,0.73850,1.04550,1.60276,0.32946,
2s7_52-50cm_20um_redo_rec_voi_1059.bmp,21.80628,92,136.52286,31.15447,22.81996,46.71832,282.29904,9.06127,0.33864,0.65663,-1.39597,56,36,7.38628,10.33533,19.16485,97.98212,105.36840,71.76975,77.18004,,,,,,,,,,,,125.81424,0.45513,0.22072,0.74650,1.03389,1.59964,0.18532,
2s7_52-50cm_20um_redo_rec_voi_1058.bmp,21.78568,94,136.52286,31.14927,22.81616,46.71832,276.77904,8.88557,0.33138,0.64955,-1.54914,59,35,7.48088,11.61407,19.36539,97.89271,105.37359,71.70426,77.18384,,,,,,,,,,,,126.40767,0.45033,0.22508,0.76143,1.01367,1.59516,0.18532,
2s7_52-50cm_20um_redo_rec_voi_1057.bmp,21.76509,96,136.52286,31.11509,22.79112,46.71832,277.05818,8.90430,0.32412,0.64240,-1.24324,53,43,7.15196,8.91549,18.68960,98.25582,105.40778,71.97023,77.20888,,,,,,,,,,,,127.15419,0.44124,0.22461,0.76091,1.01470,1.59317,0.18532,
2s7_52-50cm_20um_redo_rec_voi_1056.bmp,21.74450,104,136.52286,30.97532,22.68874,46.71832,274.93409,8.87591,0.29784,0.61581,-1.03009,71,33,7.17178,7.41000,18.80033,98.37576,105.54754,72.05808,77.31126,,,,,,,,,,,,128.01905,0.43693,0.22533,0.76780,1.00692,1.59207,0.18532,
2s7_52-50cm_20um_redo_rec_voi_1055.bmp,21.72391,109,136.52286,30.73587,22.51335,46.71832,279.53929,9.09489,0.28198,0.59919,-1.23468,72,37,7.29575,9.03162,19.18338,98.49125,105.78700,72.14268,77.48665,,,,,,,,,,,,129.67239,0.42989,0.21990,0.75687,1.02378,1.59240,0.18532,
2s7_52-50cm_20um_redo_rec_voi_1054.bmp,21.70332,100,136.52286,30.61232,22.42285,46.71832,282.48946,9.22797,0.30612,0.62431,-1.84127,47,53,7.36052,13.58756,19.38364,98.55003,105.91054,72.18573,77.57715,,,,,,,,,,,,132.96040,0.41735,0.21673,0.74984,1.03459,1.59571,0.08237,
2s7_52-50cm_20um_redo_rec_voi_1053.bmp,21.68273,107,136.52286,30.58201,22.40065,46.71832,284.60270,9.30621,0.28581,0.60325,-1.53438,62,45,7.45883,11.44520,19.60744,98.48203,105.94086,72.13592,77.59935,,,,,,,,,,,,136.67392,0.39827,0.21491,0.74448,1.04233,1.59869,0.00000,
