
<<<<< Begin of task (6d9593f4-5a13-4ac1-921a-58ac03fe4d21) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_62-60cm_20um\2s7_62-60cm_20um_Rec\VOI\2s7_62-60cm_20um_rec_voi_0063.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 611, 595
Total number of images, 1011
Total Z-position range, 60, 1070
Number of images inside VOI, 1011
Z-position range of VOI, 60, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 14:12:18 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 01/27/21 14:12:19 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:12:19 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5629 speckles removed
[ 01/27/21 14:12:22 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:12:22 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
15946 speckles removed
[ 01/27/21 14:12:25 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:13:25 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:00
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_62-60cm_20um\2s7_62-60cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_62-60cm_20um_rec_voi_1070.bmp,22.03278,179,154.14494,33.05878,21.44655,49.64230,386.74482,11.69870,0.18469,0.48492,-0.06803,153,26,10.15376,0.69079,23.49725,110.93241,121.08616,71.96630,78.55345,,,,,,,,,,,,82.03654,0.44378,0.17096,0.62618,1.25448,1.69757,0.00000,
2s7_62-60cm_20um_rec_voi_1069.bmp,22.01219,184,154.14494,32.94864,21.37510,49.64230,388.84807,11.80164,0.17907,0.47749,0.09229,159,25,10.20204,-0.94153,23.64282,110.99426,121.19630,72.00642,78.62490,,,,,,,,,,,,81.66520,0.44396,0.16947,0.62336,1.26131,1.70092,0.00000,
2s7_62-60cm_20um_rec_voi_1068.bmp,21.99160,169,154.14494,33.00323,21.41052,49.64230,388.59391,11.77442,0.19529,0.49864,0.35422,142,27,10.01654,-3.54826,23.28357,111.12517,121.14171,72.09135,78.58948,,,,,,,,,,,,81.23064,0.43775,0.16986,0.62349,1.26048,1.69876,0.00000,
2s7_62-60cm_20um_rec_voi_1067.bmp,21.97101,155,154.14494,33.39597,21.66530,49.64230,388.72452,11.63986,0.21546,0.52376,-0.19510,122,33,10.07940,1.96660,23.18416,110.66958,120.74897,71.79579,78.33470,,,,,,,,,,,,82.09971,0.43828,0.17182,0.62126,1.26091,1.70076,0.00000,
2s7_62-60cm_20um_rec_voi_1066.bmp,21.95042,148,154.14494,33.58221,21.78613,49.64230,384.62694,11.45329,0.22691,0.53750,0.16941,115,33,9.77480,-1.65592,22.54491,110.78793,120.56273,71.87257,78.21387,,,,,,,,,,,,83.74703,0.43848,0.17462,0.62691,1.24761,1.69585,0.00000,
2s7_62-60cm_20um_rec_voi_1065.bmp,21.92982,141,154.14494,33.61454,21.80710,49.64230,378.91274,11.27229,0.23840,0.55095,0.06043,102,39,9.54658,-0.57689,22.11847,110.98382,120.53040,71.99965,78.19290,,,,,,,,,,,,85.07587,0.43363,0.17743,0.63619,1.22908,1.69659,0.00000,
2s7_62-60cm_20um_rec_voi_1064.bmp,21.90923,141,154.14494,33.68000,21.84956,49.64230,373.77352,11.09779,0.23887,0.55148,0.21779,107,34,9.43136,-2.05412,21.87674,111.03358,120.46494,72.03194,78.15044,,,,,,,,,,,,86.84104,0.42780,0.18022,0.64459,1.21241,1.69642,0.00000,
2s7_62-60cm_20um_rec_voi_1063.bmp,21.88864,151,154.14494,33.79724,21.92562,49.64230,379.34177,11.22405,0.22382,0.53384,0.22516,119,32,9.61198,-2.16424,22.14272,110.73572,120.34770,71.83870,78.07438,,,,,,,,,,,,89.58899,0.41746,0.17819,0.63451,1.23047,1.69583,0.00000,
