
<<<<< Begin of task (63cd5cd9-5f94-4ac1-a83f-abdf2a837259) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_50-48cm_20um_redo\2s7_62-60cm_20um_Rec\VOI\2s7_62-60cm_20um_rec_voi_0161.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 573, 588
Total number of images, 911
Total Z-position range, 160, 1070
Number of images inside VOI, 911
Z-position range of VOI, 160, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/26/21 15:58:23 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/26/21 15:58:23 ]	Thresholding done

-----------------------------------------------------------------
[ 01/26/21 15:58:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4082 speckles removed
[ 01/26/21 15:58:26 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 15:58:26 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6267 speckles removed
[ 01/26/21 15:58:28 ]	Despeckle done

-----------------------------------------------------------------
[ 01/26/21 15:59:13 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_50-48cm_20um_redo\2s7_62-60cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_62-60cm_20um_rec_voi_1070.bmp,22.03278,107,142.85750,34.15102,23.90565,47.78907,309.75975,9.07029,0.31917,0.63748,-1.13301,74,33,8.32820,9.50461,19.60536,100.37828,108.70649,70.26462,76.09435,,,,,,,,,,,,84.83953,0.39242,0.22050,0.70188,1.08416,1.59660,0.30887,
2s7_62-60cm_20um_rec_voi_1069.bmp,22.01219,109,142.85750,34.06780,23.84740,47.78907,308.12900,9.04458,0.31255,0.63083,-0.61997,75,34,7.86169,4.90577,18.74979,100.92801,108.78970,70.64943,76.15260,,,,,,,,,,,,83.23622,0.37594,0.22113,0.70613,1.07845,1.62489,0.14414,
2s7_62-60cm_20um_rec_voi_1068.bmp,21.99160,103,142.85750,34.19273,23.93485,47.78907,310.33666,9.07610,0.33197,0.65013,-0.80013,67,36,7.79777,6.27187,18.57033,100.86700,108.66477,70.60672,76.06515,,,,,,,,,,,,82.29944,0.35295,0.22036,0.70030,1.08618,1.62780,0.14414,
2s7_62-60cm_20um_rec_voi_1067.bmp,21.97101,104,142.85750,34.42317,24.09616,47.78907,310.84256,9.03004,0.33099,0.64918,-0.83192,69,35,7.85978,6.57185,18.58854,100.57454,108.43433,70.40200,75.90384,,,,,,,,,,,,81.40825,0.34239,0.22148,0.69768,1.08795,1.62782,0.16473,
2s7_62-60cm_20um_rec_voi_1066.bmp,21.95042,96,142.85750,34.63804,24.24657,47.78907,311.12449,8.98216,0.36081,0.67779,-1.28874,57,39,7.87780,10.18766,18.52910,100.34166,108.21946,70.23899,75.75343,,,,,,,,,,,,79.45511,0.33632,0.22266,0.69567,1.08893,1.62911,0.16473,
2s7_62-60cm_20um_rec_voi_1065.bmp,21.92982,108,142.85750,34.66316,24.26415,47.78907,315.68921,9.10734,0.32096,0.63926,-1.30135,69,39,8.00659,10.45474,18.76410,100.18775,108.19434,70.13125,75.73585,,,,,,,,,,,,77.86471,0.33089,0.21960,0.68545,1.10491,1.63520,0.16473,
2s7_62-60cm_20um_rec_voi_1064.bmp,21.90923,115,142.85750,34.86811,24.40762,47.78907,324.49712,9.30641,0.30320,0.62133,-1.42702,65,50,8.19443,11.71778,19.02913,99.79496,107.98939,69.85630,75.59238,,,,,,,,,,,,79.43050,0.31108,0.21491,0.66558,1.13574,1.64235,0.16473,
2s7_62-60cm_20um_rec_voi_1063.bmp,21.88864,109,142.85750,35.05955,24.54163,47.78907,327.60389,9.34421,0.32165,0.63995,-1.59850,62,47,8.34416,13.37594,19.22452,99.45379,107.79795,69.61748,75.45837,,,,,,,,,,,,80.12390,0.29807,0.21404,0.65810,1.14661,1.64540,0.18532,
