
<<<<< Begin of task (f2618de3-2a5f-4678-adbf-53fa8074c1fe) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_63-61cm_20um\2s7_63-61cm_20um_Rec\VOI\2s7_63-61cm_20um_rec_voi_0053.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 644, 560
Total number of images, 1001
Total Z-position range, 50, 1050
Number of images inside VOI, 1001
Z-position range of VOI, 50, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 14:26:44 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 01/27/21 14:26:45 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:26:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5145 speckles removed
[ 01/27/21 14:26:50 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:26:50 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
11098 speckles removed
[ 01/27/21 14:26:54 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:28:13 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:19
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_63-61cm_20um\2s7_63-61cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_63-61cm_20um_rec_voi_1050.bmp,21.62095,162,152.91321,33.26575,21.75466,49.55993,383.31823,11.52291,0.20534,0.51132,0.18435,133,29,9.82897,-1.78361,22.80783,109.81849,119.64746,71.81753,78.24534,,,,,,,,,,,,96.55993,0.22698,0.17357,0.62427,1.25338,1.70254,0.12355,
2s7_63-61cm_20um_rec_voi_1049.bmp,21.60036,164,152.91321,33.32643,21.79434,49.55993,386.74432,11.60473,0.20321,0.50866,0.08199,124,40,9.90656,-0.81228,22.91436,109.68021,119.58677,71.72710,78.20566,,,,,,,,,,,,94.05027,0.22887,0.17234,0.61843,1.26459,1.70533,0.00000,
2s7_63-61cm_20um_rec_voi_1048.bmp,21.57977,176,152.91321,33.22478,21.72787,49.55993,391.56371,11.78529,0.18878,0.49026,0.37569,142,34,9.80215,-3.68265,22.78143,109.88628,119.68843,71.86186,78.27213,,,,,,,,,,,,92.99325,0.22458,0.16970,0.61134,1.28035,1.70597,0.00000,
2s7_63-61cm_20um_rec_voi_1047.bmp,21.55918,181,152.91321,32.92532,21.53203,49.55993,391.82423,11.90039,0.18191,0.48126,-0.15514,142,39,7.98031,1.23808,19.50907,112.00758,119.98788,73.24912,78.46797,,,,,,,,,,,,90.34742,0.21639,0.16806,0.61246,1.28120,1.71084,0.00000,
2s7_63-61cm_20um_rec_voi_1046.bmp,21.53859,185,152.91321,32.60096,21.31991,49.55993,391.87126,12.02024,0.17622,0.47368,-0.17575,146,39,10.65758,1.87317,24.63694,109.65467,120.31225,71.71040,78.68009,,,,,,,,,,,,88.44586,0.22539,0.16639,0.61404,1.28135,1.71022,0.00000,
2s7_63-61cm_20um_rec_voi_1045.bmp,21.51800,190,152.91321,32.29986,21.12300,49.55993,388.96077,12.04218,0.17000,0.46524,-1.15217,153,37,10.68291,3.62526,24.85394,109.93043,120.61334,71.89074,78.87700,,,,,,,,,,,,86.88921,0.23628,0.16608,0.62018,1.27184,1.70733,0.00000,
2s7_63-61cm_20um_rec_voi_1044.bmp,21.49741,190,152.91321,32.11023,20.99899,49.55993,384.48426,11.97389,0.16900,0.46387,-0.20820,159,31,8.14371,1.69558,20.23084,112.65927,120.80298,73.67531,79.00101,,,,,,,,,,,,82.70931,0.25411,0.16703,0.62839,1.25720,1.69747,0.00000,
2s7_63-61cm_20um_rec_voi_1043.bmp,21.47681,183,152.91321,31.96193,20.90201,49.55993,378.08116,11.82911,0.17466,0.47157,0.40152,150,33,9.76187,-3.91976,23.39641,111.18941,120.95128,72.71406,79.09799,,,,,,,,,,,,78.91670,0.26927,0.16907,0.63982,1.23626,1.69937,0.00000,
