
<<<<< Begin of task (c88d99c6-d305-4295-8ca7-08aaf98bcb35) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_64-62cm_20um\2s7_64-62cm_20um_Rec\VOI\2s7_64-62cm_20um_rec_voi_0073.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 666, 572
Total number of images, 971
Total Z-position range, 70, 1040
Number of images inside VOI, 971
Z-position range of VOI, 70, 1040
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 14:41:17 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 01/27/21 14:41:19 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:41:19 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4674 speckles removed
[ 01/27/21 14:41:24 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:41:24 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9713 speckles removed
[ 01/27/21 14:41:28 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:42:16 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:48
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_64-62cm_20um\2s7_64-62cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_64-62cm_20um_rec_voi_1040.bmp,21.41504,159,161.52560,34.58313,21.41031,50.96014,387.88780,11.21610,0.21750,0.52625,0.51204,126,33,0.37768,13.38641,1.08030,126.56479,126.94247,78.35587,78.58969,,,,,,,,,,,,81.70873,0.36046,0.17832,0.65453,1.20070,1.70420,0.18532,
2s7_64-62cm_20um_rec_voi_1039.bmp,21.39445,168,161.52560,34.17312,21.15647,50.96014,382.75237,11.20039,0.20341,0.50891,1.24870,138,30,11.17937,6.31036,24.64996,116.17311,127.35248,71.92241,78.84353,,,,,,,,,,,,81.28957,0.37765,0.17857,0.66546,1.18480,1.70284,0.18532,
2s7_64-62cm_20um_rec_voi_1038.bmp,21.37386,164,161.52560,33.67168,20.84603,50.96014,377.50617,11.21139,0.20532,0.51129,-0.68483,132,32,7.26194,5.07636,17.74076,120.59198,127.85392,74.65813,79.15397,,,,,,,,,,,,79.85078,0.39199,0.17839,0.67736,1.16856,1.69624,0.18532,
2s7_64-62cm_20um_rec_voi_1037.bmp,21.35327,167,161.52560,33.19616,20.55164,50.96014,372.95729,11.23495,0.19878,0.50308,-0.34100,138,29,10.23548,3.50928,23.56688,118.09396,128.32944,73.11161,79.44836,,,,,,,,,,,,81.17180,0.39694,0.17802,0.68817,1.15448,1.69395,0.18532,
2s7_64-62cm_20um_rec_voi_1036.bmp,21.33267,162,161.52560,32.61495,20.19182,50.96014,363.83319,11.15541,0.20133,0.50630,0.52206,133,29,9.37862,-4.88195,22.33347,119.53202,128.91065,74.00191,79.80818,,,,,,,,,,,,82.04510,0.41354,0.17929,0.70862,1.12624,1.68782,0.18532,
2s7_64-62cm_20um_rec_voi_1035.bmp,21.31208,164,161.52560,32.10047,19.87330,50.96014,361.50147,11.26156,0.19573,0.49922,0.36872,134,30,9.23987,-3.36233,22.35073,120.18526,129.42512,74.40632,80.12670,,,,,,,,,,,,83.38893,0.43111,0.17760,0.71604,1.11902,1.68571,0.06177,
2s7_64-62cm_20um_rec_voi_1034.bmp,21.29149,166,161.52560,31.65416,19.59699,50.96014,359.07376,11.34365,0.19069,0.49274,0.36055,141,25,10.00795,-3.60842,24.02171,119.86349,129.87144,74.20712,80.40301,,,,,,,,,,,,83.89619,0.44541,0.17631,0.72337,1.11151,1.68313,0.00000,
2s7_64-62cm_20um_rec_voi_1033.bmp,21.27090,160,161.52560,31.36361,19.41711,50.96014,354.66085,11.30804,0.19602,0.49958,-1.38803,125,35,1.52032,8.34006,4.62330,128.64167,130.16199,79.64166,80.58289,,,,,,,,,,,,84.58978,0.46015,0.17687,0.73401,1.09785,1.68020,0.00000,
