
<<<<< Begin of task (648d4899-c783-47ec-8c73-34d281268e97) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_65-63cm_20um\2s7_65-63cm_20um_Rec\VOI\2s7_65-63cm_20um_rec_voi_0061.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 599, 550
Total number of images, 501
Total Z-position range, 60, 560
Number of images inside VOI, 501
Z-position range of VOI, 60, 560
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 14:58:22 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 01/27/21 14:58:23 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:58:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2313 speckles removed
[ 01/27/21 14:58:24 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:58:24 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4852 speckles removed
[ 01/27/21 14:58:25 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:58:46 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:21
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\65-48\2s7_65-63cm_20um\2s7_65-63cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_65-63cm_20um_rec_voi_0560.bmp,11.53118,201,139.68849,34.44506,24.65848,47.29488,405.48963,11.77207,0.17137,0.46711,0.90175,170,31,10.30889,-9.29628,23.03459,94.93453,105.24342,67.96160,75.34152,,,,,,,,,,,,79.49121,0.33347,0.16989,0.51909,1.45141,1.72827,0.00000,
2s7_65-63cm_20um_rec_voi_0559.bmp,11.51058,189,139.68849,34.55970,24.74055,47.29488,403.27954,11.66907,0.18286,0.48251,0.99547,158,31,10.25403,-10.20780,22.88145,94.87475,105.12878,67.91880,75.25945,,,,,,,,,,,,77.29391,0.33476,0.17139,0.52137,1.44350,1.72298,0.00000,
2s7_65-63cm_20um_rec_voi_0558.bmp,11.48999,187,139.68849,34.57857,24.75406,47.29488,403.57781,11.67133,0.18491,0.48522,0.70479,150,37,10.24354,-7.21973,22.85376,94.86638,105.10991,67.91281,75.24594,,,,,,,,,,,,76.00513,0.33703,0.17136,0.52089,1.44456,1.72523,0.00000,
2s7_65-63cm_20um_rec_voi_0557.bmp,11.46940,181,139.68849,34.46043,24.66949,47.29488,400.11710,11.61091,0.19039,0.49235,0.57280,153,28,10.18418,-5.83365,22.81166,95.04387,105.22805,68.03988,75.33051,,,,,,,,,,,,75.43741,0.32550,0.17225,0.52599,1.43218,1.72568,0.00000,
2s7_65-63cm_20um_rec_voi_0556.bmp,11.44881,193,139.68849,34.05349,24.37817,47.29488,403.90449,11.86088,0.17644,0.47398,0.40971,157,36,10.25340,-4.20118,23.14177,95.38159,105.63499,68.28164,75.62183,,,,,,,,,,,,77.61718,0.30034,0.16862,0.52307,1.44573,1.72414,0.00000,
2s7_65-63cm_20um_rec_voi_0555.bmp,11.42822,200,139.68849,33.87562,24.25083,47.29488,402.73331,11.88859,0.16938,0.46439,0.58736,173,27,10.24921,-6.02044,23.22776,95.56365,105.81286,68.41197,75.74917,,,,,,,,,,,,83.90451,0.25038,0.16823,0.52547,1.44154,1.72159,0.00000,
2s7_65-63cm_20um_rec_voi_0554.bmp,11.40763,192,139.68849,33.85994,24.23960,47.29488,403.68758,11.92228,0.17635,0.47386,0.59007,166,26,10.27598,-6.06369,23.28257,95.55257,105.82855,68.40404,75.76040,,,,,,,,,,,,101.62724,0.20543,0.16775,0.52431,1.44496,1.63756,0.00000,
2s7_65-63cm_20um_rec_voi_0553.bmp,11.38704,197,139.68849,33.81059,24.20428,47.29488,406.74182,12.03001,0.17163,0.46746,0.47245,166,31,10.37694,-4.90265,23.48387,95.50095,105.87789,68.36709,75.79572,,,,,,,,,,,,122.05273,0.22201,0.16625,0.52061,1.45589,1.72098,0.00000,
