
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_71_68cm_20um\2s7_71_68cm_20um_Rec\VOI\2s7_71_68cm_20um_rec_voi_

<<<<< Begin of task (b03c2103-c573-492e-bb44-1b9a0e2b42c5) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_71_68cm_20um\2s7_71_68cm_20um_Rec\VOI\2s7_71_68cm_20um_rec_voi_0065.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 1001
Total Z-position range, 50, 1050
Number of images inside VOI, 1001
Z-position range of VOI, 50, 1050
Z spacing, 1
Pixel size (um), 19.882692

-----------------------------------------------------------------
[ 01/27/21 14:21:43 ] Thresholding
Mode, Global
Lower grey threshold, 84
Upper grey threshold, 200
[ 01/27/21 14:21:44 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:21:44 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
62163 speckles removed
[ 01/27/21 14:21:51 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:21:51 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
45729 speckles removed
[ 01/27/21 14:21:58 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:24:04 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:02:06
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_71_68cm_20um\2s7_71_68cm_20um_Rec\VOI\
Pixel size,19.88269,um
Lower grey threshold,84
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_71_68cm_20um_rec_voi_1050.bmp,20.87683,273,87.63486,44.07384,50.29260,35.01934,646.38978,14.66606,0.16144,0.45338,-3.98636,147,126,15.73103,62.83934,26.30392,27.82999,43.56101,31.75676,49.70740,,,,,,,,,,,,66.67075,0.20836,0.13637,0.13478,3.68797,1.83560,13.69970,
2s7_71_68cm_20um_rec_voi_1049.bmp,20.85694,280,87.63486,43.85765,50.04590,35.01934,643.70137,14.67706,0.15663,0.44658,-3.71831,164,116,14.85020,55.34752,25.29508,28.92700,43.77721,33.00856,49.95410,,,,,,,,,,,,66.31127,0.18753,0.13627,0.13602,3.67263,1.83218,13.98629,
2s7_71_68cm_20um_rec_voi_1048.bmp,20.83706,276,87.63486,43.88992,50.08272,35.01934,646.21872,14.72362,0.15902,0.44997,-4.73501,141,135,12.96180,61.50419,22.79931,30.78314,43.74494,35.12659,49.91728,,,,,,,,,,,,60.25608,0.16263,0.13584,0.13539,3.68700,1.83686,15.46509,
2s7_71_68cm_20um_rec_voi_1047.bmp,20.81718,271,87.63486,43.73174,49.90222,35.01934,643.18140,14.70743,0.16137,0.45328,-3.87851,152,119,14.88242,57.93441,25.39048,29.02070,43.90311,33.11547,50.09778,,,,,,,,,,,,50.64457,0.12250,0.13599,0.13652,3.66967,1.83631,15.80592,
2s7_71_68cm_20um_rec_voi_1046.bmp,20.79730,273,87.63486,43.38564,49.50729,35.01934,644.91763,14.86477,0.15892,0.44983,-4.03939,161,112,13.70402,55.68762,24.00438,30.54520,44.24922,34.85508,50.49271,,,,,,,,,,,,30.67337,0.11091,0.13455,0.13722,3.67957,1.83549,16.66853,
2s7_71_68cm_20um_rec_voi_1045.bmp,20.77741,286,87.63486,42.99150,49.05754,35.01934,651.07521,15.14428,0.15032,0.43749,-3.83984,151,135,15.71640,60.54542,26.77050,28.92695,44.64335,33.00850,50.94246,,,,,,,,,,,,25.36425,0.11259,0.13206,0.13714,3.71470,1.83656,16.31206,
2s7_71_68cm_20um_rec_voi_1044.bmp,20.75753,307,87.63486,42.73128,48.76060,35.01934,649.10927,15.19049,0.13919,0.42098,-3.28314,183,124,15.52951,51.18097,26.65517,29.37406,44.90357,33.51870,51.23940,,,,,,,,,,,,10.95713,0.11095,0.13166,0.13835,3.70349,1.83671,16.09576,
2s7_71_68cm_20um_rec_voi_1043.bmp,20.73765,281,87.63486,42.77793,48.81383,35.01934,652.23006,15.24688,0.15223,0.44026,-5.50450,143,138,9.28556,51.58308,17.83507,35.57137,44.85693,40.59043,51.18617,,,,,,,,,,,,173.33921,0.10958,0.13117,0.13755,3.72129,1.82903,16.59365,
