
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_75_71cm_20um\2s7_75-71cm_20um_Rec\VOI\2s7_75-71cm_20um_rec_voi_

<<<<< Begin of task (e14da3df-58f9-455c-90bc-3979f5024881) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_75_71cm_20um\2s7_75-71cm_20um_Rec\VOI\2s7_75-71cm_20um_rec_voi_0110.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 991
Total Z-position range, 60, 1050
Number of images inside VOI, 991
Z-position range of VOI, 60, 1050
Z spacing, 1
Pixel size (um), 19.882692

-----------------------------------------------------------------
[ 01/27/21 14:20:08 ] Thresholding
Mode, Global
Lower grey threshold, 90
Upper grey threshold, 200
[ 01/27/21 14:20:10 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:20:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
187293 speckles removed
[ 01/27/21 14:20:15 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:20:15 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
25369 speckles removed
[ 01/27/21 14:20:19 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:21:48 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:29
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_75_71cm_20um\2s7_75-71cm_20um_Rec\VOI\
Pixel size,19.88269,um
Lower grey threshold,90
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_75-71cm_20um_rec_voi_1050.bmp,20.87683,231,87.63486,38.15371,43.53714,35.01934,522.96309,13.70674,0.16517,0.45858,-3.06372,40,191,12.45589,38.31192,24.61171,37.02526,49.48115,42.24947,56.46286,,,,,,,,,,,,3.92122,0.14339,0.14591,0.18923,2.98376,1.80110,14.91503,
2s7_75-71cm_20um_rec_voi_1049.bmp,20.85694,248,87.63486,37.79476,43.12754,35.01934,525.58458,13.90628,0.15240,0.44050,-3.21285,37,211,12.47718,40.19751,24.81938,37.36292,49.84010,42.63477,56.87246,,,,,,,,,,,,29.29683,0.11995,0.14382,0.18966,2.99872,1.79450,15.28839,
2s7_75-71cm_20um_rec_voi_1048.bmp,20.83706,239,87.63486,37.80919,43.14400,35.01934,524.15985,13.86329,0.15820,0.44880,-3.29498,42,197,12.50249,41.31542,24.85007,37.32319,49.82567,42.58943,56.85600,,,,,,,,,,,,52.70397,0.15240,0.14427,0.19012,2.99059,1.67733,15.48822,
2s7_75-71cm_20um_rec_voi_1047.bmp,20.81718,213,87.63486,38.07099,43.44274,35.01934,517.11875,13.58301,0.17874,0.47705,-3.39335,28,185,12.21039,41.55387,24.28412,37.35348,49.56387,42.62400,56.55726,,,,,,,,,,,,63.25769,0.19591,0.14724,0.19169,2.95042,1.79765,15.31709,
2s7_75-71cm_20um_rec_voi_1046.bmp,20.79730,219,87.63486,38.27314,43.67343,35.01934,516.78333,13.50251,0.17476,0.47172,-3.35633,31,188,12.45781,41.92740,24.55663,36.90390,49.36171,42.11098,56.32657,,,,,,,,,,,,64.69824,0.23603,0.14812,0.19103,2.94850,1.80366,15.12126,
2s7_75-71cm_20um_rec_voi_1045.bmp,20.77741,215,87.63486,38.40755,43.82680,35.01934,521.78792,13.58555,0.17864,0.47692,-3.48921,9,206,12.39471,43.36544,24.39795,36.83259,49.22730,42.02961,56.17320,,,,,,,,,,,,68.60600,0.24911,0.14722,0.18869,2.97706,1.80264,14.43419,
2s7_75-71cm_20um_rec_voi_1044.bmp,20.75753,225,87.63486,38.55165,43.99123,35.01934,523.19618,13.57130,0.17134,0.46707,-3.23183,21,204,12.37509,40.11067,24.29979,36.70812,49.08321,41.88757,56.00877,,,,,,,,,,,,71.59101,0.25687,0.14737,0.18763,2.98509,1.80383,13.77041,
2s7_75-71cm_20um_rec_voi_1043.bmp,20.73765,235,87.63486,38.44086,43.86481,35.01934,519.00220,13.50132,0.16358,0.45637,-2.98935,49,186,12.41808,37.23460,24.41672,36.77591,49.19400,41.96494,56.13519,,,,,,,,,,,,72.98944,0.27842,0.14813,0.18957,2.96116,1.77775,13.11628,
