
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_77-75cm_20um\2s7_77-75cm_20um_Rec\VOI\2s7_77-75cm_20um_rec_voi_

<<<<< Begin of task (f3aed580-4245-4714-aa63-b5ed7c76181c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_77-75cm_20um\2s7_77-75cm_20um_Rec\VOI\2s7_77-75cm_20um_rec_voi_0618.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 550
Total number of images, 461
Total Z-position range, 600, 1060
Number of images inside VOI, 461
Z-position range of VOI, 600, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 14:45:41 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 01/27/21 14:45:41 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:45:41 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5036 speckles removed
[ 01/27/21 14:45:44 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:45:44 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7799 speckles removed
[ 01/27/21 14:45:46 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:46:54 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:08
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_77-75cm_20um\2s7_77-75cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_77-75cm_20um_rec_voi_1060.bmp,21.82687,252,124.06390,47.89991,38.60907,44.53563,618.28931,12.90794,0.19008,0.49195,-3.05297,196,56,14.30116,43.78871,22.99183,61.86282,76.16399,49.86368,61.39093,,,,,,,,,,,,61.59268,0.23168,0.15494,0.24637,2.49182,1.82940,0.37064,
2s7_77-75cm_20um_rec_voi_1059.bmp,21.80628,254,124.06390,47.80059,38.52901,44.53563,620.88675,12.98910,0.18819,0.48950,-2.78952,202,52,16.03911,44.85133,25.12403,60.22420,76.26331,48.54289,61.47099,,,,,,,,,,,,62.63030,0.21637,0.15398,0.24566,2.50229,1.81849,0.37064,
2s7_77-75cm_20um_rec_voi_1058.bmp,21.78568,271,124.06390,47.40436,38.20963,44.53563,620.26244,13.08450,0.17492,0.47193,-2.87859,225,46,15.02107,43.35412,24.06242,61.63847,76.65954,49.68284,61.79037,,,,,,,,,,,,66.06878,0.19815,0.15285,0.24718,2.49977,1.83144,0.41183,
2s7_77-75cm_20um_rec_voi_1057.bmp,21.76509,248,124.06390,47.17168,38.02209,44.53563,615.83904,13.05527,0.19021,0.49212,-2.17301,204,44,14.40208,31.36535,23.38996,62.49014,76.89222,50.36932,61.97791,,,,,,,,,,,,76.86470,0.16121,0.15319,0.24972,2.48194,1.71821,0.37064,
2s7_77-75cm_20um_rec_voi_1056.bmp,21.74450,255,124.06390,46.82569,37.74321,44.53563,616.62444,13.16851,0.18363,0.48353,-1.91686,210,45,14.88125,28.59283,24.11601,62.35695,77.23820,50.26196,62.25679,,,,,,,,,,,,94.55199,0.17334,0.15188,0.25052,2.48511,1.83144,0.35005,
2s7_77-75cm_20um_rec_voi_1055.bmp,21.72391,277,124.06390,46.63378,37.58852,44.53563,616.22346,13.21410,0.16835,0.46298,-1.51122,236,41,15.20837,23.04558,24.59225,62.22174,77.43012,50.15298,62.41148,,,,,,,,,,,,108.57242,0.17890,0.15135,0.25131,2.48349,1.83039,0.32946,
2s7_77-75cm_20um_rec_voi_1054.bmp,21.70332,268,124.06390,46.42257,37.41828,44.53563,614.19929,13.23062,0.17322,0.46963,-1.56952,227,41,14.74128,23.19824,24.10129,62.90005,77.64133,50.69972,62.58172,,,,,,,,,,,,113.22166,0.19080,0.15116,0.25282,2.47533,1.83089,0.32946,
2s7_77-75cm_20um_rec_voi_1053.bmp,21.68273,296,124.06390,46.23256,37.26512,44.53563,614.76157,13.29716,0.15619,0.44595,-1.72133,250,46,15.14716,26.19560,24.67779,62.68417,77.83133,50.52572,62.73488,,,,,,,,,,,,114.91490,0.19100,0.15041,0.25321,2.47760,1.83060,0.39124,
