
<<<<< Begin of task (1c05f1bf-afc6-4df7-b269-b920dcaad2f4) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_8-6cm_20um\2s7_8-6cm_20um_Rec\VOI\2s7_8-6cm_20um_rec_voi_0078.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 553, 568
Total number of images, 991
Total Z-position range, 60, 1050
Number of images inside VOI, 991
Z-position range of VOI, 60, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/15/20 15:28:01 ] Thresholding
Mode, Global
Lower grey threshold, 80
Upper grey threshold, 200
[ 12/15/20 15:28:02 ]	Thresholding done

-----------------------------------------------------------------
[ 12/15/20 15:28:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
11604 speckles removed
[ 12/15/20 15:28:05 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:28:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/15/20 15:28:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/15/20 15:28:59 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:51
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\20-03\2s7_8-6cm_20um\2s7_8-6cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,80
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_8-6cm_20um_rec_voi_1050.bmp,21.62095,80,133.18170,30.25796,22.71931,46.14176,239.07144,7.90111,0.37822,0.69395,-3.14434,38,42,6.34121,19.94192,17.32610,96.58254,102.92374,72.51937,77.28069,,,,,,,,,,,,171.74630,0.26206,0.25313,0.86103,0.89754,1.54498,0.00000,
2s7_8-6cm_20um_rec_voi_1049.bmp,21.60036,80,133.18170,30.07781,22.58404,46.14176,235.86782,7.84192,0.37597,0.69188,-1.32703,48,32,7.75744,10.29601,20.50321,95.34645,103.10389,71.59126,77.41596,,,,,,,,,,,,168.63281,0.23268,0.25504,0.87425,0.88551,1.54912,0.00000,
2s7_8-6cm_20um_rec_voi_1048.bmp,21.57977,75,133.18170,29.95305,22.49036,46.14176,234.66060,7.83428,0.39937,0.71309,-3.17557,43,32,6.71714,21.33178,18.31772,96.51152,103.22866,72.46605,77.50964,,,,,,,,,,,,164.31973,0.19540,0.25529,0.87981,0.88098,1.54813,0.00000,
2s7_8-6cm_20um_rec_voi_1047.bmp,21.55918,82,133.18170,29.76919,22.35231,46.14176,238.19904,8.00153,0.36304,0.67988,-1.13587,51,31,8.47952,9.63295,22.16943,94.93300,103.41252,71.28081,77.64769,,,,,,,,,,,,153.18562,0.14517,0.24995,0.86829,0.89426,1.54818,0.00000,
2s7_8-6cm_20um_rec_voi_1046.bmp,21.53859,83,133.18170,29.68417,22.28848,46.14176,239.57391,8.07076,0.35764,0.67481,-1.80329,45,38,6.94218,12.52109,18.95406,96.55535,103.49753,72.49896,77.71152,,,,,,,,,,,,116.27789,0.13436,0.24781,0.86401,0.89943,1.54721,0.00000,
2s7_8-6cm_20um_rec_voi_1045.bmp,21.51800,87,133.18170,29.57255,22.20467,46.14176,237.08417,8.01703,0.33991,0.65787,-2.14899,51,36,6.90190,14.83439,18.92256,96.70725,103.60915,72.61301,77.79533,,,,,,,,,,,,100.68701,0.18364,0.24947,0.87403,0.89008,1.53879,0.00000,
2s7_8-6cm_20um_rec_voi_1044.bmp,21.49741,68,133.18170,29.50975,22.15751,46.14176,234.87772,7.95933,0.43397,0.74333,-2.50064,35,33,6.91293,17.28830,18.97973,96.75903,103.67195,72.65189,77.84249,,,,,,,,,,,,96.71584,0.22389,0.25128,0.88277,0.88179,1.54500,0.00000,
2s7_8-6cm_20um_rec_voi_1043.bmp,21.47681,72,133.18170,29.46671,22.12520,46.14176,233.12927,7.91161,0.40926,0.72186,-2.38221,48,24,6.83040,16.27372,18.81804,96.88459,103.71499,72.74617,77.87480,,,,,,,,,,,,93.41964,0.25215,0.25279,0.88976,0.87523,1.54081,0.00000,
