
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_80_78cm_20um_2\2s7_80-78cm_20um_Rec\VOI\2s7_80-78cm_20um_rec_voi_

<<<<< Begin of task (30f9b343-c358-4cb0-a94e-169ffa9fe89e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_80_78cm_20um_2\2s7_80-78cm_20um_Rec\VOI\2s7_80-78cm_20um_rec_voi_0069.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 941
Total Z-position range, 60, 1000
Number of images inside VOI, 941
Z-position range of VOI, 60, 1000
Z spacing, 1
Pixel size (um), 19.882692

-----------------------------------------------------------------
[ 01/27/21 14:45:01 ] Thresholding
Mode, Global
Lower grey threshold, 88
Upper grey threshold, 200
[ 01/27/21 14:45:02 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:45:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
103112 speckles removed
[ 01/27/21 14:45:05 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:45:05 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
21320 speckles removed
[ 01/27/21 14:45:08 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:47:05 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:57
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_80_78cm_20um_2\2s7_80-78cm_20um_Rec\VOI\
Pixel size,19.88269,um
Lower grey threshold,88
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_80-78cm_20um_rec_voi_1000.bmp,19.88269,248,87.63486,42.59801,48.60852,35.01934,561.32466,13.17725,0.17177,0.46765,-1.77995,136,112,13.13895,23.60347,23.57314,31.89789,45.03685,36.39864,51.39148,,,,,,,,,,,,68.76292,0.20086,0.15178,0.16047,3.20263,1.77869,14.42578,
2s7_80-78cm_20um_rec_voi_0999.bmp,19.86281,243,87.63486,42.55117,48.55507,35.01934,559.38767,13.14624,0.17511,0.47218,-2.05892,137,106,13.34487,27.65169,23.87444,31.73883,45.08369,36.21713,51.44493,,,,,,,,,,,,69.41538,0.18997,0.15213,0.16119,3.19158,1.81973,15.04497,
2s7_80-78cm_20um_rec_voi_0998.bmp,19.84293,240,87.63486,42.67327,48.69440,35.01934,558.50800,13.08801,0.17781,0.47580,-1.97079,139,101,13.41415,26.61097,23.91650,31.54744,44.96159,35.99874,51.30560,,,,,,,,,,,,61.08411,0.16921,0.15281,0.16101,3.18656,1.81691,14.87867,
2s7_80-78cm_20um_rec_voi_0997.bmp,19.82304,237,87.63486,42.62242,48.63638,35.01934,558.55308,13.10468,0.17984,0.47852,-2.00525,130,107,13.37763,27.01110,23.88860,31.63481,45.01244,36.09843,51.36362,,,,,,,,,,,,57.32852,0.13462,0.15262,0.16118,3.18682,1.81745,14.77202,
2s7_80-78cm_20um_rec_voi_0996.bmp,19.80316,249,87.63486,42.68380,48.70641,35.01934,559.05190,13.09752,0.17142,0.46718,-2.05126,165,84,13.34956,27.54687,23.82431,31.60150,44.95106,36.06042,51.29359,,,,,,,,,,,,42.76583,0.10991,0.15270,0.16081,3.18967,1.81330,14.99597,
2s7_80-78cm_20um_rec_voi_0995.bmp,19.78328,248,87.63486,42.82176,48.86385,35.01934,559.55004,13.06695,0.17267,0.46888,-1.55771,158,90,13.24179,20.78213,23.61924,31.57131,44.81310,36.02597,51.13615,,,,,,,,,,,,6.90062,0.10987,0.15306,0.16018,3.19251,1.82163,15.14821,
2s7_80-78cm_20um_rec_voi_0994.bmp,19.76340,227,87.63486,42.96596,49.02839,35.01934,559.46603,13.02115,0.18928,0.49091,-1.74687,133,94,13.42581,23.65089,23.80810,31.24309,44.66890,35.65145,50.97161,,,,,,,,,,,,178.81242,0.14211,0.15360,0.15968,3.19203,1.79208,15.31210,
2s7_80-78cm_20um_rec_voi_0993.bmp,19.74351,245,87.63486,42.89366,48.94589,35.01934,558.99718,13.03216,0.17508,0.47214,-1.73901,143,102,13.29792,23.29865,23.66533,31.44327,44.74120,35.87987,51.05411,,,,,,,,,,,,169.36407,0.14895,0.15347,0.16008,3.18935,1.73349,16.11988,
