
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_78_76cm_20um\2s7_80-78cm_20um_Rec\VOI(1)\2s7_80-78cm_20um_rec_voi_

<<<<< Begin of task (c0c82d63-dc66-4388-aced-eb38ea565444) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_78_76cm_20um\2s7_80-78cm_20um_Rec\VOI(1)\2s7_80-78cm_20um_rec_voi_0135.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 981
Total Z-position range, 70, 1050
Number of images inside VOI, 981
Z-position range of VOI, 70, 1050
Z spacing, 1
Pixel size (um), 19.882692

-----------------------------------------------------------------
[ 01/27/21 14:39:51 ] Thresholding
Mode, Global
Lower grey threshold, 87
Upper grey threshold, 200
[ 01/27/21 14:39:52 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 14:39:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
74543 speckles removed
[ 01/27/21 14:39:55 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:39:55 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
23834 speckles removed
[ 01/27/21 14:39:58 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 14:41:10 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:12
Dataset folder,D:\Courville_SnowEx2020\8Feb2020\2s7_8Feb2020\80-63\2s7_78_76cm_20um\2s7_80-78cm_20um_Rec\VOI(1)\
Pixel size,19.88269,um
Lower grey threshold,87
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2s7_80-78cm_20um_rec_voi_1050.bmp,20.87683,269,87.63486,42.87182,48.92097,35.01934,598.97451,13.97129,0.15937,0.45047,-2.18503,189,80,13.59703,29.88200,24.07882,31.16601,44.76304,35.56348,51.07903,,,,,,,,,,,,58.76740,0.14278,0.14315,0.14947,3.41744,1.83170,17.93586,
2s7_80-78cm_20um_rec_voi_1049.bmp,20.85694,263,87.63486,42.72649,48.75513,35.01934,598.42145,14.00587,0.16246,0.45481,-2.40853,171,92,13.90316,33.66220,24.55102,31.00521,44.90837,35.38000,51.24487,,,,,,,,,,,,61.55545,0.14234,0.14280,0.15009,3.41429,1.83100,17.76132,
2s7_80-78cm_20um_rec_voi_1048.bmp,20.83706,298,87.63486,42.49612,48.49225,35.01934,604.39853,14.22244,0.14260,0.42611,-2.34769,201,97,13.87776,32.76007,24.61736,31.26098,45.13874,35.67186,51.50775,,,,,,,,,,,,60.20377,0.13452,0.14062,0.14937,3.44839,1.83227,16.97484,
2s7_80-78cm_20um_rec_voi_1047.bmp,20.81718,279,87.63486,42.54380,48.54667,35.01934,610.92371,14.35988,0.15249,0.44063,-2.09822,174,105,14.09687,29.64589,24.88824,30.99419,45.09106,35.36742,51.45333,,,,,,,,,,,,60.88516,0.11462,0.13928,0.14762,3.48562,1.81083,17.32008,
2s7_80-78cm_20um_rec_voi_1046.bmp,20.79730,244,87.63486,42.72654,48.75519,35.01934,613.30709,14.35424,0.17511,0.47218,-3.10455,128,116,13.99542,43.52678,24.67372,30.91290,44.90832,35.27466,51.24481,,,,,,,,,,,,70.59534,0.09205,0.13933,0.14645,3.49922,1.83697,16.37753,
2s7_80-78cm_20um_rec_voi_1045.bmp,20.77741,252,87.63486,42.78193,48.81840,35.01934,608.52828,14.22395,0.16977,0.46493,-2.12586,143,109,13.80176,29.50799,24.39176,31.05117,44.85292,35.43244,51.18160,,,,,,,,,,,,83.14708,0.05151,0.14061,0.14741,3.47195,1.83303,16.85754,
2s7_80-78cm_20um_rec_voi_1044.bmp,20.75753,273,87.63486,42.78826,48.82562,35.01934,606.82402,14.18202,0.15673,0.44672,-2.36892,173,100,14.26750,34.00093,25.00624,30.57910,44.84660,34.89377,51.17438,,,,,,,,,,,,83.75192,0.07697,0.14102,0.14781,3.46223,1.83249,16.50988,
2s7_80-78cm_20um_rec_voi_1043.bmp,20.73765,273,87.63486,42.78495,48.82184,35.01934,597.89919,13.97452,0.15672,0.44670,-1.69158,184,89,14.03159,23.93718,24.69631,30.81832,44.84991,35.16674,51.17816,,,,,,,,,,,,91.91765,0.10123,0.14312,0.15002,3.41131,1.83127,15.71857,
